+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2024-06-24
| UUID: 15240967-3236-4d52-992e-49983d671205
| Date: 2024-06-24
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-06-24,Payload delivery,url,https://downloaddining.rest/df/enc,ClearFake payload delivery URL (confidence level: 100%)
2024-06-24,Payload delivery,domain,downloaddining.rest,ClearFake payload delivery domain (confidence level: 100%)
2024-06-24,Network activity,ip-dst|port,150.158.13.117|22222,Cobalt Strike botnet C2 server (confidence level: 75%)
2024-06-24,Network activity,ip-dst|port,35.204.170.221|80,Cobalt Strike botnet C2 server (confidence level: 75%)
2024-06-24,Network activity,ip-dst|port,96.126.96.104|8081,Cobalt Strike botnet C2 server (confidence level: 75%)
2024-06-24,Network activity,ip-dst|port,201.68.131.71|8081,Cobalt Strike botnet C2 server (confidence level: 75%)
2024-06-24,Network activity,ip-dst|port,18.192.31.165|19145,NjRAT botnet C2 server (confidence level: 75%)
2024-06-24,Payload delivery,url,https://downloaddining.rest/df/blue,ClearFake payload delivery URL (confidence level: 100%)
2024-06-24,Network activity,ip-dst|port,193.161.193.99|38311,LimeRAT botnet C2 server (confidence level: 100%)
2024-06-24,Network activity,url,https://78.47.205.62:9000,Vidar botnet C2 (confidence level: 100%)
2024-06-24,Network activity,url,https://95.216.142.162,Vidar botnet C2 (confidence level: 100%)
2024-06-24,Network activity,ip-dst|port,3.124.142.205|11457,NjRAT botnet C2 server (confidence level: 75%)
2024-06-24,Network activity,ip-dst|port,43.138.23.98|7443,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-06-24,Network activity,ip-dst|port,47.116.216.157|4433,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-06-24,Network activity,ip-dst|port,39.100.74.192|4443,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-06-24,Network activity,ip-dst|port,41.249.244.52|10000,NjRAT botnet C2 server (confidence level: 100%)
2024-06-24,Payload delivery,url,https://www.ccga.com/article.php,GootLoader payload delivery URL (confidence level: 100%)
2024-06-24,Network activity,ip-dst|port,185.222.58.70|55615,RedLine Stealer botnet C2 server (confidence level: 100%)
2024-06-24,Network activity,url,http://a0997621.xsph.ru/4474e3be.php,DCRat botnet C2 (confidence level: 100%)
2024-06-24,Network activity,url,http://cl14041.tw1.ru/083b111c.php,DCRat botnet C2 (confidence level: 100%)
2024-06-24,Network activity,ip-dst|port,4.145.106.87|8888,Sliver botnet C2 server (confidence level: 50%)
2024-06-24,Network activity,ip-dst|port,4.145.106.87|31337,Sliver botnet C2 server (confidence level: 50%)
2024-06-24,Network activity,ip-dst|port,162.55.189.20|7443,Unknown malware botnet C2 server (confidence level: 50%)
2024-06-24,Network activity,ip-dst|port,16.16.66.176|7443,Unknown malware botnet C2 server (confidence level: 50%)
2024-06-24,Network activity,ip-dst|port,125.74.19.26|4505,Deimos botnet C2 server (confidence level: 50%)
2024-06-24,Network activity,ip-dst|port,119.152.6.82|443,Deimos botnet C2 server (confidence level: 50%)
2024-06-24,Network activity,ip-dst|port,101.43.23.71|8888,Unknown malware botnet C2 server (confidence level: 50%)
2024-06-24,Network activity,ip-dst|port,49.113.72.239|8888,Unknown malware botnet C2 server (confidence level: 50%)
2024-06-24,Network activity,ip-dst|port,103.116.245.65|8888,Unknown malware botnet C2 server (confidence level: 50%)
2024-06-24,Network activity,ip-dst|port,49.113.77.227|8888,Unknown malware botnet C2 server (confidence level: 50%)
2024-06-24,Network activity,ip-dst|port,138.201.113.11|80,Unknown malware botnet C2 server (confidence level: 50%)
2024-06-24,Network activity,ip-dst|port,94.156.8.54|2222,AsyncRAT botnet C2 server (confidence level: 50%)
2024-06-24,Network activity,ip-dst|port,194.62.157.160|9999,AsyncRAT botnet C2 server (confidence level: 50%)
2024-06-24,Network activity,ip-dst|port,193.26.115.22|6606,AsyncRAT botnet C2 server (confidence level: 50%)
2024-06-24,Network activity,ip-dst|port,193.26.115.22|7707,AsyncRAT botnet C2 server (confidence level: 50%)
2024-06-24,Network activity,ip-dst|port,209.145.56.0|2000,AsyncRAT botnet C2 server (confidence level: 50%)
2024-06-24,Network activity,ip-dst|port,85.28.47.7|1757,RedLine Stealer botnet C2 server (confidence level: 100%)
2024-06-24,Network activity,url,https://guillerme.xyz/,Vidar botnet C2 (confidence level: 100%)
2024-06-24,Network activity,url,https://sosimo.xyz/,Vidar botnet C2 (confidence level: 100%)
2024-06-24,Network activity,url,https://antiochus.xyz/,Vidar botnet C2 (confidence level: 100%)
2024-06-24,Network activity,url,https://aibek.xyz/,Vidar botnet C2 (confidence level: 100%)
2024-06-24,Network activity,url,https://paulu.xyz/,Vidar botnet C2 (confidence level: 100%)
2024-06-24,Network activity,url,https://aramazd.xyz/,Vidar botnet C2 (confidence level: 100%)
2024-06-24,Network activity,url,https://116.203.13.231/,Vidar botnet C2 (confidence level: 100%)
2024-06-24,Network activity,url,https://116.203.13.254/,Vidar botnet C2 (confidence level: 100%)
2024-06-24,Network activity,url,https://116.203.14.27/,Vidar botnet C2 (confidence level: 100%)
2024-06-24,Network activity,url,https://116.203.14.27:9000/,Vidar botnet C2 (confidence level: 100%)
2024-06-24,Network activity,url,https://65.109.241.229/,Vidar botnet C2 (confidence level: 100%)
2024-06-24,Network activity,url,https://65.109.241.229:9000/,Vidar botnet C2 (confidence level: 100%)
2024-06-24,Network activity,url,https://49.13.227.249/,Vidar botnet C2 (confidence level: 100%)
2024-06-24,Network activity,domain,guillerme.xyz,Vidar botnet C2 domain (confidence level: 100%)
2024-06-24,Network activity,domain,sosimo.xyz,Vidar botnet C2 domain (confidence level: 100%)
2024-06-24,Network activity,domain,antiochus.xyz,Vidar botnet C2 domain (confidence level: 100%)
2024-06-24,Network activity,domain,aibek.xyz,Vidar botnet C2 domain (confidence level: 100%)
2024-06-24,Network activity,domain,paulu.xyz,Vidar botnet C2 domain (confidence level: 100%)
2024-06-24,Network activity,domain,aramazd.xyz,Vidar botnet C2 domain (confidence level: 100%)
2024-06-24,Network activity,ip-dst|port,116.203.13.231|443,Vidar botnet C2 server (confidence level: 100%)
2024-06-24,Network activity,ip-dst|port,116.203.14.27|443,Vidar botnet C2 server (confidence level: 100%)
2024-06-24,Network activity,ip-dst|port,116.203.14.27|9000,Vidar botnet C2 server (confidence level: 100%)
2024-06-24,Network activity,ip-dst|port,65.109.241.229|443,Vidar botnet C2 server (confidence level: 100%)
2024-06-24,Network activity,ip-dst|port,65.109.241.229|9000,Vidar botnet C2 server (confidence level: 100%)
2024-06-24,Network activity,ip-dst|port,49.13.227.249|443,Vidar botnet C2 server (confidence level: 100%)
2024-06-24,Network activity,ip-dst|port,88.168.211.65|6522,NjRAT botnet C2 server (confidence level: 75%)
2024-06-24,Network activity,url,http://124.223.9.21:5555/jquery-3.3.1.min.js,Cobalt Strike botnet C2 (confidence level: 100%)
2024-06-24,Payload delivery,url,https://www.chunjack.nl/article.php,GootLoader payload delivery URL (confidence level: 100%)
2024-06-24,Network activity,url,http://101.200.120.13:8099/cx,Cobalt Strike botnet C2 (confidence level: 100%)
2024-06-24,Network activity,url,https://101.33.227.96/jquery-3.3.1.min.js,Cobalt Strike botnet C2 (confidence level: 100%)
