+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2024-06-29
| UUID: 2dab705c-5a85-4f18-bdb1-a52c10559b9e
| Date: 2024-06-29
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-06-29,Network activity,domain,xortoprojectnew.xyz,Unknown malware botnet C2 domain (confidence level: 100%)
2024-06-29,Network activity,url,https://robsheraldry.com/?page=login,Poseidon botnet C2 (confidence level: 100%)
2024-06-29,Network activity,url,https://osheafarm.com/?page=login,Poseidon botnet C2 (confidence level: 100%)
2024-06-29,Network activity,url,http://lascolinasresortdalas.com/?page=login,Poseidon botnet C2 (confidence level: 100%)
2024-06-29,Network activity,url,https://poseidon.cool/?page=login,Poseidon botnet C2 (confidence level: 100%)
2024-06-29,Network activity,url,https://robsheraldry.com/p2p,Poseidon botnet C2 (confidence level: 100%)
2024-06-29,Network activity,url,https://osheafarm.com/p2p,Poseidon botnet C2 (confidence level: 100%)
2024-06-29,Network activity,url,http://lascolinasresortdalas.com/p2p,Poseidon botnet C2 (confidence level: 100%)
2024-06-29,Network activity,url,https://poseidon.cool/p2p,Poseidon botnet C2 (confidence level: 100%)
2024-06-29,Network activity,domain,poseidon.cool,Poseidon botnet C2 domain (confidence level: 100%)
2024-06-29,Network activity,domain,robsheraldry.com,Poseidon botnet C2 domain (confidence level: 100%)
2024-06-29,Network activity,domain,osheafarm.com,Poseidon botnet C2 domain (confidence level: 100%)
2024-06-29,Network activity,domain,lascolinasresortdalas.com,Poseidon botnet C2 domain (confidence level: 100%)
2024-06-29,Payload delivery,url,http://117.208.220.244:54506/mozi.m,Mozi payload delivery URL (confidence level: 50%)
2024-06-29,Network activity,ip-dst|port,91.206.178.85|9000,Quasar RAT botnet C2 server (confidence level: 50%)
2024-06-29,Network activity,ip-dst|port,160.19.78.131|443,Cobalt Strike botnet C2 server (confidence level: 50%)
2024-06-29,Network activity,url,http://a0999792.xsph.ru/l1nc0in.php,DCRat botnet C2 (confidence level: 100%)
2024-06-29,Network activity,url,http://a0996046.xsph.ru/44e38142.php,DCRat botnet C2 (confidence level: 100%)
2024-06-29,Network activity,ip-dst|port,92.246.138.36|41426,RedLine Stealer botnet C2 server (confidence level: 100%)
2024-06-29,Payload delivery,url,http://newcpp.constructoraharr.cl/agov/apostolic,Poseidon payload delivery URL (confidence level: 100%)
2024-06-29,Payload delivery,url,http://newcp.thebestbodrumtemizlik.com/agov/lounge,Poseidon payload delivery URL (confidence level: 100%)
2024-06-29,Network activity,ip-dst|port,143.92.42.200|8443,Brute Ratel C4 botnet C2 server (confidence level: 50%)
2024-06-29,Network activity,ip-dst|port,211.95.133.87|49084,Deimos botnet C2 server (confidence level: 50%)
2024-06-29,Network activity,ip-dst|port,148.135.115.35|443,Deimos botnet C2 server (confidence level: 50%)
2024-06-29,Network activity,ip-dst|port,209.90.234.57|1913,RedLine Stealer botnet C2 server (confidence level: 100%)
2024-06-29,Network activity,ip-dst|port,147.45.45.3|1912,RedLine Stealer botnet C2 server (confidence level: 100%)
2024-06-29,Network activity,url,http://a0999337.xsph.ru/l1nc0in.php,DCRat botnet C2 (confidence level: 100%)
2024-06-29,Network activity,url,http://47.236.96.238/fwlink,Cobalt Strike botnet C2 (confidence level: 100%)
2024-06-29,Network activity,ip-dst|port,47.236.96.238|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-06-29,Network activity,url,http://47.109.51.223/updates.rss,Cobalt Strike botnet C2 (confidence level: 100%)
2024-06-29,Network activity,ip-dst|port,47.109.51.223|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-06-29,Network activity,url,https://47.121.123.96/ga.js,Cobalt Strike botnet C2 (confidence level: 100%)
2024-06-29,Network activity,ip-dst|port,47.121.123.96|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-06-29,Network activity,url,https://54.165.22.205/ptj,Cobalt Strike botnet C2 (confidence level: 100%)
2024-06-29,Network activity,ip-dst|port,54.165.22.205|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-06-29,Network activity,url,https://47.121.141.245:8443/jqueryuiv12.js,Cobalt Strike botnet C2 (confidence level: 100%)
2024-06-29,Network activity,url,http://47.98.247.113:4444/j.ad,Cobalt Strike botnet C2 (confidence level: 100%)
2024-06-29,Network activity,url,https://www.windowsuserapi.com/_/scs/mail-static/_/js/z,Cobalt Strike botnet C2 (confidence level: 100%)
2024-06-29,Network activity,domain,www.windowsuserapi.com,Cobalt Strike botnet C2 domain (confidence level: 100%)
2024-06-29,Network activity,ip-dst|port,119.8.162.77|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-06-29,Network activity,url,https://login-auth-office.com/p2p,Poseidon botnet C2 (confidence level: 100%)
2024-06-29,Network activity,url,https://login-auth-office.com/?page=login,Poseidon botnet C2 (confidence level: 100%)
2024-06-29,Network activity,domain,login-auth-office.com,Poseidon botnet C2 domain (confidence level: 100%)
2024-06-29,Network activity,url,http://47.121.123.96/ie9compatviewlist.xml,Cobalt Strike botnet C2 (confidence level: 100%)
2024-06-29,Network activity,ip-dst|port,47.121.123.96|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-06-29,Network activity,ip-dst|port,217.195.197.36|80,Unknown malware botnet C2 server (confidence level: 100%)
2024-06-29,Network activity,ip-dst|port,185.243.181.82|80,Unknown malware botnet C2 server (confidence level: 100%)
2024-06-29,Payload delivery,url,https://trustadvisorygroup.com/2022/11/26/pls-00208-identifier-is-not-a-legal-cursor-attribute,GootLoader payload delivery URL (confidence level: 100%)
2024-06-29,Payload delivery,url,https://www.bultecappelle.fr/article.php,GootLoader payload delivery URL (confidence level: 100%)
2024-06-29,Network activity,domain,football-emily.gl.at.ply.gg,XWorm botnet C2 domain (confidence level: 100%)
2024-06-29,Network activity,url,https://discord.com/api/webhooks/1253689379948593173/lzph5ddd7etwylrpmt2m_ml82ys42yxolytwbwldi4nxulovpmphz7alftfln1rxcqac,Unknown malware botnet C2 (confidence level: 100%)
2024-06-29,Network activity,url,https://api.telegram.org/bot6110313252:aae6ffozbefhnbent-1dwxi9ebezqtxbygk/sendmessage?chat_id=6291749148,AsyncRAT botnet C2 (confidence level: 100%)
2024-06-29,Network activity,url,http://202.95.13.230:7777/g.pixel,Cobalt Strike botnet C2 (confidence level: 100%)
2024-06-29,Network activity,url,http://134.122.75.115:449/visit.js,Cobalt Strike botnet C2 (confidence level: 100%)
2024-06-29,Network activity,url,http://23.95.65.198:2222/g.pixel,Cobalt Strike botnet C2 (confidence level: 100%)
2024-06-29,Network activity,url,http://43.138.30.109:9999/ptj,Cobalt Strike botnet C2 (confidence level: 100%)
2024-06-29,Network activity,url,http://43.153.222.28:433/match,Cobalt Strike botnet C2 (confidence level: 100%)
2024-06-29,Network activity,url,https://funny-sam.online/ga.js,Cobalt Strike botnet C2 (confidence level: 100%)
2024-06-29,Network activity,domain,funny-sam.online,Cobalt Strike botnet C2 domain (confidence level: 100%)
2024-06-29,Network activity,url,http://114.132.87.9/load,Cobalt Strike botnet C2 (confidence level: 100%)
2024-06-29,Network activity,url,http://8.130.111.241:80/xgfx,Cobalt Strike botnet C2 (confidence level: 75%)
2024-06-29,Network activity,ip-dst|port,192.169.69.25|1316,NjRAT botnet C2 server (confidence level: 100%)
2024-06-29,Network activity,ip-dst|port,172.232.164.13|8808,AsyncRAT botnet C2 server (confidence level: 100%)
2024-06-30,Network activity,ip-dst|port,66.78.40.31|31785,Sliver botnet C2 server (confidence level: 50%)
2024-06-30,Network activity,ip-dst|port,66.78.40.31|443,Sliver botnet C2 server (confidence level: 50%)
2024-06-30,Network activity,ip-dst|port,164.90.241.207|2053,Deimos botnet C2 server (confidence level: 50%)
2024-06-30,Network activity,ip-dst|port,92.38.160.73|8080,BianLian botnet C2 server (confidence level: 50%)
2024-06-30,Network activity,ip-dst|port,88.2.202.148|443,Havoc botnet C2 server (confidence level: 50%)
2024-06-30,Network activity,ip-dst|port,38.147.162.174|443,Havoc botnet C2 server (confidence level: 50%)
2024-06-30,Network activity,ip-dst|port,103.252.116.243|443,Havoc botnet C2 server (confidence level: 50%)
2024-06-30,Network activity,ip-dst|port,174.138.125.95|445,Responder botnet C2 server (confidence level: 50%)
2024-06-30,Network activity,ip-dst|port,40.69.149.188|445,Responder botnet C2 server (confidence level: 50%)
2024-06-30,Network activity,ip-dst|port,43.198.114.188|443,pupy botnet C2 server (confidence level: 50%)
2024-06-30,Network activity,ip-dst|port,1.161.66.179|443,QakBot botnet C2 server (confidence level: 50%)
2024-06-30,Network activity,ip-dst|port,78.166.52.204|443,QakBot botnet C2 server (confidence level: 50%)
