+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: URLhaus IOCs for 2024-06-03
| UUID: b5c8d5cd-4f36-4595-9b9c-361c63c89329
| Date: 2024-06-03
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-06-03,Payload delivery,url,http://42.224.4.69:40012/i,Malware distribution site
2024-06-03,Payload delivery,url,http://223.12.10.200:55038/Mozi.m,Malware distribution site
2024-06-03,Payload delivery,url,http://112.248.30.57:42944/Mozi.m,Malware distribution site
2024-06-03,Payload delivery,url,http://171.123.177.169:50066/Mozi.m,Malware distribution site
2024-06-03,Payload delivery,url,http://117.219.62.67:55638/Mozi.m,Malware distribution site
2024-06-03,Payload delivery,url,http://117.253.215.44:58141/bin.sh,Malware distribution site
2024-06-03,Payload delivery,url,http://115.50.220.199:42213/bin.sh,Malware distribution site
2024-06-03,Payload delivery,url,http://117.245.42.198:52117/bin.sh,Malware distribution site
2024-06-03,Payload delivery,url,http://42.239.235.194:34858/bin.sh,Malware distribution site
2024-06-03,Payload delivery,url,http://41.250.206.38:47408/i,Malware distribution site
2024-06-03,Payload delivery,url,http://115.56.128.69:46778/bin.sh,Malware distribution site
2024-06-03,Payload delivery,url,http://110.72.32.233:38182/bin.sh,Malware distribution site
2024-06-03,Payload delivery,url,http://59.91.90.42:44647/Mozi.m,Malware distribution site
2024-06-03,Payload delivery,url,http://117.245.45.60:57761/bin.sh,Malware distribution site
2024-06-03,Payload delivery,url,http://117.212.165.116:40613/bin.sh,Malware distribution site
2024-06-03,Payload delivery,url,http://60.16.96.54:38120/bin.sh,Malware distribution site
2024-06-03,Payload delivery,url,http://117.245.42.227:60138/bin.sh,Malware distribution site
2024-06-03,Payload delivery,url,http://110.72.32.233:38182/i,Malware distribution site
2024-06-03,Payload delivery,url,http://117.245.44.157:51816/bin.sh,Malware distribution site
2024-06-03,Payload delivery,url,http://222.134.163.157:48500/i,Malware distribution site
2024-06-03,Payload delivery,url,http://182.121.117.102:45885/bin.sh,Malware distribution site
2024-06-03,Payload delivery,url,http://222.139.38.83:34410/bin.sh,Malware distribution site
2024-06-03,Payload delivery,url,http://117.245.45.79:34362/bin.sh,Malware distribution site
2024-06-03,Payload delivery,url,http://120.56.4.24:44740/i,Malware distribution site
2024-06-03,Payload delivery,url,http://42.239.235.194:34858/i,Malware distribution site
2024-06-03,Payload delivery,url,http://95.106.162.188:36203/bin.sh,Malware distribution site
2024-06-03,Payload delivery,url,http://115.56.128.69:46778/i,Malware distribution site
2024-06-03,Payload delivery,url,http://115.50.222.76:32862/bin.sh,Malware distribution site
2024-06-03,Payload delivery,url,http://182.112.185.39:59616/bin.sh,Malware distribution site
2024-06-03,Payload delivery,url,http://117.245.42.198:52117/i,Malware distribution site
2024-06-03,Payload delivery,url,http://117.252.172.18:41349/Mozi.m,Malware distribution site
2024-06-03,Payload delivery,url,http://117.248.26.242:42165/Mozi.a,Malware distribution site
2024-06-03,Payload delivery,url,http://218.29.146.181:60277/Mozi.m,Malware distribution site
