+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: URLhaus IOCs for 2024-06-06
| UUID: 80137a7f-a85b-42dc-a1d7-a2d34d45712e
| Date: 2024-06-06
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-06-06,Payload delivery,url,http://182.121.115.184:43940/bin.sh,Malware distribution site
2024-06-06,Payload delivery,url,http://117.196.160.44:54831/i,Malware distribution site
2024-06-06,Payload delivery,url,http://117.253.13.137:48567/i,Malware distribution site
2024-06-06,Payload delivery,url,http://42.232.215.118:47376/bin.sh,Malware distribution site
2024-06-06,Payload delivery,url,http://182.117.78.127:44302/i,Malware distribution site
2024-06-06,Payload delivery,url,http://203.189.250.155:52343/Mozi.m,Malware distribution site
2024-06-06,Payload delivery,url,http://59.182.116.83:46690/Mozi.m,Malware distribution site
2024-06-06,Payload delivery,url,http://222.138.119.227:40893/Mozi.m,Malware distribution site
2024-06-06,Payload delivery,url,http://123.10.59.22:37328/Mozi.m,Malware distribution site
2024-06-06,Payload delivery,url,http://59.93.190.114:57360/Mozi.m,Malware distribution site
2024-06-06,Payload delivery,url,http://59.184.48.12:52372/bin.sh,Malware distribution site
2024-06-06,Payload delivery,url,http://59.88.11.192:58882/i,Malware distribution site
2024-06-06,Payload delivery,url,http://119.117.169.186:49849/bin.sh,Malware distribution site
2024-06-06,Payload delivery,url,http://59.88.12.123:33230/i,Malware distribution site
2024-06-06,Payload delivery,url,http://123.4.155.120:45061/bin.sh,Malware distribution site
2024-06-06,Payload delivery,url,http://117.211.45.252:51503/bin.sh,Malware distribution site
2024-06-06,Payload delivery,url,http://61.53.126.16:35101/bin.sh,Malware distribution site
2024-06-06,Payload delivery,url,http://182.113.42.229:55034/bin.sh,Malware distribution site
2024-06-06,Payload delivery,url,http://115.55.91.76:39856/i,Malware distribution site
2024-06-06,Payload delivery,url,http://117.204.192.90:33366/i,Malware distribution site
2024-06-06,Payload delivery,url,http://117.206.75.85:36748/bin.sh,Malware distribution site
2024-06-06,Payload delivery,url,http://222.141.22.232:42935/Mozi.m,Malware distribution site
2024-06-06,Payload delivery,url,http://14.241.227.216:48283/Mozi.m,Malware distribution site
2024-06-06,Payload delivery,url,http://60.211.87.5:40953/bin.sh,Malware distribution site
2024-06-06,Payload delivery,url,http://59.91.164.105:47726/Mozi.m,Malware distribution site
2024-06-06,Payload delivery,url,http://123.189.207.57:59043/i,Malware distribution site
2024-06-06,Payload delivery,url,http://61.53.72.90:34528/bin.sh,Malware distribution site
2024-06-06,Payload delivery,url,http://59.182.89.133:35663/i,Malware distribution site
2024-06-06,Payload delivery,url,http://182.117.49.38:51496/bin.sh,Malware distribution site
2024-06-06,Payload delivery,url,http://117.213.116.27:35076/i,Malware distribution site
2024-06-06,Payload delivery,url,http://117.220.151.81:50035/bin.sh,Malware distribution site
2024-06-06,Payload delivery,url,http://93.123.39.185/bins/sora.x86,Malware distribution site
2024-06-06,Payload delivery,url,http://117.242.195.64:34730/bin.sh,Malware distribution site
2024-06-06,Payload delivery,url,http://119.117.169.186:49849/i,Malware distribution site
2024-06-06,Payload delivery,url,http://119.179.35.20:48521/i,Malware distribution site
2024-06-06,Payload delivery,url,http://117.220.146.45:56824/Mozi.m,Malware distribution site
2024-06-06,Payload delivery,url,http://60.211.87.5:40953/i,Malware distribution site
2024-06-06,Payload delivery,url,http://39.184.135.85:45158/bin.sh,Malware distribution site
2024-06-06,Payload delivery,url,http://119.180.110.113:55167/i,Malware distribution site
2024-06-06,Payload delivery,url,http://182.113.42.229:55034/i,Malware distribution site
2024-06-06,Payload delivery,url,http://117.211.45.252:51503/i,Malware distribution site
2024-06-06,Payload delivery,url,http://117.245.38.147:33488/bin.sh,Malware distribution site
2024-06-06,Payload delivery,url,http://117.253.98.43:42673/bin.sh,Malware distribution site
2024-06-06,Payload delivery,url,http://61.53.126.16:35101/i,Malware distribution site
2024-06-06,Payload delivery,url,http://117.206.75.85:36748/i,Malware distribution site
2024-06-06,Payload delivery,url,http://123.4.155.120:45061/i,Malware distribution site
2024-06-06,Payload delivery,url,http://1.70.23.124:34435/.i,Malware distribution site
2024-06-06,Payload delivery,url,http://188.136.142.166:2394/Mozi.m,Malware distribution site
2024-06-06,Payload delivery,url,http://117.211.232.85:50942/Mozi.m,Malware distribution site
2024-06-06,Payload delivery,url,http://59.182.149.159:38008/bin.sh,Malware distribution site
2024-06-06,Payload delivery,url,http://59.91.90.5:47633/bin.sh,Malware distribution site
2024-06-06,Payload delivery,url,http://117.213.90.29:54338/bin.sh,Malware distribution site
2024-06-06,Payload delivery,url,http://27.215.214.191:50039/i,Malware distribution site
2024-06-06,Payload delivery,url,https://universalmovies.top/john.doc,Malware distribution site
2024-06-06,Payload delivery,url,http://93.123.39.185/bins/sora.arm,Malware distribution site
2024-06-06,Payload delivery,url,http://93.123.39.185/bins/sora.arm5,Malware distribution site
2024-06-06,Payload delivery,url,https://universalmovies.top/obizx.doc,Malware distribution site
2024-06-06,Payload delivery,url,http://175.173.79.19:36406/bin.sh,Malware distribution site
2024-06-06,Payload delivery,url,http://117.245.38.147:33488/i,Malware distribution site
2024-06-06,Payload delivery,url,http://221.15.89.108:41872/bin.sh,Malware distribution site
2024-06-06,Payload delivery,url,http://42.87.141.135:36361/bin.sh,Malware distribution site
2024-06-06,Payload delivery,url,http://117.242.194.78:40229/Mozi.m,Malware distribution site
2024-06-06,Payload delivery,url,http://117.196.170.181:35614/Mozi.m,Malware distribution site
2024-06-06,Payload delivery,url,http://125.42.203.122:56971/bin.sh,Malware distribution site
2024-06-06,Payload delivery,url,http://115.55.225.224:46880/bin.sh,Malware distribution site
2024-06-06,Payload delivery,url,http://123.7.221.189:59898/bin.sh,Malware distribution site
2024-06-06,Payload delivery,url,http://117.204.204.75:48155/bin.sh,Malware distribution site
2024-06-06,Payload delivery,url,http://115.54.126.148:38697/bin.sh,Malware distribution site
2024-06-06,Payload delivery,url,http://182.124.145.242:37303/Mozi.a,Malware distribution site
2024-06-06,Payload delivery,url,http://123.14.162.62:33206/Mozi.m,Malware distribution site
2024-06-06,Payload delivery,url,http://117.204.202.84:33899/Mozi.m,Malware distribution site
2024-06-06,Payload delivery,url,http://42.224.137.188:49424/Mozi.m,Malware distribution site
2024-06-06,Payload delivery,url,http://117.213.90.29:54338/i,Malware distribution site
2024-06-06,Payload delivery,url,http://42.238.237.31:42730/Mozi.m,Malware distribution site
2024-06-06,Payload delivery,url,http://115.54.74.83:46125/bin.sh,Malware distribution site
2024-06-06,Payload delivery,url,http://117.211.232.85:50942/bin.sh,Malware distribution site
2024-06-06,Payload delivery,url,http://59.88.11.74:45883/bin.sh,Malware distribution site
2024-06-06,Payload delivery,url,http://42.87.141.135:36361/i,Malware distribution site
2024-06-06,Payload delivery,url,http://125.42.203.122:56971/i,Malware distribution site
