+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: URLhaus IOCs for 2024-06-23
| UUID: 7c05e0b7-20ea-484f-87b3-c5c954413e62
| Date: 2024-06-23
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-06-23,Payload delivery,url,http://27.207.217.244:60914/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://117.219.131.111:56711/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://59.99.98.31:53700/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://59.97.116.18:43032/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://117.245.43.114:47619/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://42.235.191.24:45349/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://117.248.31.196:54275/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://115.55.245.154:50464/i,Malware distribution site
2024-06-23,Payload delivery,url,http://115.192.101.231:36991/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://59.184.254.30:51236/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://117.222.118.2:34474/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://175.154.54.60:54171/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://122.190.253.54:39043/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://163.142.94.30:52879/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://117.214.254.229:58005/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://61.52.38.184:54793/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://117.248.166.48:36676/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://59.93.183.26:37344/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://117.207.41.149:42311/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://119.179.238.140:49696/i,Malware distribution site
2024-06-23,Payload delivery,url,http://42.224.182.22:49866/i,Malware distribution site
2024-06-23,Payload delivery,url,http://117.198.14.231:51106/i,Malware distribution site
2024-06-23,Payload delivery,url,http://117.215.240.5:59842/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://115.63.251.155:58580/i,Malware distribution site
2024-06-23,Payload delivery,url,http://182.121.9.67:42068/i,Malware distribution site
2024-06-23,Payload delivery,url,http://182.113.38.229:47836/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://115.55.230.82:51507/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://59.88.238.174:44490/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://117.216.17.131:51444/i,Malware distribution site
2024-06-23,Payload delivery,url,http://183.149.226.116:60601/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://59.178.251.84:41741/i,Malware distribution site
2024-06-23,Payload delivery,url,http://117.248.42.1:34031/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://117.209.43.41:53045/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://27.207.217.244:60914/i,Malware distribution site
2024-06-23,Payload delivery,url,http://110.181.116.89:37644/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://61.3.101.178:33072/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://117.248.167.79:57645/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://115.63.8.146:56681/i,Malware distribution site
2024-06-23,Payload delivery,url,http://59.91.91.193:35672/i,Malware distribution site
2024-06-23,Payload delivery,url,http://117.255.80.245:53013/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://182.127.46.205:58481/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://117.251.180.142:32978/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://125.44.55.66:50984/mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://59.95.86.110:50614/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://42.239.14.201:53196/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://222.137.209.88:34768/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://182.113.38.229:47836/i,Malware distribution site
2024-06-23,Payload delivery,url,http://42.180.84.184:40181/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://117.198.12.13:39538/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://117.209.43.41:53045/i,Malware distribution site
2024-06-23,Payload delivery,url,http://171.123.191.187:53025/i,Malware distribution site
2024-06-23,Payload delivery,url,http://115.58.8.172:56973/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://117.253.110.40:38880/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://123.234.85.244:42005/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://117.212.223.169:43292/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://59.88.238.174:44490/i,Malware distribution site
2024-06-23,Payload delivery,url,http://115.55.53.150:53702/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://117.253.1.62:49642/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://117.245.36.177:46066/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://117.199.154.222:57014/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://110.181.116.89:37644/i,Malware distribution site
2024-06-23,Payload delivery,url,http://182.119.183.201:49044/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://59.182.145.28:43471/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://117.208.225.151:41948/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://182.124.84.188:59287/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://59.99.130.231:60267/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://117.253.164.191:56154/i,Malware distribution site
2024-06-23,Payload delivery,url,http://117.211.45.134:48842/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://117.199.85.12:53654/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://117.252.171.149:52076/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://61.3.101.178:33072/i,Malware distribution site
2024-06-23,Payload delivery,url,http://117.248.174.89:45034/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://59.97.114.154:59755/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://196.191.231.12:57868/i,Malware distribution site
2024-06-23,Payload delivery,url,http://222.142.251.40:50230/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://61.176.12.129:37606/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://222.137.209.88:34768/i,Malware distribution site
2024-06-23,Payload delivery,url,http://42.180.84.184:40181/i,Malware distribution site
2024-06-23,Payload delivery,url,http://117.194.213.231:51732/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://115.62.61.23:52527/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://59.99.214.222:46524/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://115.55.246.88:36029/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://119.189.172.140:49432/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://117.206.182.228:48347/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://117.207.20.13:41633/i,Malware distribution site
2024-06-23,Payload delivery,url,http://115.54.119.86:33021/i,Malware distribution site
2024-06-23,Payload delivery,url,http://123.234.85.244:42005/i,Malware distribution site
2024-06-23,Payload delivery,url,http://117.208.213.247:45924/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://182.124.84.188:59287/i,Malware distribution site
2024-06-23,Payload delivery,url,http://117.248.168.119:44760/i,Malware distribution site
2024-06-23,Payload delivery,url,http://117.212.223.169:43292/i,Malware distribution site
2024-06-23,Payload delivery,url,http://117.217.87.167:55361/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://61.3.100.39:58311/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://125.46.207.206:39395/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://61.3.94.116:57363/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://117.253.209.31:47031/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://117.248.174.89:45034/i,Malware distribution site
2024-06-23,Payload delivery,url,http://117.222.122.17:50340/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://42.58.17.121:59043/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://59.93.182.159:49594/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://59.99.130.231:60267/i,Malware distribution site
2024-06-23,Payload delivery,url,http://117.221.173.125:57979/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://61.3.92.56:34659/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://59.95.82.84:35761/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://119.189.172.140:49432/i,Malware distribution site
2024-06-23,Payload delivery,url,http://117.208.253.2:42692/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://117.252.171.149:52076/i,Malware distribution site
2024-06-23,Payload delivery,url,http://116.104.74.83:39817/i,Malware distribution site
2024-06-23,Payload delivery,url,http://59.99.214.222:46524/i,Malware distribution site
2024-06-23,Payload delivery,url,http://61.176.12.129:37606/i,Malware distribution site
2024-06-23,Payload delivery,url,http://182.121.248.21:52748/i,Malware distribution site
2024-06-23,Payload delivery,url,http://117.211.215.190:59407/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://59.95.90.88:53824/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://117.252.171.28:45539/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://59.88.228.196:43683/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://117.206.182.228:48347/i,Malware distribution site
2024-06-23,Payload delivery,url,http://222.138.17.83:40931/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://59.93.166.142:46993/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://42.233.148.27:41471/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://115.55.246.88:36029/i,Malware distribution site
2024-06-23,Payload delivery,url,http://61.3.100.39:58311/i,Malware distribution site
2024-06-23,Payload delivery,url,http://117.255.96.103:60266/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://117.208.213.247:45924/i,Malware distribution site
2024-06-23,Payload delivery,url,http://117.248.160.179:48098/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://117.196.66.203:34286/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://59.95.82.84:35761/i,Malware distribution site
2024-06-23,Payload delivery,url,http://125.46.207.206:39395/i,Malware distribution site
2024-06-23,Payload delivery,url,http://61.53.252.48:34019/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://117.221.173.125:57979/i,Malware distribution site
2024-06-23,Payload delivery,url,http://61.3.92.56:34659/i,Malware distribution site
2024-06-23,Payload delivery,url,http://117.199.85.12:53654/i,Malware distribution site
2024-06-23,Payload delivery,url,http://115.63.131.83:47352/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://175.195.237.60:41209/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://117.206.180.13:51652/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://59.93.236.240:55631/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://59.93.188.215:44498/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://59.91.84.90:57810/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://59.184.251.65:42008/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://182.56.194.133:53913/i,Malware distribution site
2024-06-23,Payload delivery,url,http://113.228.121.59:45157/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://61.53.251.32:35607/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://42.239.190.207:50530/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://59.88.228.196:43683/i,Malware distribution site
2024-06-23,Payload delivery,url,http://59.182.125.57:45924/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://123.129.132.153:52492/i,Malware distribution site
2024-06-23,Payload delivery,url,http://115.48.131.50:36285/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://59.91.174.148:36501/mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://1.53.15.25:34228/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://117.208.228.61:56144/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://42.52.116.171:35682/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://59.182.116.0:37498/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://61.0.180.111:56379/bin.sh,Malware distribution site
2024-06-23,Payload delivery,url,http://117.212.56.100:45843/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://61.52.48.7:56566/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://61.53.85.219:52460/Mozi.m,Malware distribution site
2024-06-23,Payload delivery,url,http://117.255.96.103:60266/i,Malware distribution site
2024-06-23,Payload delivery,url,http://59.93.188.207:45397/Mozi.m,Malware distribution site
