+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: AgentTesla host indicators [2024-07-19]
| UUID: 67658bcd-1905-411d-8320-dcd3bf0a6efd
| Date: 2024-07-19
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-07-19,Payload installation,filename,Payment swift copy103988.exe,Source: MalwareBazaar
2024-07-19,Payload installation,md5,096b55aa95b8f82d5b9556152b9250a0,Source: MalwareBazaar
2024-07-19,Payload installation,sha1,0198752c135477a24cf44b9302e9641021ba6ddb,Source: MalwareBazaar
2024-07-19,Payload installation,sha256,2ce9fb8459a0f6e72a7d182331b0a70a65ccaf4f3381c3dcf58daffa95f47471,Source: MalwareBazaar
2024-07-19,Payload installation,filename,swift code.docx,Source: MalwareBazaar
2024-07-19,Payload installation,md5,4df8ff3f5542b0223e9f9a4a01a37de4,Source: MalwareBazaar
2024-07-19,Payload installation,sha1,c63c15b9aceb05fad38a6c527b444ff826985db0,Source: MalwareBazaar
2024-07-19,Payload installation,sha256,bf0fb9348736b302afeb9167c53d54f437963fe3024acd86673c8175b4ec16cc,Source: MalwareBazaar
2024-07-19,Payload installation,filename,payment_application.xls,Source: MalwareBazaar
2024-07-19,Payload installation,md5,b363a9de28fa08d52fd1bcbe66b62177,Source: MalwareBazaar
2024-07-19,Payload installation,sha1,4d76d82d397c088d68038414bcc945c7e62fef9f,Source: MalwareBazaar
2024-07-19,Payload installation,sha256,5bf939a5ebe508171529552a5d1495f495393ebb08eb87c08ac1f5fb9e0f941d,Source: MalwareBazaar
2024-07-19,Payload installation,filename,9a5faf2d13c1fb4ac9aa52154c3a6dc5,Source: MalwareBazaar
2024-07-19,Payload installation,md5,9a5faf2d13c1fb4ac9aa52154c3a6dc5,Source: MalwareBazaar
2024-07-19,Payload installation,sha1,dc60265245e1324833800a26cf05c0d948824a19,Source: MalwareBazaar
2024-07-19,Payload installation,sha256,7956f2479300a4b8532afcc9f9a6ebb62262ddf33c2773fb540ea3b58c73fed5,Source: MalwareBazaar
