+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: DDoSia - NoName057(16) - Configuration : 2024-07-20_08-10-03
| UUID: 3bf9b27c-28e0-49bd-9ac5-df313fd934e7
| Date: 2024-07-20
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-07-20,Other,text,DDoSia-go,
2024-07-20,Other,text,642fe391318a95e3914263c7,
2024-07-20,Other,text,637f2a4b93afe95f1102e0d4,
2024-07-20,Network activity,hostname,www.rzeszowairport.pl,
2024-07-20,Network activity,ip-dst,194.181.25.236,
2024-07-20,Other,text,http,
2024-07-20,Other,text,GET,
2024-07-20,Network activity,port,443,
2024-07-20,Other,text,1,
2024-07-20,Other,text,/pl/lotnisko/aktualnosci/p:$_2,
2024-07-20,Other,text,DDoSia-go,
2024-07-20,Other,text,642fe391318a95e3914263c7,
2024-07-20,Other,text,637f2a4b93afe95f1102e0d5,
2024-07-20,Network activity,hostname,www.rzeszowairport.pl,
2024-07-20,Network activity,ip-dst,194.181.25.236,
2024-07-20,Other,text,tcp,
2024-07-20,Other,text,syn,
2024-07-20,Network activity,port,443,
2024-07-20,Other,text,1,
2024-07-20,Other,text,DDoSia-go,
2024-07-20,Other,text,642fe391318a95e3914263c7,
2024-07-20,Other,text,637f2a7f93afe95f1103306b,
2024-07-20,Network activity,hostname,www.rzeszowairport.pl,
2024-07-20,Network activity,ip-dst,194.181.25.236,
2024-07-20,Other,text,http,
2024-07-20,Other,text,GET,
2024-07-20,Network activity,port,443,
2024-07-20,Other,text,1,
2024-07-20,Other,text,/pl/lotnisko/aktualnosci/p:$_2,
2024-07-20,Other,text,DDoSia-go,
2024-07-20,Other,text,642fe391318a95e3914263c7,
2024-07-20,Other,text,637f2a7f93afe95f1103306c,
2024-07-20,Network activity,hostname,www.rzeszowairport.pl,
2024-07-20,Network activity,ip-dst,194.181.25.236,
2024-07-20,Other,text,tcp,
2024-07-20,Other,text,syn,
2024-07-20,Network activity,port,443,
2024-07-20,Other,text,1,
2024-07-20,Other,text,DDoSia-go,
2024-07-20,Other,text,642fe391318a95e3914263c7,
2024-07-20,Other,text,637f2a7f93afe95f1103306d,
2024-07-20,Network activity,hostname,www.rzeszowairport.pl,
2024-07-20,Network activity,ip-dst,178.219.19.229,
2024-07-20,Other,text,tcp,
2024-07-20,Other,text,syn,
2024-07-20,Network activity,port,80,
2024-07-20,Other,text,1,
2024-07-20,Other,text,DDoSia-go,
2024-07-20,Other,text,642fe391318a95e3914263c7,
2024-07-20,Other,text,66943b97cce49baae67f326e,
