+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: DDoSia - NoName057(16) - Configuration : 2024-07-23_08-05-04
| UUID: fa4c9596-c446-428a-9f16-7eb7ea59ce2f
| Date: 2024-07-23
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-07-23,Other,text,DDoSia-go,
2024-07-23,Other,text,669e73bbb2b92f35a4eaf337,
2024-07-23,Other,text,669e73bbb2b92f35a4eaf338,
2024-07-23,Network activity,hostname,www.ksslk.cz,
2024-07-23,Network activity,ip-dst,80.240.27.133,
2024-07-23,Other,text,http2,
2024-07-23,Other,text,GET,
2024-07-23,Network activity,port,443,
2024-07-23,Other,text,1,
2024-07-23,Other,text,/xmlrpc.php,
2024-07-23,Other,text,DDoSia-go,
2024-07-23,Other,text,669e73bbb2b92f35a4eaf337,
2024-07-23,Other,text,669e73bbb2b92f35a4eaf339,
2024-07-23,Network activity,hostname,www.ksslk.cz,
2024-07-23,Network activity,ip-dst,80.240.27.133,
2024-07-23,Other,text,tcp,
2024-07-23,Other,text,syn,
2024-07-23,Network activity,port,21,
2024-07-23,Other,text,1,
2024-07-23,Other,text,DDoSia-go,
2024-07-23,Other,text,669e73bbb2b92f35a4eaf337,
2024-07-23,Other,text,669e73bbb2b92f35a4eaf33a,
2024-07-23,Network activity,hostname,www.ksslk.cz,
2024-07-23,Network activity,ip-dst,80.240.27.133,
2024-07-23,Other,text,tcp,
2024-07-23,Other,text,ack,
2024-07-23,Network activity,port,21,
2024-07-23,Other,text,1,
2024-07-23,Other,text,DDoSia-go,
2024-07-23,Other,text,669e73bbb2b92f35a4eaf337,
2024-07-23,Other,text,669e73bbb2b92f35a4eaf33b,
2024-07-23,Network activity,hostname,www.ksslk.cz,
