+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Daily Phishing list urlabuse.com - 2024-07-22
| UUID: de8a26c7-fd60-4517-995f-d3bf5a58100c
| Date: 2024-07-22
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-07-23,Network activity,hostname,vvipsexdating21.pages.dev,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://vvipsexdating21.pages.dev,Source URL
2024-07-23,Other,text,Telegram,Target of the attack
2024-07-23,Network activity,hostname,brandynudesss.pages.dev,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://brandynudesss.pages.dev,Source URL
2024-07-23,Other,text,Whatsapp,Target of the attack
2024-07-23,Network activity,hostname,fileinc.github.io,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,https://fileinc.github.io/projec/,Source URL
2024-07-23,Other,text,Microsoft,Target of the attack
2024-07-23,Network activity,hostname,ask966.videovlick-cp.my.id,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://ask966.videovlick-cp.my.id/login.php,Source URL
2024-07-23,Other,text,Telegram,Target of the attack
2024-07-23,Network activity,hostname,telegrlam.icu,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,https://telegrlam.icu/,Source URL
2024-07-23,Other,text,Telegram,Target of the attack
2024-07-23,Network activity,hostname,brandy-italian-sex.pages.dev,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://brandy-italian-sex.pages.dev,Source URL
2024-07-23,Other,text,Whatsapp,Target of the attack
2024-07-23,Network activity,hostname,telegramxx-online.pages.dev,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://telegramxx-online.pages.dev,Source URL
2024-07-23,Other,text,Telegram,Target of the attack
2024-07-23,Network activity,hostname,35ya5rt5a3t3t3r54t34.pages.dev,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://35ya5rt5a3t3t3r54t34.pages.dev,Source URL
2024-07-23,Other,text,Generic Email,Target of the attack
2024-07-23,Network activity,hostname,app.ceresinvestimentos.com,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://app.ceresinvestimentos.com,Source URL
2024-07-23,Other,text,Whatsapp,Target of the attack
2024-07-23,Network activity,hostname,ridex-cloud.pages.dev,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://ridex-cloud.pages.dev,Source URL
2024-07-23,Other,text,Crypto,Target of the attack
2024-07-23,Network activity,hostname,maskdwv.free.nf,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,https://maskdwv.free.nf/?i=1,Source URL
2024-07-23,Other,text,Microsoft,Target of the attack
2024-07-23,Network activity,hostname,samnong.co.kr,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://samnong.co.kr/data/member/config/login.php,Source URL
2024-07-23,Other,text,Microsoft,Target of the attack
2024-07-23,Network activity,hostname,kog.pages.dev,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://kog.pages.dev,Source URL
2024-07-23,Other,text,Yahoo!,Target of the attack
2024-07-23,Network activity,hostname,jhgfderewazxcfdrtyuikjhtgbvftyhgvcdedcvbnjygfdwedxzxfghbv1.pages.dev,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://jhgfderewazxcfdrtyuikjhtgbvftyhgvcdedcvbnjygfdwedxzxfghbv1.pages.dev,Source URL
2024-07-23,Other,text,Generic Email,Target of the attack
2024-07-23,Network activity,hostname,7z3-iyzdk1raj3tpjisqgrgah0nn-0763xsqv8acz-gib4sa1qro5k-6o1.pages.dev,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://7z3-iyzdk1raj3tpjisqgrgah0nn-0763xsqv8acz-gib4sa1qro5k-6o1.pages.dev,Source URL
2024-07-23,Other,text,Microsoft,Target of the attack
2024-07-23,Network activity,hostname,postachde.top,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,https://postachde.top/ch/,Source URL
2024-07-23,Other,text,SwissPost,Target of the attack
2024-07-23,Network activity,hostname,login-svvisspass.eu,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,https://login-svvisspass.eu/sbb/pass/eb23c/,Source URL
2024-07-23,Other,text,SwissPass,Target of the attack
2024-07-23,Network activity,hostname,konkreta.com.br,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,https://konkreta.com.br/sxxs,Source URL
2024-07-23,Other,text,SwissPass,Target of the attack
2024-07-23,Network activity,hostname,usps.jvtuzlhpdcb.top,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://usps.jvtuzlhpdcb.top,Source URL
2024-07-23,Other,text,USPS,Target of the attack
2024-07-23,Network activity,hostname,joingdgg.yzcom.biz.id,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://joingdgg.yzcom.biz.id,Source URL
2024-07-23,Other,text,Whatsapp,Target of the attack
2024-07-23,Network activity,hostname,b13nfz9.myrdbx.io,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,https://b13nfz9.myrdbx.io/login/viseca/,Source URL
2024-07-23,Other,text,one,Target of the attack
2024-07-23,Network activity,hostname,swissone2024.blogspot.com,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,https://swissone2024.blogspot.com/,Source URL
2024-07-23,Other,text,one,Target of the attack
2024-07-23,Network activity,hostname,infloper.duckdns.org,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://infloper.duckdns.org,Source URL
2024-07-23,Other,text,Facebook,Target of the attack
2024-07-23,Network activity,hostname,treupassc1lient-m365d0xacesss.d4docusignn.workers.dev,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://treupassc1lient-m365d0xacesss.d4docusignn.workers.dev,Source URL
2024-07-23,Other,text,Microsoft,Target of the attack
2024-07-23,Network activity,hostname,lastdelivery.myvnc.com,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://lastdelivery.myvnc.com,Source URL
2024-07-23,Other,text,UPS,Target of the attack
2024-07-23,Network activity,hostname,edbia.ir,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://edbia.ir/%f0%9d%93%bc%e2%80%8c%e2%80%8c/,Source URL
2024-07-23,Other,text,Adliran,Target of the attack
2024-07-23,Network activity,hostname,redirected-protocol.pages.dev,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://redirected-protocol.pages.dev,Source URL
2024-07-23,Other,text,Crypto,Target of the attack
2024-07-23,Network activity,hostname,6656j99.com,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,https://6656j99.com/,Source URL
2024-07-23,Other,text,Bet365,Target of the attack
2024-07-23,Network activity,hostname,telegrnai.work,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://telegrnai.work/,Source URL
2024-07-23,Other,text,Telegram,Target of the attack
2024-07-23,Network activity,hostname,telegriiam.work,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://telegriiam.work/,Source URL
2024-07-23,Other,text,Telegram,Target of the attack
2024-07-23,Network activity,hostname,telegrmal.work,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://telegrmal.work/,Source URL
2024-07-23,Other,text,Telegram,Target of the attack
2024-07-23,Network activity,hostname,telegaram.work,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://telegaram.work/,Source URL
2024-07-23,Other,text,Telegram,Target of the attack
2024-07-23,Network activity,hostname,telegarcm.work,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://telegarcm.work/,Source URL
2024-07-23,Other,text,Telegram,Target of the attack
2024-07-23,Network activity,hostname,spo.devgdmsuk.com,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://spo.devgdmsuk.com/,Source URL
2024-07-23,Other,text,Microsoft,Target of the attack
2024-07-23,Network activity,hostname,nodapp.xfles.my.id,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,https://www.nodapp.xfles.my.id/,Source URL
2024-07-23,Other,text,Telegram,Target of the attack
2024-07-23,Network activity,hostname,web-millionaire.online.ytwwrntym.com,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,https://web-millionaire.online.ytwwrntym.com/,Source URL
2024-07-23,Other,text,Telegram,Target of the attack
2024-07-23,Network activity,hostname,sozdor9s.com,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,https://sozdor9s.com/,Source URL
2024-07-23,Other,text,Telegram,Target of the attack
2024-07-23,Network activity,hostname,telegram-grill-group.pages.dev,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,https://telegram-grill-group.pages.dev/,Source URL
2024-07-23,Other,text,Telegram,Target of the attack
2024-07-23,Network activity,hostname,hetonet.org,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,https://hetonet.org/,Source URL
2024-07-23,Other,text,Telegram,Target of the attack
2024-07-23,Network activity,hostname,telegzram.work,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://telegzram.work/,Source URL
2024-07-23,Other,text,Telegram,Target of the attack
2024-07-23,Network activity,hostname,community-of-sex-crazy-girls.pages.dev,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,https://community-of-sex-crazy-girls.pages.dev/,Source URL
2024-07-23,Other,text,Telegram,Target of the attack
2024-07-23,Network activity,hostname,bt-management.weeblysite.com,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,https://bt-management.weeblysite.com,Source URL
2024-07-23,Other,text,BT,Target of the attack
2024-07-23,Network activity,hostname,dropbox.com,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,https://www.dropbox.com/scl/fi/us7db81rzvms304petgpt/BT-VOICE-MESSAGE.paper?rlkey=siyb0fj04up0m5protya2q5v7,Source URL
2024-07-23,Other,text,BT,Target of the attack
2024-07-23,Network activity,hostname,sharedresources.yrdfqetsidbvee.workers.dev,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://sharedresources.yrdfqetsidbvee.workers.dev,Source URL
2024-07-23,Other,text,Generic Email,Target of the attack
2024-07-23,Network activity,hostname,hsco-aua-pdf.pages.dev,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://hsco-aua-pdf.pages.dev,Source URL
2024-07-23,Other,text,Microsoft,Target of the attack
2024-07-23,Network activity,hostname,telegram-sex-naughty18.pages.dev,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://telegram-sex-naughty18.pages.dev,Source URL
2024-07-23,Other,text,Telegram,Target of the attack
2024-07-23,Network activity,hostname,docs.google.com,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,https://docs.google.com/presentation/d/e/2PACX-1vRxexuycUDHAWcYu5tEGpDoVS7Guve4SlYmnubGnGDBvf47pqyk3BMS8RjBKMGlh4RQvMYaJsHxeH-G/pub?start=false,Source URL
2024-07-23,Other,text,Other,Target of the attack
2024-07-23,Network activity,hostname,page-timeniratgbew-8lg.pages.dev,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://page-timeniratgbew-8lg.pages.dev,Source URL
2024-07-23,Other,text,Amazon,Target of the attack
2024-07-23,Network activity,hostname,page-timemnrbbhg3-dgg.pages.dev,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://page-timemnrbbhg3-dgg.pages.dev,Source URL
2024-07-23,Other,text,Amazon,Target of the attack
2024-07-23,Network activity,hostname,page-timehthfbfgh-5vz.pages.dev,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://page-timehthfbfgh-5vz.pages.dev,Source URL
2024-07-23,Other,text,Amazon,Target of the attack
2024-07-23,Network activity,hostname,page-timekjnibdfdfv-9cl.pages.dev,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://page-timekjnibdfdfv-9cl.pages.dev,Source URL
2024-07-23,Other,text,Amazon,Target of the attack
2024-07-23,Network activity,hostname,scarletmail-rutgers.pages.dev,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://scarletmail-rutgers.pages.dev,Source URL
2024-07-23,Other,text,Microsoft,Target of the attack
2024-07-23,Network activity,hostname,pre-approved.booking-listing-930737.com,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,https://pre-approved.booking-listing-930737.com/en/hotel/lovely-villa-bellagio/1721579112,Source URL
2024-07-23,Other,text,booking.com,Target of the attack
2024-07-23,Network activity,hostname,page-timenhjyjyfc1-ats.pages.dev,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://page-timenhjyjyfc1-ats.pages.dev,Source URL
2024-07-23,Other,text,Amazon,Target of the attack
2024-07-23,Network activity,hostname,file-pil.pages.dev,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://file-pil.pages.dev,Source URL
2024-07-23,Other,text,Microsoft,Target of the attack
2024-07-23,Network activity,hostname,postachdey.top,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,https://postachdey.top/ch/,Source URL
2024-07-23,Other,text,DiePost,Target of the attack
2024-07-23,Network activity,hostname,re-accessco.pages.dev,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://re-accessco.pages.dev,Source URL
2024-07-23,Other,text,Crypto,Target of the attack
2024-07-23,Network activity,hostname,usps.hikoqmxltvs.top,Host name or IP address of the phishing attack
2024-07-23,Network activity,url,http://usps.hikoqmxltvs.top,Source URL
2024-07-23,Other,text,USPS,Target of the attack
