+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Formbook host indicators [2024-07-18]
| UUID: db533371-c47b-4303-ae46-f5317112c733
| Date: 2024-07-18
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-07-18,Payload installation,filename,Scannedfile_pdf.bat,Source: MalwareBazaar
2024-07-18,Payload installation,md5,4487a9e9e3e893a5463b20366cb3c57f,Source: MalwareBazaar
2024-07-18,Payload installation,sha1,ec5fc6ae41546de9e923c7efdd96333e91143dee,Source: MalwareBazaar
2024-07-18,Payload installation,sha256,208d7ee1a8672a1f84f4fe54837aa8743e4b5c02d11491f8f409cf78cb8d5f04,Source: MalwareBazaar
2024-07-18,Payload installation,filename,SOA JUNE 2024.rar,Source: MalwareBazaar
2024-07-18,Payload installation,md5,f2697e21e8c30e873153398a4ad134e6,Source: MalwareBazaar
2024-07-18,Payload installation,sha1,7cf3f6b59a8c77f14f0065b5a3ec8bc7c92c50c0,Source: MalwareBazaar
2024-07-18,Payload installation,sha256,dcf9d474fac5e29e97c00050a27a18ca0b5bcf19391bccf6b72706c4209195fc,Source: MalwareBazaar
2024-07-18,Payload installation,filename,H37012.exe,Source: MalwareBazaar
2024-07-18,Payload installation,md5,6c63cd4270013e1d03abde4d6acf18fe,Source: MalwareBazaar
2024-07-18,Payload installation,sha1,70a81b1b6d7b773d48e6293d23cb7858d69d4a7b,Source: MalwareBazaar
2024-07-18,Payload installation,sha256,94f29a8158717b4c268b41e8eb72bc7301f2d4578dc41a06deabe79ff8e767dd,Source: MalwareBazaar
