+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Phishing urls 2024-07-22 23:36:01Z
| UUID: bd0a9df8-2808-44f1-8e96-68d1c86d18a5
| Date: 2024-07-22
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-07-23,Network activity,url,https://olx-pl.figusano.pics/payment/8028bfe08e76/millennium,Phishing site
2024-07-23,Network activity,url,https://olx-pl.lhufad.shop/payment/8028bfe08e76/millennium,Phishing site
2024-07-23,Network activity,url,https://olx-pl.qepokilu.shop/payment/8028bfe08e76/millennium,Phishing site
2024-07-23,Network activity,url,https://olx-pl.balidykow.lol/payment/8028bfe08e76/millennium,Phishing site
2024-07-23,Network activity,url,https://olx-pl.opulikano.lol/payment/8028bfe08e76/millennium,Phishing site
2024-07-23,Network activity,url,https://olx-pl.zaurademo.lol/payment/8028bfe08e76/millennium,Phishing site
2024-07-23,Network activity,url,https://olx-pl.nzewapok.lol/payment/8028bfe08e76/millennium,Phishing site
2024-07-23,Network activity,url,https://olx-pl.vqpokur.lol/payment/8028bfe08e76/millennium,Phishing site
2024-07-23,Network activity,url,https://olx-pl.kazcoiur.shop/payment/8028bfe08e76/millennium,Phishing site
2024-07-23,Network activity,url,https://olx-pl.knytrop.shop/payment/8028bfe08e76/millennium,Phishing site
