+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Remcos host indicators [2024-07-09]
| UUID: c832fed4-a89b-4dd9-b592-f63c749eeda7
| Date: 2024-07-10
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-07-09,Payload installation,filename,RFQ#00308-QUANTUM MACH.exe,Source: MalwareBazaar
2024-07-09,Payload installation,md5,bd8f8174f29c54f867ca5f3ad387b194,Source: MalwareBazaar
2024-07-09,Payload installation,sha1,3b2cd56888de17fa56cc4d2bb9e0754431a094be,Source: MalwareBazaar
2024-07-09,Payload installation,sha256,de8a9c273adc8bd2c615a7e09c87cb8b9cfc38ef6317bfa435b4a3474f1b670f,Source: MalwareBazaar
2024-07-09,Payload installation,filename,17205148126ac2da6bb98bfbbdf0e8548ffc9b1a78b4d8987ee78be9cae98ea22e5237be9b532.dat-decoded,Source: MalwareBazaar
2024-07-09,Payload installation,md5,75d689afb9d588ba45169a8cf4134972,Source: MalwareBazaar
2024-07-09,Payload installation,sha1,c8aab05beac46e73f65a5d8946ee2171bbdd8934,Source: MalwareBazaar
2024-07-09,Payload installation,sha256,9f5411bfa192d6d099aa19af966a620b17da4ee5c95e53c0897122eaaf8ae9e6,Source: MalwareBazaar
2024-07-09,Payload installation,filename,QUOTATION.vbs,Source: MalwareBazaar
2024-07-09,Payload installation,md5,eb4af9c38c74ac3af25ed28b05d85320,Source: MalwareBazaar
2024-07-09,Payload installation,sha1,fee9e2a1f4bb9e3bdcb5b13cf6639abc4cc2eda5,Source: MalwareBazaar
2024-07-09,Payload installation,sha256,35edb4ce1ef532a67c3521d7f05b2f7b4616582adaa55b102893c06f98ec9b86,Source: MalwareBazaar
2024-07-09,Payload installation,filename,Quote - QUO0000_50502.scr,Source: MalwareBazaar
2024-07-09,Payload installation,md5,a35683ad12f004d512b53db7e56c0f1e,Source: MalwareBazaar
2024-07-09,Payload installation,sha1,b374ded49f0cbb44d62eacc4559a0599fc8e7693,Source: MalwareBazaar
