+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
"| Title: ""Subject: Fw:Zapytanie o cenę w sierpniu - From: info@acninc.org"" Campaign"
| UUID: 4e3751e7-6348-4e36-b1f6-97b1c0f75eae
| Date: 2024-07-31
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-07-31,Payload delivery,email-src,info@acninc.org,Source email: from info@acninc.org - subject: Fw:Zapytanie o cenę w sierpniu
2024-07-31,Payload delivery,email-body,"Dzień dobry 

Czy cena załączonego produktu jest nadal taka sama?, proszę o
potwierdzenie, ponieważ chcemy złożyć ZAMÓWIENIE na sierpień.
Czekam na odpowiedź.

Z pozdrowieniami/Best regards, 

Włodek Flisikowski 

Stock Supervisor 

M/f Wawel 

www.polferries.pl [1] 

 

Links:
------
[1] http://www.polferries.pl/",Source email: from info@acninc.org - subject: Fw:Zapytanie o cenę w sierpniu
2024-07-31,Payload delivery,email-subject,Fw:Zapytanie o cenę w sierpniu,Source: from info@acninc.org - subject: Fw:Zapytanie o cenę w sierpniu
2024-07-31,Payload delivery,filename|sha256,RFQ_30-07-24_URGENT.docx|f53fd6eaeeefc5f6909d9edfd106fa6dcef86c8382a425c3eeb4a09841809107,Malspam attachment - source: from info@acninc.org - subject: Fw:Zapytanie o cenę w sierpniu mime: application/vnd.openxmlformats-officedocument.wordprocessingml.document
2024-07-31,Payload delivery,filename|ssdeep,RFQ_30-07-24_URGENT.docx|1536:3izw/hgP0QF6smQKEMzqsQtrm5rbXkvMtLQ6j7jfmMIGSzyn5ivkSVkkKLkJeGZI:K0Q8hjOXIrbXyMtE6j/EfvkS8Lr8I,Malspam attachment - source: from info@acninc.org - subject: Fw:Zapytanie o cenę w sierpniu mime: application/vnd.openxmlformats-officedocument.wordprocessingml.document
2024-07-31,Payload delivery,filename|sha1,RFQ_30-07-24_URGENT.docx|dbd8b7c2824bb695d977630979c3f69fe8a6f34a,Malspam attachment - source: from info@acninc.org - subject: Fw:Zapytanie o cenę w sierpniu mime: application/vnd.openxmlformats-officedocument.wordprocessingml.document
2024-07-31,Payload delivery,filename|sha512,RFQ_30-07-24_URGENT.docx|ccc7e968337b8c342c2b5b6733db933eb0a71c94a36a7f39981ce1d45a851b6361b57ee06613836a37ba0c17001c44eac92b5ecc6b8ad64fcd6a38a671da372e,Malspam attachment - source: from info@acninc.org - subject: Fw:Zapytanie o cenę w sierpniu mime: application/vnd.openxmlformats-officedocument.wordprocessingml.document
2024-07-31,Payload delivery,filename|md5,RFQ_30-07-24_URGENT.docx|e0e689d6e72fbac3f69e5421a9434d77,Malspam attachment - source: from info@acninc.org - subject: Fw:Zapytanie o cenę w sierpniu mime: application/vnd.openxmlformats-officedocument.wordprocessingml.document
2024-07-31,Payload delivery,filename|imphash,MML.dll|dae02f32a21e03ce65412f6e56942daa,Extracted from dh2g5lo2o8KhXru.exe; mime: application/x-dosexec
2024-07-31,Payload delivery,filename|md5,MML.dll|aa802efdbea1bc3c464d774ee5ff1dde,Extracted from dh2g5lo2o8KhXru.exe; mime: application/x-dosexec
2024-07-31,Payload delivery,filename|sha1,MML.dll|eba1db1a3f26cdb4e11d75499448dfc498fcc4d4,Extracted from dh2g5lo2o8KhXru.exe; mime: application/x-dosexec
2024-07-31,Payload delivery,filename|sha256,MML.dll|cab6a13eb67b557098f77b98629067b44d816356edcd34279f73c749560e3fbd,Extracted from dh2g5lo2o8KhXru.exe; mime: application/x-dosexec
2024-07-31,Payload delivery,filename|sha512,MML.dll|016d363b1cae61a2ecebc12c2f58316a169c54e7360bc2e0ef2f34efd0e6040786ea7f29e95bf1e319936176b2e9103f4ea0bbbb187576eaa6d69577e4b21152,Extracted from dh2g5lo2o8KhXru.exe; mime: application/x-dosexec
2024-07-31,Payload delivery,filename|ssdeep,MML.dll|768:ASwb0vQVxgWRtxwEGwmPru7Twgdnz1IeL3B2xFzOqmEUjmhaiDAm5RjJhHxFpkab:Ib0vQVxgetxwEGwmPru7TwgdJIyRSFzf,Extracted from dh2g5lo2o8KhXru.exe; mime: application/x-dosexec
2024-07-31,Payload delivery,filename|imphash,Remington.exe|f34d5f2d4577ed6d9ceec516c1f5a744,Extracted from dh2g5lo2o8KhXru.exe; mime: application/x-dosexec
2024-07-31,Payload delivery,filename|md5,Remington.exe|2686019972bc0ab5bf2c58382f9be54b,Extracted from dh2g5lo2o8KhXru.exe; mime: application/x-dosexec
2024-07-31,Payload delivery,filename|sha1,Remington.exe|c7acddec20ee8b13c1ccb320fa1d6b523dedb7c3,Extracted from dh2g5lo2o8KhXru.exe; mime: application/x-dosexec
2024-07-31,Payload delivery,filename|sha256,Remington.exe|28157d1b0cd85f2071e8f27d89aceae0749e0e74aedf1d9f423d0dacdb650bb5,Extracted from dh2g5lo2o8KhXru.exe; mime: application/x-dosexec
2024-07-31,Payload delivery,filename|sha512,Remington.exe|0223b1e2b160c3bff70eb85fa2aa1c5398ca1997aa3649426da7781e6b3790c1867027a9907c665b1fcaa25251509c31a02aaa62021d4aad036d066dee0ef3da,Extracted from dh2g5lo2o8KhXru.exe; mime: application/x-dosexec
