+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2024-07-04
| UUID: f2b9c5b5-ac35-44ef-b794-edbb9d618e4b
| Date: 2024-07-04
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-07-04,Network activity,ip-dst|port,79.110.62.16|1912,RedLine Stealer botnet C2 server (confidence level: 100%)
2024-07-04,Network activity,ip-dst|port,178.78.19.238|1337,NjRAT botnet C2 server (confidence level: 75%)
2024-07-04,Network activity,ip-dst|port,91.222.173.204|80,DarkGate botnet C2 server (confidence level: 100%)
2024-07-04,Payload delivery,url,https://starjod.xyz/website.php,Unknown malware payload delivery URL (confidence level: 100%)
2024-07-04,Network activity,ip-dst|port,94.156.71.43|80,RedLine Stealer botnet C2 server (confidence level: 100%)
2024-07-04,Network activity,ip-dst|port,105.154.107.145|10000,NjRAT botnet C2 server (confidence level: 100%)
2024-07-04,Network activity,ip-dst|port,77.91.77.180|50500,RisePro botnet C2 server (confidence level: 100%)
2024-07-04,Network activity,url,http://a0996099.xsph.ru/l1nc0in.php,DCRat botnet C2 (confidence level: 100%)
2024-07-04,Payload delivery,url,https://www.antonina.campi.spotkaniakultur.com/article.php,GootLoader payload delivery URL (confidence level: 100%)
2024-07-04,Network activity,url,http://47.237.84.207:9777/ptj,Cobalt Strike botnet C2 (confidence level: 100%)
2024-07-04,Network activity,ip-dst|port,47.237.84.207|8001,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-04,Network activity,url,http://47.236.69.44:8002/ie9compatviewlist.xml,Cobalt Strike botnet C2 (confidence level: 100%)
2024-07-04,Network activity,ip-dst|port,47.237.84.207|8002,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-04,Payload delivery,url,http://144.22.38.242/4444.apk,Meterpreter payload delivery URL (confidence level: 100%)
2024-07-04,Payload delivery,url,http://144.22.38.242/4444.elf,Meterpreter payload delivery URL (confidence level: 100%)
2024-07-04,Payload delivery,url,http://144.22.38.242/4444.exe,Meterpreter payload delivery URL (confidence level: 100%)
2024-07-04,Payload delivery,url,http://144.22.38.242/5555.exe,Meterpreter payload delivery URL (confidence level: 100%)
2024-07-04,Payload delivery,url,http://144.22.38.242/6666.apk,Meterpreter payload delivery URL (confidence level: 100%)
