+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2024-07-18
| UUID: 547e7a24-dea6-47b0-b999-ccb9ea9855ea
| Date: 2024-07-18
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-07-18,Network activity,ip-dst|port,54.153.17.157|14445,NjRAT botnet C2 server (confidence level: 75%)
2024-07-18,Network activity,domain,mrat23009.dyndns.org,NjRAT botnet C2 domain (confidence level: 75%)
2024-07-18,Network activity,ip-dst|port,8.222.217.180|80,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-07-18,Network activity,ip-dst|port,116.205.188.138|81,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-07-18,Network activity,ip-dst|port,124.70.0.130|9080,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-07-18,Network activity,ip-dst|port,94.156.64.184|80,Hook botnet C2 server (confidence level: 80%)
2024-07-18,Network activity,ip-dst|port,45.11.41.89|8888,DarkComet botnet C2 server (confidence level: 80%)
2024-07-18,Network activity,ip-dst|port,149.104.29.1|8082,VBREVSHELL botnet C2 server (confidence level: 50%)
2024-07-18,Network activity,ip-dst|port,80.87.206.197|443,Havoc botnet C2 server (confidence level: 50%)
2024-07-18,Network activity,ip-dst|port,103.199.100.28|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,92.63.107.3|8080,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,42.194.196.215|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,103.199.100.2|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,117.72.13.23|3000,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,134.122.176.156|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,47.236.51.54|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,47.99.45.207|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,103.199.100.15|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,101.132.253.18|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,202.95.12.132|8443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,47.236.49.64|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,47.108.90.232|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,8.137.96.177|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,8.222.197.61|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,8.222.242.102|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,121.41.36.81|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,47.76.230.250|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,107.173.53.191|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,103.199.100.28|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,62.234.18.252|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,47.108.168.196|8111,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,47.94.213.94|8111,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,106.53.213.253|8082,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,116.62.149.37|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,119.91.153.13|9999,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,47.236.53.235|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,47.236.48.71|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,139.159.235.105|8888,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,124.221.200.19|8888,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,117.50.177.190|8888,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,123.57.5.163|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,47.92.109.147|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,139.159.235.105|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,23.94.141.249|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,154.201.86.169|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,103.199.100.2|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,120.46.190.216|7777,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-07-18,Network activity,ip-dst|port,103.199.100.15|443,Cobalt Strike botnet C2 server (confidence level: 100%)
