+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: URLhaus IOCs for 2024-07-12
| UUID: 60a219c2-2da9-4a64-8c3f-6f295d90dd4d
| Date: 2024-07-12
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-07-12,Payload delivery,url,http://78.186.45.130:60138/i,Malware distribution site
2024-07-12,Payload delivery,url,http://115.58.120.194:34766/i,Malware distribution site
2024-07-12,Payload delivery,url,http://117.253.210.178:38291/i,Malware distribution site
2024-07-12,Payload delivery,url,http://120.56.4.195:33171/Mozi.m,Malware distribution site
2024-07-12,Payload delivery,url,http://61.3.101.117:55031/Mozi.m,Malware distribution site
2024-07-12,Payload delivery,url,http://61.3.72.209:36186/Mozi.m,Malware distribution site
2024-07-12,Payload delivery,url,http://222.138.239.80:37987/Mozi.m,Malware distribution site
2024-07-12,Payload delivery,url,http://59.99.211.152:55858/Mozi.m,Malware distribution site
2024-07-12,Payload delivery,url,http://117.253.96.108:49710/Mozi.m,Malware distribution site
2024-07-12,Payload delivery,url,http://117.248.174.84:40602/Mozi.m,Malware distribution site
2024-07-12,Payload delivery,url,http://117.248.162.146:47104/Mozi.m,Malware distribution site
2024-07-12,Payload delivery,url,http://115.53.242.203:52169/Mozi.m,Malware distribution site
2024-07-12,Payload delivery,url,http://219.156.90.137:52326/bin.sh,Malware distribution site
2024-07-12,Payload delivery,url,http://90.230.11.218:42765/Mozi.m,Malware distribution site
2024-07-12,Payload delivery,url,http://39.90.147.176:55955/Mozi.m,Malware distribution site
