+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: URLhaus IOCs for 2024-07-17
| UUID: edc4a378-ff0f-4cd7-8ffc-1e4849f068e5
| Date: 2024-07-17
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-07-17,Payload delivery,url,http://117.206.69.94:55163/i,Malware distribution site
2024-07-17,Payload delivery,url,http://117.255.19.212:48916/i,Malware distribution site
2024-07-17,Payload delivery,url,http://125.44.21.211:60769/Mozi.m,Malware distribution site
2024-07-17,Payload delivery,url,http://125.45.64.18:39876/Mozi.m,Malware distribution site
2024-07-17,Payload delivery,url,http://117.207.30.31:49164/Mozi.m,Malware distribution site
2024-07-17,Payload delivery,url,http://117.243.254.104:37564/Mozi.m,Malware distribution site
2024-07-17,Payload delivery,url,http://219.152.15.144:36094/Mozi.m,Malware distribution site
2024-07-17,Payload delivery,url,http://59.182.121.128:48844/Mozi.m,Malware distribution site
2024-07-17,Payload delivery,url,http://123.234.60.245:56302/Mozi.m,Malware distribution site
2024-07-17,Payload delivery,url,http://42.235.94.185:39240/bin.sh,Malware distribution site
2024-07-17,Payload delivery,url,http://190.109.227.250:51086/Mozi.m,Malware distribution site
2024-07-17,Payload delivery,url,http://175.10.144.71:37527/bin.sh,Malware distribution site
2024-07-17,Payload delivery,url,http://117.213.127.73:41376/Mozi.m,Malware distribution site
2024-07-17,Payload delivery,url,http://117.217.60.56:47401/Mozi.m,Malware distribution site
2024-07-17,Payload delivery,url,http://112.242.59.23:56199/Mozi.m,Malware distribution site
2024-07-17,Payload delivery,url,http://117.222.204.212:56153/Mozi.m,Malware distribution site
2024-07-17,Payload delivery,url,http://178.141.34.255:38908/i,Malware distribution site
2024-07-17,Payload delivery,url,http://117.208.210.86:39854/i,Malware distribution site
2024-07-17,Payload delivery,url,http://59.93.183.29:49537/bin.sh,Malware distribution site
2024-07-17,Payload delivery,url,http://125.45.64.218:34095/bin.sh,Malware distribution site
2024-07-17,Payload delivery,url,http://59.97.125.234:47567/i,Malware distribution site
2024-07-17,Payload delivery,url,http://123.14.41.250:58248/i,Malware distribution site
2024-07-17,Payload delivery,url,http://117.248.163.91:60641/bin.sh,Malware distribution site
2024-07-17,Payload delivery,url,http://117.235.40.65:50263/bin.sh,Malware distribution site
2024-07-17,Payload delivery,url,http://117.245.43.226:55911/i,Malware distribution site
2024-07-17,Payload delivery,url,http://117.235.100.198:34145/i,Malware distribution site
2024-07-17,Payload delivery,url,http://117.248.166.202:52058/i,Malware distribution site
2024-07-17,Payload delivery,url,http://117.213.29.178:60990/bin.sh,Malware distribution site
2024-07-17,Payload delivery,url,http://59.99.193.15:50496/bin.sh,Malware distribution site
2024-07-17,Payload delivery,url,http://42.53.141.20:60814/i,Malware distribution site
2024-07-17,Payload delivery,url,http://117.245.32.89:47530/bin.sh,Malware distribution site
2024-07-17,Payload delivery,url,http://117.254.183.11:36657/Mozi.m,Malware distribution site
2024-07-17,Payload delivery,url,http://117.216.20.236:49569/Mozi.m,Malware distribution site
2024-07-17,Payload delivery,url,http://117.255.185.1:33440/Mozi.m,Malware distribution site
2024-07-17,Payload delivery,url,http://182.119.230.235:54272/bin.sh,Malware distribution site
2024-07-17,Payload delivery,url,http://59.97.112.43:43147/i,Malware distribution site
2024-07-17,Payload delivery,url,http://59.95.91.148:59116/Mozi.m,Malware distribution site
2024-07-17,Payload delivery,url,http://59.93.88.8:51564/bin.sh,Malware distribution site
2024-07-17,Payload delivery,url,http://42.85.112.71:34535/bin.sh,Malware distribution site
2024-07-17,Payload delivery,url,http://79.137.192.13/prog/669698e482bd9_finesoft.exe#mene,Malware distribution site
2024-07-17,Payload delivery,url,http://219.155.83.156:55161/bin.sh,Malware distribution site
2024-07-17,Payload delivery,url,http://59.91.1.233:58499/bin.sh,Malware distribution site
2024-07-17,Payload delivery,url,http://117.248.164.9:38748/bin.sh,Malware distribution site
2024-07-17,Payload delivery,url,http://221.0.148.232:57828/bin.sh,Malware distribution site
2024-07-17,Payload delivery,url,http://125.45.64.218:34095/i,Malware distribution site
2024-07-17,Payload delivery,url,http://117.254.195.41:41617/bin.sh,Malware distribution site
2024-07-17,Payload delivery,url,https://mnqd.schedule.golfballnutz.com/editContent,Malware distribution site
2024-07-17,Payload delivery,url,http://1.70.12.87:32687/.i,Malware distribution site
2024-07-17,Payload delivery,url,http://115.55.254.163:55146/Mozi.m,Malware distribution site
2024-07-17,Payload delivery,url,http://59.92.184.232:51364/Mozi.m,Malware distribution site
2024-07-17,Payload delivery,url,http://117.200.148.160:37923/Mozi.m,Malware distribution site
2024-07-17,Payload delivery,url,http://61.3.137.142:58978/Mozi.m,Malware distribution site
2024-07-17,Payload delivery,url,http://59.182.107.227:56156/Mozi.m,Malware distribution site
2024-07-17,Payload delivery,url,http://117.216.151.118:33264/Mozi.m,Malware distribution site
2024-07-17,Payload delivery,url,http://117.248.168.9:32917/Mozi.m,Malware distribution site
2024-07-17,Payload delivery,url,http://115.48.147.129:49254/Mozi.m,Malware distribution site
2024-07-17,Payload delivery,url,http://79.137.192.13/prog/6696621cecc83_crypted.exe,Malware distribution site
2024-07-17,Payload delivery,url,http://77.91.77.81/lend/appmodedrivme.exe,Malware distribution site
2024-07-17,Payload delivery,url,http://79.137.192.13/lopsa/66967d2323cae_cry.exe#kisvid,Malware distribution site
2024-07-17,Payload delivery,url,http://46.19.143.28/.n00b420/..vbuck.x86,Malware distribution site
