+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: URLhaus IOCs for 2024-07-22
| UUID: 878683e3-1b43-4834-84d0-cb58229c9cd7
| Date: 2024-07-22
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-07-22,Payload delivery,url,http://117.209.44.168:52811/i,Malware distribution site
2024-07-22,Payload delivery,url,http://190.109.230.58:38437/bin.sh,Malware distribution site
2024-07-22,Payload delivery,url,http://117.219.40.123:49777/bin.sh,Malware distribution site
2024-07-22,Payload delivery,url,http://59.182.81.207:35580/bin.sh,Malware distribution site
2024-07-22,Payload delivery,url,http://59.183.107.181:41075/i,Malware distribution site
2024-07-22,Payload delivery,url,http://117.248.172.169:52573/Mozi.m,Malware distribution site
2024-07-22,Payload delivery,url,http://117.222.115.210:40024/Mozi.m,Malware distribution site
2024-07-22,Payload delivery,url,http://182.122.224.215:40294/Mozi.a,Malware distribution site
2024-07-22,Payload delivery,url,http://117.198.14.248:39177/Mozi.m,Malware distribution site
2024-07-22,Payload delivery,url,http://61.3.110.191:39122/Mozi.m,Malware distribution site
2024-07-22,Payload delivery,url,http://182.56.43.26:42724/bin.sh,Malware distribution site
2024-07-22,Payload delivery,url,http://117.242.72.192:46975/i,Malware distribution site
2024-07-22,Payload delivery,url,http://117.212.190.110:41576/bin.sh,Malware distribution site
2024-07-22,Payload delivery,url,http://117.196.163.156:48679/i,Malware distribution site
2024-07-22,Payload delivery,url,http://222.140.181.83:36215/bin.sh,Malware distribution site
2024-07-22,Payload delivery,url,http://61.3.15.97:34430/bin.sh,Malware distribution site
2024-07-22,Payload delivery,url,http://182.124.147.50:43095/i,Malware distribution site
2024-07-22,Payload delivery,url,http://119.115.69.34:37474/bin.sh,Malware distribution site
2024-07-22,Payload delivery,url,http://59.93.29.187:41627/bin.sh,Malware distribution site
2024-07-22,Payload delivery,url,http://222.138.150.19:38454/bin.sh,Malware distribution site
2024-07-22,Payload delivery,url,http://182.121.249.239:51023/Mozi.m,Malware distribution site
2024-07-22,Payload delivery,url,http://117.206.188.30:43694/Mozi.m,Malware distribution site
2024-07-22,Payload delivery,url,http://123.5.157.119:59443/bin.sh,Malware distribution site
2024-07-22,Payload delivery,url,http://59.99.128.197:40943/Mozi.m,Malware distribution site
2024-07-22,Payload delivery,url,http://61.3.99.94:52319/Mozi.m,Malware distribution site
2024-07-22,Payload delivery,url,http://59.178.26.49:33392/Mozi.a,Malware distribution site
2024-07-22,Payload delivery,url,http://85.239.34.37/AB4g5/Josho.arm,Malware distribution site
2024-07-22,Payload delivery,url,http://117.248.25.145:51809/bin.sh,Malware distribution site
2024-07-22,Payload delivery,url,http://42.230.218.222:43388/bin.sh,Malware distribution site
2024-07-22,Payload delivery,url,http://125.44.32.78:47484/bin.sh,Malware distribution site
2024-07-22,Payload delivery,url,http://42.230.218.222:43388/i,Malware distribution site
2024-07-22,Payload delivery,url,http://42.225.200.216:36584/bin.sh,Malware distribution site
2024-07-22,Payload delivery,url,http://222.138.101.239:34711/bin.sh,Malware distribution site
2024-07-22,Payload delivery,url,http://119.115.69.34:37474/i,Malware distribution site
2024-07-22,Payload delivery,url,http://221.15.7.17:57971/bin.sh,Malware distribution site
2024-07-22,Payload delivery,url,http://59.182.81.207:35580/i,Malware distribution site
2024-07-22,Payload delivery,url,http://190.109.230.58:38437/i,Malware distribution site
2024-07-22,Payload delivery,url,http://182.120.4.86:47252/i,Malware distribution site
2024-07-22,Payload delivery,url,http://222.140.181.83:36215/i,Malware distribution site
2024-07-22,Payload delivery,url,http://117.219.40.123:49777/i,Malware distribution site
2024-07-22,Payload delivery,url,http://61.52.51.21:44797/bin.sh,Malware distribution site
2024-07-22,Payload delivery,url,http://59.178.179.153:36463/bin.sh,Malware distribution site
2024-07-22,Payload delivery,url,http://117.195.234.105:42275/i,Malware distribution site
2024-07-22,Payload delivery,url,http://117.219.123.108:39998/i,Malware distribution site
2024-07-22,Payload delivery,url,http://59.93.22.200:33420/bin.sh,Malware distribution site
2024-07-22,Payload delivery,url,http://117.248.23.11:52750/bin.sh,Malware distribution site
2024-07-22,Payload delivery,url,http://117.253.170.109:48310/bin.sh,Malware distribution site
2024-07-22,Payload delivery,url,http://117.242.233.48:45100/bin.sh,Malware distribution site
2024-07-22,Payload delivery,url,http://85.239.34.37/AB4g5/Josho.spc,Malware distribution site
2024-07-22,Payload delivery,url,http://38.137.248.18:56931/bin.sh,Malware distribution site
2024-07-22,Payload delivery,url,http://182.117.70.86:46583/i,Malware distribution site
2024-07-22,Payload delivery,url,http://39.88.4.56:54875/Mozi.m,Malware distribution site
2024-07-22,Payload delivery,url,http://117.206.182.130:48060/Mozi.m,Malware distribution site
2024-07-22,Payload delivery,url,http://222.138.150.19:38454/i,Malware distribution site
2024-07-22,Payload delivery,url,http://117.248.25.145:51809/i,Malware distribution site
2024-07-22,Payload delivery,url,http://115.50.100.80:37504/bin.sh,Malware distribution site
2024-07-22,Payload delivery,url,http://117.216.157.56:60126/i,Malware distribution site
2024-07-22,Payload delivery,url,http://221.15.7.17:57971/i,Malware distribution site
2024-07-22,Payload delivery,url,http://222.138.101.239:34711/i,Malware distribution site
2024-07-22,Payload delivery,url,http://117.206.190.10:49140/i,Malware distribution site
2024-07-22,Payload delivery,url,http://125.43.39.142:36504/bin.sh,Malware distribution site
