+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: AgentTesla host indicators [2024-08-18]
| UUID: e1a32e0a-7e06-4616-9d9e-2287e983812e
| Date: 2024-08-18
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-08-18,Payload installation,filename,RFQ SC 3003742364w‮f᠎d᠎p᠎..exe,Source: MalwareBazaar
2024-08-18,Payload installation,md5,8743dc690d854c6655613f6d0da7efbd,Source: MalwareBazaar
2024-08-18,Payload installation,sha1,da8e180e2e77796cfa6e2894f9183c426c1ac0a2,Source: MalwareBazaar
2024-08-18,Payload installation,sha256,81f71d84098affeccf8eaf4a9c1877fde54c1c0b9d5b803f75e49944864c4fa5,Source: MalwareBazaar
2024-08-19,Payload installation,filename,EUR Swift Bildirimi12-08-2024.exe,Source: MalwareBazaar
2024-08-19,Payload installation,md5,111377f936cda72a8aca49f346efa7e4,Source: MalwareBazaar
2024-08-19,Payload installation,sha1,b9fb749f7a9004b71f932d569172c945ef573155,Source: MalwareBazaar
2024-08-19,Payload installation,sha256,e3c05cfd183753142de8880780a2e4467338633360aa07efa9e0d48188ccd3bd,Source: MalwareBazaar
2024-08-19,Payload installation,filename,MACHINE SPCIFICATIONS.exe,Source: MalwareBazaar
2024-08-19,Payload installation,md5,8fb49f3feb5ba615e7a903f37243bf59,Source: MalwareBazaar
2024-08-19,Payload installation,sha1,00534901d3ca166da11faf295f29a2deda81bcf9,Source: MalwareBazaar
2024-08-19,Payload installation,sha256,e9f3e79bb7ebece6575eb47226086f6e0df7331bc6f79f8442608cd5d6a18b3e,Source: MalwareBazaar
2024-08-19,Payload installation,filename,IMPORT PO2024-0961 ASTG.exe,Source: MalwareBazaar
2024-08-19,Payload installation,md5,17a825e38324e6efc7261122a5bd3330,Source: MalwareBazaar
2024-08-19,Payload installation,sha1,34515bfed6a82f1aa9058465a92a02e10e3d6fc6,Source: MalwareBazaar
2024-08-19,Payload installation,sha256,fffbd78bb2682da5b60d2cb6173c1b8354ff47fa5ff95b22fd2847dc92a9f47d,Source: MalwareBazaar
