+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: AgentTesla host indicators [2024-08-20]
| UUID: 47993a07-d502-4554-8968-64771aab7fb8
| Date: 2024-08-20
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-08-20,Payload installation,filename,M.V ELITE DIVA SHIP's PARTICULARS.pdf.scr,Source: MalwareBazaar
2024-08-20,Payload installation,md5,6cca484df391ecb807f2059ae3faff4f,Source: MalwareBazaar
2024-08-20,Payload installation,sha1,0a44afff854e0bf52383f57993fd4868b285547d,Source: MalwareBazaar
2024-08-20,Payload installation,sha256,8e3db35284b6e1ea560c14a69ea4dfd6ef8e27fe9974a609116d00f2d764bfeb,Source: MalwareBazaar
2024-08-20,Payload installation,filename,MV KAI RUI - TC PARTICULARS.docx.scr,Source: MalwareBazaar
2024-08-20,Payload installation,md5,288b2bbe42d693252714e4058626abd8,Source: MalwareBazaar
2024-08-20,Payload installation,sha1,b98f82414fb3830f7e41fbf0110de0f2fc6a7801,Source: MalwareBazaar
2024-08-20,Payload installation,sha256,053c940f835b1c6624b6b0421b680da5c984b056734db107a7d6c8dfbe1837fd,Source: MalwareBazaar
2024-08-20,Payload installation,filename,PAGO SWIFT INV NUMB43568B30000097 PDF.exe,Source: MalwareBazaar
2024-08-20,Payload installation,md5,2ce97177b58818d9de353686ad898df2,Source: MalwareBazaar
2024-08-20,Payload installation,sha1,b55340c26b3424fa7e7a2535b6b495b1ef2de018,Source: MalwareBazaar
2024-08-20,Payload installation,sha256,8dc055b7b9e0b9a68c9ad2a0305410a75b0ea3dc441c60a3acf44cce47415fc1,Source: MalwareBazaar
2024-08-20,Payload installation,filename,AQUAVITA AIM - VSL's PARTICULARS.docx.scr,Source: MalwareBazaar
2024-08-20,Payload installation,md5,7c3393719b6d048923f447fa8368fcdd,Source: MalwareBazaar
2024-08-20,Payload installation,sha1,c905d742fe3fdf245423e3fbbc1d8898c5134cee,Source: MalwareBazaar
2024-08-20,Payload installation,sha256,c9f0c595e62ee31b17e1b62cc7be551a1cd46c3395a282fead293a5033674328,Source: MalwareBazaar
2024-08-20,Payload installation,filename,Payment Notice.exe,Source: MalwareBazaar
2024-08-20,Payload installation,md5,5974fbc5aa1f4650f2cc0ad7a0d18ac6,Source: MalwareBazaar
2024-08-20,Payload installation,sha1,7667370902109d81ef864d0b34d9127ae04d4f26,Source: MalwareBazaar
2024-08-20,Payload installation,sha256,8b9ed7cbe84b68a9b190a2cfc34c605bc1e2f3851f8eeeb84d4313d8b42431ff,Source: MalwareBazaar
2024-08-20,Payload installation,filename,ctrsys.exe,Source: MalwareBazaar
2024-08-20,Payload installation,md5,3870e4591ce517d956771e23c361582d,Source: MalwareBazaar
2024-08-20,Payload installation,sha1,28d09d35d3e5a8490ef4a4ebaa36262fa411afba,Source: MalwareBazaar
2024-08-20,Payload installation,sha256,2c85d7c4dd069fff494edd19387d56e54a52f6ef1b557f3d775f999410eb5a4d,Source: MalwareBazaar
2024-08-20,Payload installation,filename,Payment 23832 Proforma INV. Bank Confirmation.exe,Source: MalwareBazaar
2024-08-20,Payload installation,md5,b5a0c11acde8300f629c93e1146dcf1d,Source: MalwareBazaar
2024-08-20,Payload installation,sha1,f56a646248755bccb3e889611dc6631b2c885555,Source: MalwareBazaar
2024-08-20,Payload installation,sha256,576f4658c5c58273967350871dfd6d60e64d54d772c812f8507de67d4784f6ff,Source: MalwareBazaar
2024-08-20,Payload installation,filename,PI-0008102024002REMAP.exe,Source: MalwareBazaar
2024-08-20,Payload installation,md5,2ec649d06e77b173b7d1596c504a4bba,Source: MalwareBazaar
2024-08-20,Payload installation,sha1,5a639f6c409ced21d8c46f282b9a6a21f9b9852e,Source: MalwareBazaar
2024-08-20,Payload installation,sha256,ceff051136dccfd74af1534ee564da59f06c1f3f30988c31cbc357f1b1adba4e,Source: MalwareBazaar
2024-08-20,Payload installation,filename,INV N,Source: MalwareBazaar
2024-08-20,Payload installation,md5,b860477bafb4d00f95496882d8d32fb8,Source: MalwareBazaar
2024-08-20,Payload installation,sha1,e96dbcff3deab2fa47dda3b2b5698d44ce49d421,Source: MalwareBazaar
2024-08-20,Payload installation,sha256,61c746b5ea4e7c67cb05e2ba0673807698da7eaed31023a8a13163ba27d8c547,Source: MalwareBazaar
