+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: AgentTesla host indicators [2024-08-21]
| UUID: a234af72-0eac-4525-8cee-5c26b0dd3abd
| Date: 2024-08-21
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-08-21,Payload installation,filename,MT.Hunter - Vessel's Details.doc.scr,Source: MalwareBazaar
2024-08-21,Payload installation,md5,722c821ad39dfa881452827cf5012955,Source: MalwareBazaar
2024-08-21,Payload installation,sha1,fcb43bf83d5450d7d9e67624b3f402412ab817ac,Source: MalwareBazaar
2024-08-21,Payload installation,sha256,db20bf3295f1aae23ce386ffb850622a77a474a8a1ddaf240965082ee03055bf,Source: MalwareBazaar
2024-08-21,Payload installation,filename,MV Catalina Particulars.pdf.scr,Source: MalwareBazaar
2024-08-21,Payload installation,md5,2e6ef588b0bd675d3d50f45f34a54034,Source: MalwareBazaar
2024-08-21,Payload installation,sha1,af15044f2150015777a36bf3c5a8fdb60f42f5d7,Source: MalwareBazaar
2024-08-21,Payload installation,sha256,793683a76efa38f5ad0608e7a7419af3802b4a7cd5d3d428f2f1a7e6f0e6ad0e,Source: MalwareBazaar
2024-08-21,Payload installation,filename,RFQ-41593-21052024112851.bat,Source: MalwareBazaar
2024-08-21,Payload installation,md5,7f33f97007025dc51b1c3dc5db0d6dd5,Source: MalwareBazaar
2024-08-21,Payload installation,sha1,28c133c57fc465ba98ffbcc3a9e9fe320c32edec,Source: MalwareBazaar
2024-08-21,Payload installation,sha256,d71c77fa0c464289f6b7fb379d7fcbf0cdd6cc8d7bacf6c989a5f0eb5c215bab,Source: MalwareBazaar
2024-08-21,Payload installation,filename,858cf3afd18d69880a07793ad273c232.exe,Source: MalwareBazaar
2024-08-21,Payload installation,md5,858cf3afd18d69880a07793ad273c232,Source: MalwareBazaar
2024-08-21,Payload installation,sha1,4408fde053c8009dc05b10a51a1df7d136f29784,Source: MalwareBazaar
2024-08-21,Payload installation,sha256,34147642bb12e87a3ee372f236c93fdada9a199201e7b0fc818efe63da9af65f,Source: MalwareBazaar
2024-08-21,Payload installation,filename,97e41a5a65366b6fddfd79aa39f32dcc.hta,Source: MalwareBazaar
2024-08-21,Payload installation,md5,97e41a5a65366b6fddfd79aa39f32dcc,Source: MalwareBazaar
2024-08-21,Payload installation,sha1,a2ec20f513dc7c26f4486a67a0f343d37b39b25c,Source: MalwareBazaar
2024-08-21,Payload installation,sha256,827e1160a280a467a4d66a6a4fca608f257ba17ec4de960cb0bb5d89a91bad8f,Source: MalwareBazaar
2024-08-21,Payload installation,filename,rShippingDocuments.exe,Source: MalwareBazaar
2024-08-21,Payload installation,md5,b52da573d67f518074e7240c677f5538,Source: MalwareBazaar
2024-08-21,Payload installation,sha1,0730ad97d7027f78ba21464f4b1dabb49b44a904,Source: MalwareBazaar
2024-08-21,Payload installation,sha256,e0b9c05954186f5d54bcaf95e425448540d4a0fdc6cac1a12899bda66e38ac37,Source: MalwareBazaar
2024-08-21,Payload installation,filename,rShippingDocuments.exe,Source: MalwareBazaar
2024-08-21,Payload installation,md5,dc9e6b694b51bed0f18efdb98dfb6574,Source: MalwareBazaar
2024-08-21,Payload installation,sha1,178c356d906ed81d6492b215e2f5b849976dbb80,Source: MalwareBazaar
2024-08-21,Payload installation,sha256,bd0e1cfd8ac5fef73e78b0a784c11682ed8d3120e6293d7d87425e5cd65d91eb,Source: MalwareBazaar
2024-08-21,Payload installation,filename,shipping doc.zip,Source: MalwareBazaar
2024-08-21,Payload installation,md5,484d3ba4a0524b962874b1ed9e5ee510,Source: MalwareBazaar
2024-08-21,Payload installation,sha1,ec29adbb8853cbf2497a41de55438e026beb1217,Source: MalwareBazaar
2024-08-21,Payload installation,sha256,1cf5405f16df7e835f43b2e01617839a6433696e0b5eedf5d8bfb8b32a07ab0f,Source: MalwareBazaar
2024-08-21,Payload installation,filename,shipping doc.exe,Source: MalwareBazaar
2024-08-21,Payload installation,md5,ac09eb920712db66910ef959bebb8fd0,Source: MalwareBazaar
2024-08-21,Payload installation,sha1,11fc5cca33cef45a601c5df6be4f3e7e73ad51a4,Source: MalwareBazaar
2024-08-21,Payload installation,sha256,2d3fb537499bf57a40ffd8def80f6685de2e297bb449dec013d2fe29340cb10b,Source: MalwareBazaar
2024-08-21,Payload installation,filename,shipping advice.exe,Source: MalwareBazaar
2024-08-21,Payload installation,md5,1e158beaa852a13274b19effe4a010d9,Source: MalwareBazaar
2024-08-21,Payload installation,sha1,1d86155b0195a451e36a3d49cd098fba4bf6da23,Source: MalwareBazaar
2024-08-21,Payload installation,sha256,d54abd6ac9348ed05c33f77ae723cb262bd89fcce7d4d449f16b31ed01f401f4,Source: MalwareBazaar
2024-08-21,Payload installation,filename,shipping advice_1.zip,Source: MalwareBazaar
2024-08-21,Payload installation,md5,fc811a8df8172f8415f2eb8f96479ffa,Source: MalwareBazaar
2024-08-21,Payload installation,sha1,c161540cb65da10a5b266acb4a87d6f65a0d398d,Source: MalwareBazaar
2024-08-21,Payload installation,sha256,5dfd1fdc16a0ef8be4b3dc676643f9568a724d6a107cd37d0b06d8d84485e1fd,Source: MalwareBazaar
2024-08-21,Payload installation,filename,shipping documents.rar,Source: MalwareBazaar
2024-08-21,Payload installation,md5,4407cc4e9003edbb488251f9d2cba6ae,Source: MalwareBazaar
2024-08-21,Payload installation,sha1,c9202a417adc9b4a0563a648db9b9c159b49bcc5,Source: MalwareBazaar
2024-08-21,Payload installation,sha256,34ca9ee124922b436bec8ce1ac903f48d9dedb39ebd16f25287269edeb406e00,Source: MalwareBazaar
2024-08-21,Payload installation,filename,PO_56543465768787567867568756877757846566875645786.exe,Source: MalwareBazaar
2024-08-21,Payload installation,md5,e878e2ad9eebb4024e0e17bd20df01af,Source: MalwareBazaar
2024-08-21,Payload installation,sha1,68491ee80b5b8b5c5d5f2ab98f4fa7db76f98c01,Source: MalwareBazaar
2024-08-21,Payload installation,sha256,7eb7f2cda8f6a287647ee2b459d920d1dfaac69e14b1ac5f8b8e2dc80d4a0b8c,Source: MalwareBazaar
2024-08-21,Payload installation,filename,PO202408030008.pdf.zip,Source: MalwareBazaar
2024-08-21,Payload installation,md5,e7473d4cd00edc9b9f934973122ad2b9,Source: MalwareBazaar
