+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: DDoSia - NoName057(16) - Configuration : 2024-08-20_08-40-05
| UUID: 1a68efdf-fe59-469d-ac40-d609a7064012
| Date: 2024-08-20
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-08-20,Other,text,DDoSia-go,
2024-08-20,Other,text,642fe3d6318a95e3914264ba,
2024-08-20,Other,text,63a40d642d3a3904e5e7ac03,
2024-08-20,Network activity,hostname,www.em.gov.lv,
2024-08-20,Network activity,ip-dst,212.70.163.179,
2024-08-20,Other,text,http2,
2024-08-20,Other,text,POST,
2024-08-20,Network activity,port,443,
2024-08-20,Other,text,1,
2024-08-20,Other,text,/en,
2024-08-20,Other,text,search=$_1&op=Search&form_build_id=form-hKKwk6Hcnm4nNSSjId9diqHATudCDT5JPFAw9TV3III&form_id=custom_header_search_form,
2024-08-20,Other,text,DDoSia-go,
2024-08-20,Other,text,642fe3d6318a95e3914264ba,
2024-08-20,Other,text,63a40d642d3a3904e5e7ac04,
2024-08-20,Network activity,hostname,www.em.gov.lv,
2024-08-20,Network activity,ip-dst,212.70.163.179,
2024-08-20,Other,text,http2,
2024-08-20,Other,text,GET,
2024-08-20,Network activity,port,443,
2024-08-20,Other,text,1,
2024-08-20,Other,text,/en/articles?page=$_2,
2024-08-20,Other,text,search=$_1&op=Mekl%C4%93t&form_build_id=form-RN8F7ZbOZt2ApBk7h2qJdFkv6kxF-EBKzPDgey3LZ-0&form_id=custom_header_search_form,
2024-08-20,Other,text,DDoSia-go,
2024-08-20,Other,text,642fe3d6318a95e3914264ba,
2024-08-20,Other,text,63a40d642d3a3904e5e7ac05,
2024-08-20,Network activity,hostname,www.em.gov.lv,
2024-08-20,Network activity,ip-dst,212.70.163.179,
2024-08-20,Other,text,http2,
2024-08-20,Other,text,GET,
2024-08-20,Network activity,port,443,
2024-08-20,Other,text,1,
2024-08-20,Other,text,/lv/text-field-autocomplete/article/title?q=$_1,
2024-08-20,Other,text,DDoSia-go,
2024-08-20,Other,text,642fe3d6318a95e3914264ba,
2024-08-20,Other,text,63a40d642d3a3904e5e7ac06,
2024-08-20,Network activity,hostname,www.em.gov.lv,
