+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Daily Incremental ThreatFox Import - 2024-08-20
| UUID: acc5ede0-5277-483c-afa0-4b2674574157
| Date: 2024-08-20
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-08-20,Network activity,ip-dst|port,197.119.242.60|80,"botnet_cc
100
https://search.censys.io/hosts/197.119.242.60"
2024-08-20,Network activity,ip-dst|port,122.147.234.169|8888,"botnet_cc
100
https://search.censys.io/hosts/122.147.234.169"
2024-08-20,Network activity,ip-dst|port,103.97.179.151|39999,"botnet_cc
100
https://search.censys.io/hosts/103.97.179.151"
2024-08-20,Network activity,url,http://494375cm.n9sh.top/ProviderPythonPhpsecureauthgamelinuxDlePrivate.php,"botnet_cc
100"
2024-08-20,Network activity,url,http://cf11739.tw1.ru/1ae8f328.php,"botnet_cc
100"
2024-08-20,Network activity,url,http://i3557434gm.temp.swtest.ru/fe32c842.php,"botnet_cc
100"
2024-08-20,Network activity,ip-dst|port,72.5.42.224|22,"botnet_cc
100
https://search.censys.io/hosts/72.5.42.224"
2024-08-20,Network activity,ip-dst|port,72.5.42.224|80,"botnet_cc
100
https://search.censys.io/hosts/72.5.42.224"
2024-08-20,Network activity,ip-dst|port,104.248.13.237|4000,"botnet_cc
100
https://search.censys.io/hosts/104.248.13.237"
2024-08-20,Network activity,ip-dst|port,154.216.17.31|80,"botnet_cc
100
https://search.censys.io/hosts/154.216.17.31"
2024-08-20,Network activity,ip-dst|port,179.13.4.53|8081,"botnet_cc
100
https://search.censys.io/hosts/179.13.4.53"
2024-08-20,Network activity,ip-dst|port,122.51.240.117|6379,"botnet_cc
100
https://search.censys.io/hosts/122.51.240.117"
2024-08-20,Network activity,ip-dst|port,104.243.37.126|4444,"botnet_cc
100
https://search.censys.io/hosts/104.243.37.126"
2024-08-20,Network activity,ip-dst|port,128.90.106.105|9999,"botnet_cc
100
https://search.censys.io/hosts/128.90.106.105"
2024-08-20,Network activity,ip-dst|port,50.93.198.163|8888,"botnet_cc
100
https://search.censys.io/hosts/50.93.198.163"
2024-08-20,Network activity,ip-dst|port,118.89.200.251|8888,"botnet_cc
100
https://search.censys.io/hosts/118.89.200.251"
2024-08-20,Network activity,ip-dst|port,154.31.217.203|31337,"botnet_cc
100
https://search.censys.io/hosts/154.31.217.203"
