+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Daily Phishing list urlabuse.com - 2024-08-02
| UUID: 39a4ea34-d2d2-47d9-9b2c-327d0cdf2793
| Date: 2024-08-02
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-08-02,Network activity,hostname,e7sg387sfyruk585387sg387sfyruk5we.weeblysite.com,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://e7sg387sfyruk585387sg387sfyruk5we.weeblysite.com,Source URL
2024-08-02,Other,text,AT&T,Target of the attack
2024-08-02,Network activity,hostname,docs.google.com,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://docs.google.com/presentation/d/e/2PACX-1vQa0JgVmKuQbqpRxr5d0cBbrscP4Ks1mGGhLdjZSQ7cka1lEVkppwYU0COkUcoL1jbTbYLdC1S28fQ8/pub?start=false&amp;loop=false&amp;delayms=3000&slide=id.p,Source URL
2024-08-02,Other,text,AT&T,Target of the attack
2024-08-02,Network activity,hostname,pub-9d425aa9335c4307a502c0721d499bdd.r2.dev,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,http://pub-9d425aa9335c4307a502c0721d499bdd.r2.dev/officemm.html,Source URL
2024-08-02,Other,text,Microsoft,Target of the attack
2024-08-02,Network activity,hostname,pub-f18c3d444059460880d86ed436e28dd3.r2.dev,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,http://pub-f18c3d444059460880d86ed436e28dd3.r2.dev/passwordverification.html,Source URL
2024-08-02,Other,text,Microsoft,Target of the attack
2024-08-02,Network activity,hostname,pub-2d873e15f78a4de38a494e9b21666e9f.r2.dev,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,http://pub-2d873e15f78a4de38a494e9b21666e9f.r2.dev/access.html,Source URL
2024-08-02,Other,text,Microsoft,Target of the attack
2024-08-02,Network activity,hostname,pub-02e50e21a32c4827adaaec2353ad80e2.r2.dev,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,http://pub-02e50e21a32c4827adaaec2353ad80e2.r2.dev/sm.html,Source URL
2024-08-02,Other,text,Microsoft,Target of the attack
2024-08-02,Network activity,hostname,pub-c1bcc0c6146148ceb99d51a78ad5513b.r2.dev,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,http://pub-c1bcc0c6146148ceb99d51a78ad5513b.r2.dev/kenelumoba.html,Source URL
2024-08-02,Other,text,Microsoft,Target of the attack
2024-08-02,Network activity,hostname,pub-67000455964e4b4abf488b3d9f8823e8.r2.dev,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,http://pub-67000455964e4b4abf488b3d9f8823e8.r2.dev/compal.html,Source URL
2024-08-02,Other,text,Microsoft,Target of the attack
2024-08-02,Network activity,hostname,pub-ae3d7ca94e9a46de8b99e02f52720f08.r2.dev,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,http://pub-ae3d7ca94e9a46de8b99e02f52720f08.r2.dev/chriss.html,Source URL
2024-08-02,Other,text,Microsoft,Target of the attack
2024-08-02,Network activity,hostname,pub-1c42fc69221b4b5c85a3501c73f41736.r2.dev,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,http://pub-1c42fc69221b4b5c85a3501c73f41736.r2.dev/las.html,Source URL
2024-08-02,Other,text,Microsoft,Target of the attack
2024-08-02,Network activity,hostname,pub-98170f3329d74dfaaf3af127130403d9.r2.dev,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,http://pub-98170f3329d74dfaaf3af127130403d9.r2.dev/luxcom.html,Source URL
2024-08-02,Other,text,Microsoft,Target of the attack
2024-08-02,Network activity,hostname,pub-8b2e521eb2614610923cd588ec283661.r2.dev,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,http://pub-8b2e521eb2614610923cd588ec283661.r2.dev/ee.html,Source URL
2024-08-02,Other,text,Microsoft,Target of the attack
2024-08-02,Network activity,hostname,nur-miranda-free-content.apy-1d.com,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://nur-miranda-free-content.apy-1d.com/,Source URL
2024-08-02,Other,text,Telegram,Target of the attack
2024-08-02,Network activity,hostname,xemola.ru,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://xemola.ru/,Source URL
2024-08-02,Other,text,Telegram,Target of the attack
2024-08-02,Network activity,hostname,beyondbrokencars.com,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,http://beyondbrokencars.com/,Source URL
2024-08-02,Other,text,Telegram,Target of the attack
2024-08-02,Network activity,hostname,bingolatam.fun,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,http://bingolatam.fun/,Source URL
2024-08-02,Other,text,Telegram,Target of the attack
2024-08-02,Network activity,hostname,ezemoney.co,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://ezemoney.co/,Source URL
2024-08-02,Other,text,Telegram,Target of the attack
2024-08-02,Network activity,hostname,ydayrest.online,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://ydayrest.online/,Source URL
2024-08-02,Other,text,Telegram,Target of the attack
2024-08-02,Network activity,hostname,telegramsexmiranda.pages.dev,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://telegramsexmiranda.pages.dev/,Source URL
2024-08-02,Other,text,Telegram,Target of the attack
2024-08-02,Network activity,hostname,3d6c5b6a.cc,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://3d6c5b6a.cc/,Source URL
2024-08-02,Other,text,Bet365,Target of the attack
2024-08-02,Network activity,hostname,beritaviral.ksba.online,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://beritaviral.ksba.online/,Source URL
2024-08-02,Other,text,Telegram,Target of the attack
2024-08-02,Network activity,hostname,israelposttt.top,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://israelposttt.top/il/,Source URL
2024-08-02,Other,text,Israel Post,Target of the attack
2024-08-02,Network activity,hostname,rb.gy,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://rb.gy/1tx7lv,Source URL
2024-08-02,Other,text,Israel Post,Target of the attack
2024-08-02,Network activity,hostname,myermes.sbs,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://myermes.sbs/S/,Source URL
2024-08-02,Other,text,Hermes,Target of the attack
2024-08-02,Network activity,hostname,rb.gy,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://rb.gy/u933cm,Source URL
2024-08-02,Other,text,Hermes,Target of the attack
2024-08-02,Network activity,hostname,bfj.eln.mybluehost.me,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://bfj.eln.mybluehost.me/DGT/in.php,Source URL
2024-08-02,Other,text,DGT,Target of the attack
2024-08-02,Network activity,hostname,rebrand.ly,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://rebrand.ly/7xDgT,Source URL
2024-08-02,Other,text,DGT,Target of the attack
2024-08-02,Network activity,hostname,riprogramma.spedizione.3-120-151-140.cprapid.com,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://riprogramma.spedizione.3-120-151-140.cprapid.com/brt/update.php?%2714eea44263c55167ff4b10ffcc62dded1a939c7d%27,Source URL
2024-08-02,Other,text,BRT,Target of the attack
2024-08-02,Network activity,hostname,s126591.hostus3.fornex.host,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://s126591.hostus3.fornex.host/impot/app/,Source URL
2024-08-02,Other,text,FR-GOV,Target of the attack
2024-08-02,Network activity,hostname,sammmmple.pages.dev,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://sammmmple.pages.dev,Source URL
2024-08-02,Other,text,Generic Email,Target of the attack
2024-08-02,Network activity,hostname,seevvicess.weebly.com,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://seevvicess.weebly.com/,Source URL
2024-08-02,Other,text,AT&T,Target of the attack
2024-08-02,Network activity,hostname,edtechmarket.com,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://edtechmarket.com/china/Alibaba/index.php,Source URL
2024-08-02,Other,text,Alibaba,Target of the attack
2024-08-02,Network activity,hostname,firebasestorage.googleapis.com,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://firebasestorage.googleapis.com/v0/b/obi08-c1c63.appspot.com/o/p1%2F3%2Fveepee.html?alt=media&token=4e3595ef-722d-448f-b571-9853c5cbf3b9,Source URL
2024-08-02,Other,text,Generic Phishing,Target of the attack
2024-08-02,Network activity,hostname,test-telegrame.zesenai.com,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,http://test-telegrame.zesenai.com,Source URL
2024-08-02,Other,text,Telegram,Target of the attack
2024-08-02,Network activity,hostname,sectorcomic.com,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://sectorcomic.com/2024china/redirect.php/?login=x,Source URL
2024-08-02,Other,text,Generic Phishing,Target of the attack
2024-08-02,Network activity,hostname,mail.ghyyss199.hkqwo.com,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,http://mail.ghyyss199.hkqwo.com,Source URL
2024-08-02,Other,text,Whatsapp,Target of the attack
2024-08-02,Network activity,hostname,vip.xn--u0xa.xn--6qq986b3xl,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,http://vip.xn--u0xa.xn--6qq986b3xl,Source URL
2024-08-02,Other,text,imToken,Target of the attack
2024-08-02,Network activity,hostname,madavilajturismo.com.br,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://madavilajturismo.com.br/wp-admin/net/index.php?email=yahoo@yahoo.com,Source URL
2024-08-02,Other,text,Generic Email,Target of the attack
2024-08-02,Network activity,hostname,espace-demande-renouvellement.com,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,http://espace-demande-renouvellement.com,Source URL
2024-08-02,Other,text,FR-GOV,Target of the attack
2024-08-02,Network activity,hostname,telegram-group.pages.dev,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,http://telegram-group.pages.dev,Source URL
2024-08-02,Other,text,Telegram,Target of the attack
2024-08-02,Network activity,hostname,joinxtelegram.com,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,http://joinxtelegram.com/bumnr3/main.php,Source URL
2024-08-02,Other,text,Telegram,Target of the attack
2024-08-02,Network activity,hostname,match-tv.life,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,http://match-tv.life/navi/auth,Source URL
2024-08-02,Other,text,Telegram,Target of the attack
2024-08-02,Network activity,hostname,tgbot.c445233266.workers.dev,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,http://tgbot.c445233266.workers.dev,Source URL
2024-08-02,Other,text,Telegram,Target of the attack
2024-08-02,Network activity,hostname,wispy-rice-d193.damnloaction.workers.dev,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,http://wispy-rice-d193.damnloaction.workers.dev,Source URL
2024-08-02,Other,text,Microsoft,Target of the attack
2024-08-02,Network activity,hostname,mac2sell.ch,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://mac2sell.ch/vmikeys/deutsch/RDGDESDZRFSYJNOI/index.php?FGDD=1#HDHKJDJDSSJDSJKJDSJDSDJJDSHYKJHGFG,Source URL
2024-08-02,Other,text,DHL,Target of the attack
2024-08-02,Network activity,hostname,radiocristalonline.org,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://radiocristalonline.org/sbv9xk1f7/de/,Source URL
2024-08-02,Other,text,DHL,Target of the attack
2024-08-02,Network activity,hostname,mac2sell.ch,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://mac2sell.ch/vmikeys/deutsch/,Source URL
2024-08-02,Other,text,DHL,Target of the attack
2024-08-02,Network activity,hostname,secansfergr-fggik3405mgf-dbkzx.ferveth-rthrt45678ujn-vsdfe6r6.workers.dev,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://secansfergr-fggik3405mgf-dbkzx.ferveth-rthrt45678ujn-vsdfe6r6.workers.dev/2o1xdkytpbqonrnqmmao/fv0hexx5buimnm1xZ2VuL2pNMEpGSEJYZVd0L2VwMWJYSFdzS1RNZUdsOTJEVEwwTDhqcWRFSW9IUDkvQnJ5YW4uamVuL3FSbWhGV0JybDE1L2ZhbWV0ZWNoLmNvbS50dw==,Source URL
2024-08-02,Other,text,Generic Phishing,Target of the attack
2024-08-02,Network activity,hostname,mail.rnaxbill.com,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://mail.rnaxbill.com/mo3/?account=xxx,Source URL
2024-08-02,Other,text,Microsoft,Target of the attack
2024-08-02,Network activity,hostname,livemigrazuarntoks.pages.dev,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,http://livemigrazuarntoks.pages.dev,Source URL
2024-08-02,Other,text,Crypto,Target of the attack
2024-08-02,Network activity,hostname,365wtzw.com,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://365wtzw.com/,Source URL
2024-08-02,Other,text,Bet365,Target of the attack
2024-08-02,Network activity,hostname,ipfs.io,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://ipfs.io/ipfs/QmcqfLqJyjPneppPVxUYWyCjzQ5NCWpUmxug4MrhBgQ9nv?filename=prfr7rkvbu.html,Source URL
2024-08-02,Other,text,Microsoft,Target of the attack
2024-08-02,Network activity,hostname,join-groub-telegram-1.ofiiciall.biz.id,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://join-groub-telegram-1.ofiiciall.biz.id/,Source URL
2024-08-02,Other,text,Telegram,Target of the attack
2024-08-02,Network activity,hostname,creativeservices.netflix.com.sg-vnt-1.sosis-berurat.live,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://creativeservices.netflix.com.sg-vnt-1.sosis-berurat.live/,Source URL
2024-08-02,Other,text,Telegram,Target of the attack
2024-08-02,Network activity,hostname,nacesea.xyz,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://nacesea.xyz/,Source URL
2024-08-02,Other,text,Telegram,Target of the attack
2024-08-02,Network activity,hostname,andybrown1951.wixsite.com,Host name or IP address of the phishing attack
2024-08-02,Network activity,url,https://andybrown1951.wixsite.com/my-site-1,Source URL
2024-08-02,Other,text,BT,Target of the attack
