+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Daily Phishing list urlabuse.com - 2024-08-06
| UUID: 7e3ddf80-b281-4585-8e1b-0572973a1b38
| Date: 2024-08-06
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-08-06,Network activity,hostname,bafkreidaqxubtj3s4wwqncqv456r5x4cttcqvelsfvqn3v2jdigst3e3om.ipfs.dweb.link,Host name or IP address of the phishing attack
2024-08-06,Network activity,url,https://bafkreidaqxubtj3s4wwqncqv456r5x4cttcqvelsfvqn3v2jdigst3e3om.ipfs.dweb.link/#x,Source URL
2024-08-06,Other,text,Generic Email,Target of the attack
2024-08-06,Network activity,hostname,a.rs6.net,Host name or IP address of the phishing attack
2024-08-06,Network activity,url,https://a.rs6.net/1/pc?ep=48a86160befe8807ZH1A9DuQTaDeaqWHkDvFel6PymSXn5KzFmnCST2SP-NwClWI-ABLYSigpgrbbCNGlpew9LeKtsRyZ9UDB3ROJm1opT6mzqnNE2Tod8LxySvMxld_e4TtUuhYsw5HZZ0Ig5p-rcRBeFRAvMBD4Df4NG5pr9m3kUGwQJTOPwSzihCCirNC5VxGG21H218TUMwubM9ltmaLHxLCbNd2L5ouLLgYRD6DXnu60tebm_qVKqo&c=x,Source URL
2024-08-06,Other,text,Generic Email,Target of the attack
2024-08-06,Network activity,hostname,frontblokswift.pages.dev,Host name or IP address of the phishing attack
2024-08-06,Network activity,url,http://frontblokswift.pages.dev,Source URL
2024-08-06,Other,text,Crypto,Target of the attack
2024-08-06,Network activity,hostname,defyguardianverse.pages.dev,Host name or IP address of the phishing attack
2024-08-06,Network activity,url,http://defyguardianverse.pages.dev,Source URL
2024-08-06,Other,text,Crypto,Target of the attack
2024-08-06,Network activity,hostname,tel.cryptoobaz.workers.dev,Host name or IP address of the phishing attack
2024-08-06,Network activity,url,http://tel.cryptoobaz.workers.dev,Source URL
2024-08-06,Other,text,Telegram,Target of the attack
2024-08-06,Network activity,hostname,p36577.com,Host name or IP address of the phishing attack
2024-08-06,Network activity,url,https://p36577.com:8989/mobile-client/bet365_627/index.html?td_channelid=627,Source URL
2024-08-06,Other,text,Bet365,Target of the attack
2024-08-06,Network activity,hostname,pub-e2832b8e0fd640f5a282d485fb1cb303.r2.dev,Host name or IP address of the phishing attack
2024-08-06,Network activity,url,http://pub-e2832b8e0fd640f5a282d485fb1cb303.r2.dev/secure.html,Source URL
2024-08-06,Other,text,Microsoft,Target of the attack
2024-08-06,Network activity,hostname,telengram.fit,Host name or IP address of the phishing attack
2024-08-06,Network activity,url,http://telengram.fit/,Source URL
2024-08-06,Other,text,Telegram,Target of the attack
2024-08-06,Network activity,hostname,tx.me,Host name or IP address of the phishing attack
2024-08-06,Network activity,url,https://tx.me/,Source URL
2024-08-06,Other,text,Telegram,Target of the attack
2024-08-06,Network activity,hostname,muratt.agency,Host name or IP address of the phishing attack
2024-08-06,Network activity,url,https://muratt.agency/,Source URL
2024-08-06,Other,text,Telegram,Target of the attack
2024-08-06,Network activity,hostname,tgweb.toktok.today,Host name or IP address of the phishing attack
2024-08-06,Network activity,url,https://tgweb.toktok.today/,Source URL
2024-08-06,Other,text,Telegram,Target of the attack
2024-08-06,Network activity,hostname,minimal-yocawe-cawe.vercel.app,Host name or IP address of the phishing attack
2024-08-06,Network activity,url,http://minimal-yocawe-cawe.vercel.app/,Source URL
2024-08-06,Other,text,Telegram,Target of the attack
2024-08-06,Network activity,hostname,telergram.fit,Host name or IP address of the phishing attack
2024-08-06,Network activity,url,http://telergram.fit/,Source URL
2024-08-06,Other,text,Telegram,Target of the attack
2024-08-06,Network activity,hostname,telregram.fit,Host name or IP address of the phishing attack
2024-08-06,Network activity,url,http://telregram.fit/,Source URL
2024-08-06,Other,text,Telegram,Target of the attack
2024-08-06,Network activity,hostname,tx.suxss.workers.dev,Host name or IP address of the phishing attack
2024-08-06,Network activity,url,"http://tx.suxss.workers.dev/,n/a,https:/openphish.com/feed.txt,23-jul-24,low,high",Source URL
2024-08-06,Other,text,Telegram,Target of the attack
2024-08-06,Network activity,hostname,dmmservice.pages.dev,Host name or IP address of the phishing attack
2024-08-06,Network activity,url,https://dmmservice.pages.dev/,Source URL
2024-08-06,Other,text,Telegram,Target of the attack
2024-08-06,Network activity,hostname,bankniftybysp.need24.in,Host name or IP address of the phishing attack
2024-08-06,Network activity,url,https://bankniftybysp.need24.in/,Source URL
2024-08-06,Other,text,Telegram,Target of the attack
2024-08-06,Network activity,hostname,viralvid04.tv18.site,Host name or IP address of the phishing attack
2024-08-06,Network activity,url,http://viralvid04.tv18.site,Source URL
2024-08-06,Other,text,Telegram,Target of the attack
2024-08-06,Network activity,hostname,iinet-net.pages.dev,Host name or IP address of the phishing attack
2024-08-06,Network activity,url,http://iinet-net.pages.dev,Source URL
2024-08-06,Other,text,Microsoft,Target of the attack
2024-08-06,Network activity,hostname,blocklaunchapp.pages.dev,Host name or IP address of the phishing attack
2024-08-06,Network activity,url,http://blocklaunchapp.pages.dev,Source URL
2024-08-06,Other,text,Crypto,Target of the attack
2024-08-06,Network activity,hostname,dulhonepaqe.caveatloansmelbourne.com,Host name or IP address of the phishing attack
2024-08-06,Network activity,url,http://dulhonepaqe.caveatloansmelbourne.com,Source URL
2024-08-06,Other,text,du(AE),Target of the attack
2024-08-06,Network activity,hostname,postls.cfd,Host name or IP address of the phishing attack
2024-08-06,Network activity,url,https://postls.cfd/ch?a=apmt2,Source URL
2024-08-06,Other,text,SwissPost,Target of the attack
2024-08-06,Network activity,hostname,telegtwram.fit,Host name or IP address of the phishing attack
2024-08-06,Network activity,url,http://telegtwram.fit/web,Source URL
2024-08-06,Other,text,Telegram,Target of the attack
2024-08-06,Network activity,hostname,telergram.fit,Host name or IP address of the phishing attack
2024-08-06,Network activity,url,http://telergram.fit/web,Source URL
2024-08-06,Other,text,Telegram,Target of the attack
