+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Daily Phishing list urlabuse.com - 2024-08-14
| UUID: ac9b8876-c64d-4089-9998-8ea323e8390c
| Date: 2024-08-15
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-08-14,Network activity,hostname,khalesidatingseeed.pages.dev,Host name or IP address of the phishing attack
2024-08-14,Network activity,url,http://khalesidatingseeed.pages.dev,Source URL
2024-08-14,Other,text,Generic Email,Target of the attack
2024-08-14,Network activity,hostname,jxmdrxlmjjcordmaildocumenmontaxclmjdlbcmwerwebsupport.pages.dev,Host name or IP address of the phishing attack
2024-08-14,Network activity,url,http://jxmdrxlmjjcordmaildocumenmontaxclmjdlbcmwerwebsupport.pages.dev,Source URL
2024-08-14,Other,text,Generic Email,Target of the attack
2024-08-14,Network activity,hostname,imtoken-s.rip,Host name or IP address of the phishing attack
2024-08-14,Network activity,url,http://imtoken-s.rip,Source URL
2024-08-14,Other,text,imToken,Target of the attack
2024-08-14,Network activity,hostname,imtoken-ca.rip,Host name or IP address of the phishing attack
2024-08-14,Network activity,url,http://imtoken-ca.rip,Source URL
2024-08-14,Other,text,imToken,Target of the attack
2024-08-14,Network activity,hostname,imtoken-dd.rip,Host name or IP address of the phishing attack
2024-08-14,Network activity,url,http://imtoken-dd.rip,Source URL
2024-08-14,Other,text,imToken,Target of the attack
2024-08-14,Network activity,hostname,allctr.org.previewc38.carrierzone.com,Host name or IP address of the phishing attack
2024-08-14,Network activity,url,http://allctr.org.previewc38.carrierzone.com/sharepoint/index.php,Source URL
2024-08-14,Other,text,Microsoft,Target of the attack
2024-08-14,Network activity,hostname,moonknight-aim.pages.dev,Host name or IP address of the phishing attack
2024-08-14,Network activity,url,"http://moonknight-aim.pages.dev/,n/a,https:/openphish.com/feed.txt",Source URL
2024-08-14,Other,text,Telegram,Target of the attack
2024-08-14,Network activity,hostname,starsportshindi-4ix.pages.dev,Host name or IP address of the phishing attack
2024-08-14,Network activity,url,http://starsportshindi-4ix.pages.dev/,Source URL
2024-08-14,Other,text,Telegram,Target of the attack
2024-08-14,Network activity,hostname,tgv2.pages.dev,Host name or IP address of the phishing attack
2024-08-14,Network activity,url,http://tgv2.pages.dev/,Source URL
2024-08-14,Other,text,Telegram,Target of the attack
2024-08-14,Network activity,hostname,v2boxx.pages.dev,Host name or IP address of the phishing attack
