+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Daily Phishing list urlabuse.com - 2024-08-16
| UUID: 3b414c88-f429-463a-bd28-63734ccf9f0a
| Date: 2024-08-16
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-08-16,Network activity,hostname,chickmaker.store,Host name or IP address of the phishing attack
2024-08-16,Network activity,url,https://chickmaker.store/new/live/,Source URL
2024-08-16,Other,text,Swisscom,Target of the attack
2024-08-16,Network activity,hostname,sbb-technical.serv00.net,Host name or IP address of the phishing attack
2024-08-16,Network activity,url,https://sbb-technical.serv00.net/SBB/Swisspass/,Source URL
2024-08-16,Other,text,SwissPass,Target of the attack
2024-08-16,Network activity,hostname,lets-0001192.pages.dev,Host name or IP address of the phishing attack
2024-08-16,Network activity,url,http://lets-0001192.pages.dev,Source URL
2024-08-16,Other,text,Generic Email,Target of the attack
2024-08-16,Network activity,hostname,vip3659a.com,Host name or IP address of the phishing attack
2024-08-16,Network activity,url,https://www.vip3659a.com:8989/mobile-client/v5/index.html?td_channelid=141,Source URL
2024-08-16,Other,text,Bet365,Target of the attack
2024-08-16,Network activity,hostname,supercoreinchtrade.pages.dev,Host name or IP address of the phishing attack
2024-08-16,Network activity,url,http://supercoreinchtrade.pages.dev,Source URL
2024-08-16,Other,text,Crypto,Target of the attack
2024-08-16,Network activity,hostname,vugar.agency,Host name or IP address of the phishing attack
2024-08-16,Network activity,url,https://vugar.agency/,Source URL
2024-08-16,Other,text,Telegram,Target of the attack
2024-08-16,Network activity,hostname,entmods.pages.dev,Host name or IP address of the phishing attack
2024-08-16,Network activity,url,http://entmods.pages.dev/,Source URL
2024-08-16,Other,text,Telegram,Target of the attack
2024-08-16,Network activity,hostname,vision-ariosacademy.com,Host name or IP address of the phishing attack
2024-08-16,Network activity,url,https://vision-ariosacademy.com/,Source URL
2024-08-16,Other,text,Telegram,Target of the attack
