+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Daily Phishing list urlabuse.com - 2024-08-29
| UUID: 8ccc2ba5-1a07-4875-95fe-ef450a06cd49
| Date: 2024-08-29
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-08-30,Network activity,hostname,account-update-settings.pages.dev,Host name or IP address of the phishing attack
2024-08-30,Network activity,url,http://account-update-settings.pages.dev,Source URL
2024-08-30,Other,text,Generic Email,Target of the attack
2024-08-30,Network activity,hostname,jijhdksgbubjkewhuijbbjhtg3uwfcbndfdzgvuk.pages.dev,Host name or IP address of the phishing attack
2024-08-30,Network activity,url,http://jijhdksgbubjkewhuijbbjhtg3uwfcbndfdzgvuk.pages.dev,Source URL
2024-08-30,Other,text,Generic Email,Target of the attack
2024-08-30,Network activity,hostname,dpd.dealtrust.online,Host name or IP address of the phishing attack
2024-08-30,Network activity,url,https://dpd.dealtrust.online/pay/order/QakctIW,Source URL
2024-08-30,Other,text,DPD,Target of the attack
2024-08-30,Network activity,hostname,fads.me,Host name or IP address of the phishing attack
2024-08-30,Network activity,url,https://fads.me/business-help-center/541067857611691,Source URL
2024-08-30,Other,text,Facebook,Target of the attack
2024-08-30,Network activity,hostname,fads.me,Host name or IP address of the phishing attack
2024-08-30,Network activity,url,https://fads.me/,Source URL
2024-08-30,Other,text,Facebook,Target of the attack
2024-08-30,Network activity,hostname,vesdlv.pages.dev,Host name or IP address of the phishing attack
2024-08-30,Network activity,url,https://vesdlv.pages.dev/$,Source URL
2024-08-30,Other,text,LV-GOV,Target of the attack
2024-08-30,Network activity,hostname,edlvvid.pages.dev,Host name or IP address of the phishing attack
2024-08-30,Network activity,url,https://edlvvid.pages.dev/$,Source URL
2024-08-30,Other,text,LV-GOV,Target of the attack
2024-08-30,Network activity,hostname,andrazorganization.formstack.com,Host name or IP address of the phishing attack
2024-08-30,Network activity,url,https://andrazorganization.formstack.com/forms/otpbankasi,Source URL
2024-08-30,Other,text,OTP Bank,Target of the attack
2024-08-30,Network activity,hostname,gls.sendm.eu,Host name or IP address of the phishing attack
2024-08-30,Network activity,url,https://gls.sendm.eu/KTEuE,Source URL
2024-08-30,Other,text,GLS,Target of the attack
2024-08-30,Network activity,hostname,fopalined.top,Host name or IP address of the phishing attack
2024-08-30,Network activity,url,https://fopalined.top/payouts/account/withdraw-form/,Source URL
2024-08-30,Other,text,Crypto,Target of the attack
2024-08-30,Network activity,hostname,yojwbdlwourijahgwershodebigtj01.pages.dev,Host name or IP address of the phishing attack
2024-08-30,Network activity,url,http://yojwbdlwourijahgwershodebigtj01.pages.dev,Source URL
2024-08-30,Other,text,Generic Email,Target of the attack
2024-08-30,Network activity,hostname,sovrndappchain.pages.dev,Host name or IP address of the phishing attack
2024-08-30,Network activity,url,http://sovrndappchain.pages.dev,Source URL
2024-08-30,Other,text,Crypto,Target of the attack
2024-08-30,Network activity,hostname,mrprince-sharepoint.mrprince-d8b.workers.dev,Host name or IP address of the phishing attack
2024-08-30,Network activity,url,http://mrprince-sharepoint.mrprince-d8b.workers.dev,Source URL
2024-08-30,Other,text,Microsoft,Target of the attack
2024-08-30,Network activity,hostname,revelation.vercel.app,Host name or IP address of the phishing attack
2024-08-30,Network activity,url,https://revelation.vercel.app/,Source URL
2024-08-30,Other,text,Facebook,Target of the attack
2024-08-30,Network activity,hostname,revelation.now.sh,Host name or IP address of the phishing attack
2024-08-30,Network activity,url,http://revelation.now.sh,Source URL
2024-08-30,Other,text,Facebook,Target of the attack
2024-08-30,Network activity,hostname,baloiscu.net,Host name or IP address of the phishing attack
2024-08-30,Network activity,url,https://baloiscu.net/,Source URL
2024-08-30,Other,text,Baloise Bank,Target of the attack
2024-08-30,Network activity,hostname,13llunessitges.com,Host name or IP address of the phishing attack
2024-08-30,Network activity,url,https://13llunessitges.com/edu/uzh/mathuzh.html,Source URL
2024-08-30,Other,text,Generic Email,Target of the attack
2024-08-30,Network activity,hostname,allianceschgruppeonline.com,Host name or IP address of the phishing attack
2024-08-30,Network activity,url,https://allianceschgruppeonline.com/bilden,Source URL
2024-08-30,Other,text,SwissPass,Target of the attack
2024-08-30,Network activity,hostname,laurenes-stupendous-site-1fa8ba.webflow.io,Host name or IP address of the phishing attack
2024-08-30,Network activity,url,https://laurenes-stupendous-site-1fa8ba.webflow.io/,Source URL
