+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Daily Phishing list urlabuse.com - 2024-08-31
| UUID: b89c3874-42a6-41e5-a09a-e934eeb25c4d
| Date: 2024-08-31
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-09-01,Network activity,hostname,randommailreviewsecurity36545767bjhfxckce57463hjhdfssserrt.pages.dev,Host name or IP address of the phishing attack
2024-09-01,Network activity,url,http://randommailreviewsecurity36545767bjhfxckce57463hjhdfssserrt.pages.dev,Source URL
2024-09-01,Other,text,Generic Email,Target of the attack
2024-09-01,Network activity,hostname,aprilfoolgonewrongtoday2.pages.dev,Host name or IP address of the phishing attack
2024-09-01,Network activity,url,http://aprilfoolgonewrongtoday2.pages.dev,Source URL
2024-09-01,Other,text,Generic Email,Target of the attack
2024-09-01,Network activity,hostname,worker-proud-mud-5aff.amaldonaiangela-6fc.workers.dev,Host name or IP address of the phishing attack
2024-09-01,Network activity,url,http://worker-proud-mud-5aff.amaldonaiangela-6fc.workers.dev,Source URL
2024-09-01,Other,text,Telegram,Target of the attack
2024-09-01,Network activity,hostname,normallegendryspecialdomainwindowmails1.pages.dev,Host name or IP address of the phishing attack
2024-09-01,Network activity,url,http://normallegendryspecialdomainwindowmails1.pages.dev,Source URL
2024-09-01,Other,text,Generic Email,Target of the attack
2024-09-01,Network activity,hostname,resetmailpasshtenofficecheckwithotuajfhqdjqdjkkaanfjhhajsk.pages.dev,Host name or IP address of the phishing attack
2024-09-01,Network activity,url,http://resetmailpasshtenofficecheckwithotuajfhqdjqdjkkaanfjhhajsk.pages.dev,Source URL
2024-09-01,Other,text,Generic Email,Target of the attack
2024-09-01,Network activity,hostname,onlythetruthcansetyoufree.pages.dev,Host name or IP address of the phishing attack
2024-09-01,Network activity,url,http://onlythetruthcansetyoufree.pages.dev,Source URL
2024-09-01,Other,text,Generic Email,Target of the attack
2024-09-01,Network activity,hostname,sait-br.com,Host name or IP address of the phishing attack
2024-09-01,Network activity,url,https://sait-br.com/fihfiles/Milldorders/,Source URL
2024-09-01,Other,text,Microsoft,Target of the attack
2024-09-01,Network activity,hostname,sogejourdegloire.duckdns.org,Host name or IP address of the phishing attack
2024-09-01,Network activity,url,http://sogejourdegloire.duckdns.org,Source URL
2024-09-01,Other,text,WeTransfer,Target of the attack
2024-09-01,Network activity,hostname,webstartupmailinfowebmailingofficewwwxcperjjthfudiktbrowse.pages.dev,Host name or IP address of the phishing attack
2024-09-01,Network activity,url,http://webstartupmailinfowebmailingofficewwwxcperjjthfudiktbrowse.pages.dev,Source URL
2024-09-01,Other,text,Generic Email,Target of the attack
2024-09-01,Network activity,hostname,adminippwosknncjdjksijidjksjkjvnvjvnzjrjjjkdjvjjvhvhvffjf.pages.dev,Host name or IP address of the phishing attack
2024-09-01,Network activity,url,http://adminippwosknncjdjksijidjksjkjvnvjvnzjrjjjkdjvjjvhvhvffjf.pages.dev,Source URL
2024-09-01,Other,text,Generic Email,Target of the attack
2024-09-01,Network activity,hostname,0utl00k.d831920d2024835a5639f55.workers.dev,Host name or IP address of the phishing attack
2024-09-01,Network activity,url,http://0utl00k.d831920d2024835a5639f55.workers.dev,Source URL
2024-09-01,Other,text,Microsoft,Target of the attack
2024-09-01,Network activity,hostname,claimmetamask.dexhemi.com,Host name or IP address of the phishing attack
2024-09-01,Network activity,url,http://claimmetamask.dexhemi.com,Source URL
2024-09-01,Other,text,Crypto,Target of the attack
2024-09-01,Network activity,hostname,superverse.pages.dev,Host name or IP address of the phishing attack
2024-09-01,Network activity,url,http://superverse.pages.dev,Source URL
2024-09-01,Other,text,Crypto,Target of the attack
2024-09-01,Network activity,hostname,nbnb-363.pages.dev,Host name or IP address of the phishing attack
2024-09-01,Network activity,url,http://nbnb-363.pages.dev,Source URL
2024-09-01,Other,text,Amazon,Target of the attack
2024-09-01,Network activity,hostname,mxsrft2ebe.d0cuusigne1x1.workers.dev,Host name or IP address of the phishing attack
2024-09-01,Network activity,url,http://mxsrft2ebe.d0cuusigne1x1.workers.dev,Source URL
2024-09-01,Other,text,Microsoft,Target of the attack
2024-09-01,Network activity,hostname,admincieueijniwiwieoeikcmnckaqooooeeeencnjcpoiuytrdtfvygbu.pages.dev,Host name or IP address of the phishing attack
2024-09-01,Network activity,url,http://admincieueijniwiwieoeikcmnckaqooooeeeencnjcpoiuytrdtfvygbu.pages.dev,Source URL
2024-09-01,Other,text,Generic Email,Target of the attack
2024-09-01,Network activity,hostname,5232532532276632325.online,Host name or IP address of the phishing attack
2024-09-01,Network activity,url,http://5232532532276632325.online,Source URL
2024-09-01,Other,text,TR-GOV,Target of the attack
2024-09-01,Network activity,hostname,matmotokenclaims.pages.dev,Host name or IP address of the phishing attack
2024-09-01,Network activity,url,http://matmotokenclaims.pages.dev,Source URL
2024-09-01,Other,text,Crypto,Target of the attack
2024-09-01,Network activity,hostname,matmochainclaim.pages.dev,Host name or IP address of the phishing attack
