+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Formbook host indicators [2024-08-06]
| UUID: 884b2386-7f4c-4d29-ab0b-05c2772ba8d3
| Date: 2024-08-07
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-08-06,Payload installation,filename,Bank slip.exe,Source: MalwareBazaar
2024-08-06,Payload installation,md5,7410d4d62c071d69e852368e56faf710,Source: MalwareBazaar
2024-08-06,Payload installation,sha1,082f9a6c68c04d53c151690d17454d3ee5e19909,Source: MalwareBazaar
2024-08-06,Payload installation,sha256,992aaaccd095159532a77c659cd40561097b8135ab0d8be00545de0a1bbd911b,Source: MalwareBazaar
2024-08-06,Payload installation,filename,New requests- 124.exe,Source: MalwareBazaar
2024-08-06,Payload installation,md5,fb792aaad36727b0b5228def9f12101e,Source: MalwareBazaar
2024-08-06,Payload installation,sha1,98737bb44bcbb781b862f09cc1f404cd3944b790,Source: MalwareBazaar
2024-08-06,Payload installation,sha256,a42b86a6e286e1f86fdfd5f60d42b7deac0eb1af0fb680950672ac1002ff1b97,Source: MalwareBazaar
2024-08-06,Payload installation,filename,DHL SHIPPING DOCUMENT.exe,Source: MalwareBazaar
2024-08-06,Payload installation,md5,b81b2efb25b5fc8ef39c47adc71f4f0a,Source: MalwareBazaar
2024-08-06,Payload installation,sha1,01bdbc997333aec6197832be7a57c87e777ab007,Source: MalwareBazaar
2024-08-06,Payload installation,sha256,70ec27a0cb26c73b7dfe3d665a87234c55864972da956c4aca69393efc74c765,Source: MalwareBazaar
2024-08-06,Payload installation,filename,SKTGHRO77395797593759737593759375793753957Slummet55.exe,Source: MalwareBazaar
2024-08-06,Payload installation,md5,6304403095a696f2c74a7e022ee18af6,Source: MalwareBazaar
2024-08-06,Payload installation,sha1,a69d59aab5a94699ce0e5dea6304cb031f8d7c79,Source: MalwareBazaar
2024-08-06,Payload installation,sha256,0a5611401f99d5b7ce0b7d1e13bda3e0e908abb487987c1c7d3d667f3c4c4e16,Source: MalwareBazaar
2024-08-06,Payload installation,filename,salary increament_pdf.exe,Source: MalwareBazaar
2024-08-06,Payload installation,md5,f669243676d39c9b249440b0fbaa20f1,Source: MalwareBazaar
2024-08-06,Payload installation,sha1,504c020e507873d31baf55b961c4298e47788acc,Source: MalwareBazaar
2024-08-06,Payload installation,sha256,767f55f50dc1e54dc89051cfcf7875d2af6280d742ea0c24516debccf6664461,Source: MalwareBazaar
2024-08-06,Payload installation,filename,UPDATED STATEMENT OF ACCOUNT- JunJul 024.scr,Source: MalwareBazaar
2024-08-06,Payload installation,md5,03181db00f251af6743346969b403d9d,Source: MalwareBazaar
2024-08-06,Payload installation,sha1,a8a6758bc6c401e8bc0737dee56d0338403e4e3f,Source: MalwareBazaar
2024-08-06,Payload installation,sha256,cd07d0fac4b94c3086b1b1c319283a56be96801bca192ed9c42f7477cbd0de68,Source: MalwareBazaar
2024-08-06,Payload installation,filename,572bac7bbc6f0698807db58bdd1004831a71bab2d53d0141cbe31dc853acae07,Source: MalwareBazaar
2024-08-06,Payload installation,md5,c85ae21c08ff2f0430444e02a3514cae,Source: MalwareBazaar
