+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Phishing urls 2024-08-12 14:43:36Z
| UUID: 64eba4ef-dde9-46c3-9253-0ce87436cf3c
| Date: 2024-08-12
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-08-12,Network activity,url,https://oolx.19043623.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://0lx.29043623.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://0-lx.39043623.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://allegrol0kalnie.459043623.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://dp-d.69043623.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://vjnted.79043623.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://jnpost.89043623.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://allegrollokalnie.9043623.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://ddpd.609537.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://oolx.2902746.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://inp0st.709537.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://oolx.4902746.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://0-lx.5930538.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://vimted.0930538.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://oolx.3930538.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://o-lx.4930538.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://00lx.6930538.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://vjnted.7930538.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://v1nted.8930538.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://vihted.9930538.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://poczta.009537.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://allegr0lokalnie.209537.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://dppd.309537.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://d-pd.409537.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://dp-d.509537.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://ihpost.809537.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://site.909537.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://site.0902746.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://o1x.3902746.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://inp0st.6902746.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://poczta.7902746.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://site.8902746.xyz/2lq9p5tx/96AI6G/7,Phishing site
2024-08-12,Network activity,url,https://site.9902746.xyz/2lq9p5tx/96AI6G/7,Phishing site
