+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Phishing urls 2024-08-19 21:04:48Z
| UUID: 19820d2b-1fce-4937-9a59-d9087c044c60
| Date: 2024-08-19
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-08-20,Network activity,url,https://allegroolokalnie.93154812.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://0llx.1373825492.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://0llx.3373825492.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://0llx.4373825492.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://ollx.094739273.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://ollx.194739273.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://ollx.294739273.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://ollx.394739273.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://ollx.494739273.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://ollx.594739273.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://ollx.694739273.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://ollx.794739273.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://ollx.894739273.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://ollx.994739273.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://0llx.02481245.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://0llx.12481245.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://0llx.22481245.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://0llx.32481245.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://0llx.42481245.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://0llx.52481245.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://0llx.62481245.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://0llx.72481245.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://0llx.82481245.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://0llx.92481245.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://0llx.55412584.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://0lx.72154812.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://0llx.75412584.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://0ix.03125482.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://0llx.85412584.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://0ix.63125482.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://o1x.05412458.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://o1x.15412458.xyz/wzkvmlbb/zZyWUb/7,Phishing site
2024-08-20,Network activity,url,https://0ix.23125482.xyz/wzkvmlbb/zZyWUb/7,Phishing site
