+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Phishing urls 2024-08-21 14:40:28Z
| UUID: 9667f363-9465-43bf-81a8-239cd51b4659
| Date: 2024-08-21
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-08-21,Network activity,url,https://do2iiw.bond/o/xe8us/1724231339975#selectedbank9,Phishing site
2024-08-21,Network activity,url,https://hq9fky.bond/o/kusy2/1724231339975#selectedbank9,Phishing site
