+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Phishing urls 2024-08-23 15:19:30Z
| UUID: 82be62f9-9731-486c-947f-8b60662bacf1
| Date: 2024-08-23
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-08-23,Network activity,url,https://al1egrolokalnie.09435643.xyz/cjgy7nar/dTXd7a,Phishing site
2024-08-23,Network activity,url,https://vjnted.19435643.xyz/cjgy7nar/dTXd7a,Phishing site
2024-08-23,Network activity,url,https://vimted.29435643.xyz/cjgy7nar/dTXd7a,Phishing site
2024-08-23,Network activity,url,https://vihted.39435643.xyz/cjgy7nar/dTXd7a,Phishing site
2024-08-23,Network activity,url,https://dppd.49435643.xyz/cjgy7nar/dTXd7a,Phishing site
2024-08-23,Network activity,url,https://ddpd.59435643.xyz/cjgy7nar/dTXd7a,Phishing site
2024-08-23,Network activity,url,https://allegrolokalhie.79435643.xyz/cjgy7nar/dTXd7a,Phishing site
2024-08-23,Network activity,url,https://allegroloka1nie.89435643.xyz/cjgy7nar/dTXd7a,Phishing site
2024-08-23,Network activity,url,https://allegro1okalnie.99435643.xyz/cjgy7nar/dTXd7a,Phishing site
2024-08-23,Network activity,url,https://poczta.0292873.xyz/cjgy7nar/dTXd7a,Phishing site
2024-08-23,Network activity,url,https://oolx.1292873.xyz/cjgy7nar/dTXd7a,Phishing site
2024-08-23,Network activity,url,https://ollx.2292873.xyz/cjgy7nar/dTXd7a,Phishing site
2024-08-23,Network activity,url,https://0lx.3292873.xyz/cjgy7nar/dTXd7a,Phishing site
2024-08-23,Network activity,url,https://0olx.4292873.xyz/cjgy7nar/dTXd7a,Phishing site
2024-08-23,Network activity,url,https://00lx.5292873.xyz/cjgy7nar/dTXd7a,Phishing site
2024-08-23,Network activity,url,https://ingost.6292873.xyz/cjgy7nar/dTXd7a,Phishing site
2024-08-23,Network activity,url,https://ihpost.7292873.xyz/cjgy7nar/dTXd7a,Phishing site
2024-08-23,Network activity,url,https://inp0st.9292873.xyz/cjgy7nar/dTXd7a,Phishing site
