+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: RemcosRAT in email (gz) attachment
| UUID: 06ccc15a-2b42-4c34-88c1-e84bdd748685
| Date: 2024-08-15
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-08-15,Network activity,domain,aatcwo.biz,
2024-08-15,Network activity,domain,acwjcqqv.biz,
2024-08-15,Network activity,domain,anpmnmxo.biz,
2024-08-15,Network activity,domain,apzzls.biz,
2024-08-15,Network activity,domain,banwyw.biz,
2024-08-15,Network activity,domain,bghjpy.biz,
2024-08-15,Network activity,domain,brsua.biz,
2024-08-15,Network activity,domain,bumxkqgxu.biz,
2024-08-15,Network activity,domain,bzkysubds.biz,
2024-08-15,Network activity,domain,cikivjto.biz,
2024-08-15,Network activity,domain,cjvgcl.biz,
2024-08-15,Network activity,domain,cpclnad.biz,
2024-08-15,Network activity,domain,ctdtgwag.biz,
2024-08-15,Network activity,domain,cvgrf.biz,
2024-08-15,Network activity,domain,cwyfknmwh.biz,
2024-08-15,Network activity,domain,damcprvgv.biz,
2024-08-15,Network activity,domain,deoci.biz,
2024-08-15,Network activity,domain,dlynankz.biz,
2024-08-15,Network activity,domain,dwrqljrr.biz,
2024-08-15,Network activity,domain,dyjdrp.biz,
2024-08-15,Network activity,domain,ecxbwt.biz,
2024-08-15,Network activity,domain,ereplfx.biz,
2024-08-15,Network activity,domain,esuzf.biz,
2024-08-15,Network activity,domain,eufxebus.biz,
2024-08-15,Network activity,domain,fgajqjyhr.biz,
2024-08-15,Network activity,domain,fjumtfnz.biz,
2024-08-15,Network activity,domain,ftxlah.biz,
2024-08-15,Network activity,domain,fwiwk.biz,
2024-08-15,Network activity,domain,gcedd.biz,
2024-08-15,Network activity,domain,giliplg.biz,
2024-08-15,Network activity,domain,gjogvvpsf.biz,
2024-08-15,Network activity,domain,gnqgo.biz,
2024-08-15,Network activity,domain,gvijgjwkh.biz,
2024-08-15,Network activity,domain,gytujflc.biz,
2024-08-15,Network activity,domain,hagujcj.biz,
2024-08-15,Network activity,domain,hehckyov.biz,
2024-08-15,Network activity,domain,hlzfuyy.biz,
2024-08-15,Network activity,domain,htwqzczce.biz,
2024-08-15,Network activity,domain,ifsaia.biz,
2024-08-15,Network activity,domain,ihcnogskt.biz,
2024-08-15,Network activity,domain,ijnmvqa.biz,
2024-08-15,Network activity,domain,iuzpxe.biz,
2024-08-15,Network activity,domain,jdhhbs.biz,
2024-08-15,Network activity,domain,jhvzpcfg.biz,
2024-08-15,Network activity,domain,jifai.biz,
2024-08-15,Network activity,domain,jlqltsjvh.biz,
2024-08-15,Network activity,domain,jpskm.biz,
2024-08-15,Network activity,domain,jwkoeoqns.biz,
2024-08-15,Network activity,domain,kcyvxytog.biz,
2024-08-15,Network activity,domain,kkqypycm.biz,
2024-08-15,Network activity,domain,knjghuig.biz,
2024-08-15,Network activity,domain,krnsmlmvd.biz,
2024-08-15,Network activity,domain,kvbjaur.biz,
2024-08-15,Network activity,domain,lejtdj.biz,
2024-08-15,Network activity,domain,lpuegx.biz,
2024-08-15,Network activity,domain,lrxdmhrr.biz,
2024-08-15,Network activity,domain,ltpqsnu.biz,
2024-08-15,Network activity,domain,mgmsclkyu.biz,
2024-08-15,Network activity,domain,mjheo.biz,
2024-08-15,Network activity,domain,mnjmhp.biz,
2024-08-15,Network activity,domain,muapr.biz,
2024-08-15,Network activity,domain,myups.biz,
2024-08-15,Network activity,domain,napws.biz,
2024-08-15,Network activity,domain,neazudmrq.biz,
2024-08-15,Network activity,domain,nlscndwp.biz,
2024-08-15,Network activity,domain,npukfztj.biz,
