+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
"| Title: ""Subject: Shipment Notification of Arrival - AWB# 13700658**** - From: real@3930311.co.jp"" Campaign"
| UUID: 5aa58cec-956a-406c-be09-c39447396d5e
| Date: 2024-08-02
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-08-02,Payload delivery,email-src,real@3930311.co.jp,Source email: from real@3930311.co.jp - subject: Shipment Notification of Arrival - AWB# 13700658****
2024-08-02,Payload delivery,email-src-display-name,Maersk Line Delivery,Source email: from real@3930311.co.jp - subject: Shipment Notification of Arrival - AWB# 13700658****
2024-08-02,Payload delivery,email-body,"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""http://www.w3.org/TR/html4/loose.dtd"">

<HTML><HEAD>
<META name=GENERATOR content=""MSHTML 11.00.9600.16384""></HEAD>
<body style=""MARGIN: 0.5em"">
<P>
<table style=""FONT-SIZE: 14px; FONT-FAMILY: &quot;lucida Grande&quot;, Verdana; WHITE-SPACE: normal; WORD-SPACING: 0px; TEXT-TRANSFORM: none; FONT-WEIGHT: 400; COLOR: rgb(0,0,0); FONT-STYLE: normal; ORPHANS: 2; WIDOWS: 2; LETTER-SPACING: normal; font-stretch: inherit; font-variant-ligatures: normal; font-variant-caps: normal; -webkit-text-stroke-width: 0px; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; font-variant-numeric: inherit; 
font-variant-east-asian: inherit"" cellspacing=""0"" cellpadding=""0"" width=""100%"" border=""0"">
<TBODY>
<TR>
<td style=""FONT-SIZE: 12px; FONT-FAMILY: &quot;Helvetica Neue&quot;, Arial, &quot;PingFang SC&quot;, &quot;Hiragino Sans GB&quot;, STHeiti, &quot;Microsoft YaHei&quot;, sans-serif; MARGIN: 0px"" align=""center"">
<table style=""BORDER-TOP: rgb(235,235,235) thin solid; FONT-FAMILY: Arial, Helvetica, sans-serif; BORDER-RIGHT: rgb(235,235,235) thin solid; WIDTH: 600px; BORDER-BOTTOM: rgb(235,235,235) thin solid; BORDER-LEFT: rgb(235,235,235) thin solid; font-stretch: inherit; background-size: initial; background-origin: initial; background-clip: initial"" cellspacing=""0"" cellpadding=""0"" width=""600"" align=""center"" bgcolor=""#ffffff"">
<TBODY>
<TR>
<td style=""FONT-FAMILY: &quot;Helvetica Neue&quot;, Arial, &quot;PingFang SC&quot;, &quot;Hiragino Sans GB&quot;, STHeiti, &quot;Microsoft YaHei&quot;, sans-serif; MARGIN: 0px"" valign=""top"" align=""left"">
<table cellspacing=""0"" cellpadding=""0"" width=""100%"" border=""0"">
<TBODY>
<TR>
<td style=""MARGIN: 0px"" width=""28""><BR><BR><BR><BR><BR></TD>
<td style=""MARGIN: 0px""><FONT size=4 face=""georgia, serif""><U>Notification&nbsp;of shipment for [REDACTED]<td style=""MARGIN: 0px"" width=""26""></TD></TR></TBODY></TABLE>
<table cellspacing=""0"" cellpadding=""0"" width=""100%"" border=""0"">
<TBODY>
<TR>
<td style=""MARGIN: 0px"" width=""28""></TD>
<td style=""MARGIN: 0px"" valign=""top"" align=""left"">
<table cellspacing=""0"" cellpadding=""0"" width=""100%"" border=""0"">
<TBODY>
<TR>
<td style=""MARGIN: 0px"">
<DIV style=""COLOR: rgb(34,34,34)"">
<DIV><SPAN style=""FONT-SIZE: small; FONT-FAMILY: georgia, serif"">Consignee: [REDACTED],</SPAN><BR></DIV>
<DIV><FONT size=2 face=""georgia, serif""><BR>Please find the attached shipping container document/invoice for your reference.<BR><BR>The shipping customer advised us to contact your Email [REDACTED]as the consignee/receiver of the goods in transit<BR><BR>Kindly check the attached file containing the packing list,proforma and bill of lading for your necessary action.<BR><BR>For further inquiries please contact our customer center.<BR><BR></FONT></DIV>
<DIV><FONT size=2 face=""georgia, serif"">We thank you for choosing the Maersk Line.</FONT></DIV>
<DIV><FONT size=2 face=""georgia, serif""><BR></FONT></DIV>
<DIV><img style=""FONT-SIZE: small; FONT-FAMILY: georgia, serif; MARGIN-RIGHT: 0px"" alt=""Image result for Maersk Line"" src=""cid:sxa7pz3.png"" width=""301"" height=""88""><FONT size=2 face=""georgia, serif""><BR></FONT></DIV>
<DIV>_________________________________________________________________________</DIV>
<DIV><BR></DIV>
<DIV>
<P style=""FONT-SIZE: 16px; FONT-FAMILY: Arial, Helvetica, sans-serif; COLOR: rgb(0,0,0); PADDING-BOTTOM: 0px; PADDING-TOP: 0px; PADDING-LEFT: 0px; MARGIN: 0px; PADDING-RIGHT: 0px""><FONT face=""georgia, serif""><SPAN id=m_1674719369694933127m_8078472859237447685gmail-m_5561602222001994862ydp9962867fyiv3821423645gmail-m_-71883099460265077gmail-m_7505884468477432402gmail-m_-653983319905371911gmail-yiv5128066484yui_3_16_0_1_1530185198004_8435 style=""FONT-SIZE: 10px"">
&copy;<SPAN id=m_1674719369694933127m_8078472859237447685gmail-m_5561602222001994862ydp9962867fyiv3821423645gmail-m_-71883099460265077gmail-m_7505884468477432402gmail-m_-653983319905371911gmail-yiv5128066484yui_3_16_0_1_1530185198004_8436>&nbsp;Maersk,&nbsp;Esplanaden 50, 1098 Copenhagen, K Denmark, CVR no: 22 75 62 14 (&#8220;Maersk&#8221;)</SPAN></SPAN>
&nbsp;<SPAN id=m_1674719369694933127m_8078472859237447685gmail-m_5561602222001994862ydp9962867fyiv3821423645gmail-m_-71883099460265077gmail-m_7505884468477432402gmail-m_-653983319905371911gmail-yiv5128066484yui_3_16_0_1_1530185198004_8438 style=""FONT-SIZE: 10px""><SPAN id=m_1674719369694933127m_8078472859237447685gmail-m_5561602222001994862ydp9962867fyiv3821423645gmail-m_-71883099460265077gmail-m_7505884468477432402gmail-m_-653983319905371911gmail-yiv5128066484yui_3_16_0_1_1530185198004_8439>
This is an email from Maersk. We respect your privacy. Please use the links on this email if you would like to change your subscription information.</SPAN></SPAN><FONT id=m_1674719369694933127m_8078472859237447685gmail-m_5561602222001994862ydp9962867fyiv3821423645gmail-m_-71883099460265077gmail-m_7505884468477432402gmail-m_-653983319905371911gmail-yiv5128066484yui_3_16_0_1_1530185198004_8441>
<U id=m_1674719369694933127m_8078472859237447685gmail-m_5561602222001994862ydp9962867fyiv3821423645gmail-m_-71883099460265077gmail-m_7505884468477432402gmail-m_-653983319905371911gmail-yiv5128066484yui_3_16_0_1_1530185198004_8442><BR></U></FONT></FONT></P>
<P style=""FONT-SIZE: 16px; FONT-FAMILY: Arial, Helvetica, sans-serif; COLOR: rgb(0,0,0); PADDING-BOTTOM: 0px; PADDING-TOP: 0px; PADDING-LEFT: 0px; MARGIN: 0px; PADDING-RIGHT: 0px""><FONT id=m_1674719369694933127m_8078472859237447685gmail-m_5561602222001994862ydp9962867fyiv3821423645gmail-m_-71883099460265077gmail-m_7505884468477432402gmail-m_-653983319905371911gmail-yiv5128066484yui_3_16_0_1_1530185198004_8441 face=""georgia, serif"">
<U id=m_1674719369694933127m_8078472859237447685gmail-m_5561602222001994862ydp9962867fyiv3821423645gmail-m_-71883099460265077gmail-m_7505884468477432402gmail-m_-653983319905371911gmail-yiv5128066484yui_3_16_0_1_1530185198004_8442>Unsubscribe</U>
&nbsp;<SPAN id=m_1674719369694933127m_8078472859237447685gmail-m_5561602222001994862ydp9962867fyiv3821423645gmail-m_-71883099460265077gmail-m_7505884468477432402gmail-m_-653983319905371911gmail-yiv5128066484yui_3_16_0_1_1530185198004_8443 style=""FONT-SIZE: 11px"">|</SPAN>
&nbsp;&nbsp;<U id=m_1674719369694933127m_8078472859237447685gmail-m_5561602222001994862ydp9962867fyiv3821423645gmail-m_-71883099460265077gmail-m_7505884468477432402gmail-m_-653983319905371911gmail-yiv5128066484yui_3_16_0_1_1530185198004_8444>Privacy policy</U>
&nbsp;<SPAN id=m_1674719369694933127m_8078472859237447685gmail-m_5561602222001994862ydp9962867fyiv3821423645gmail-m_-71883099460265077gmail-m_7505884468477432402gmail-m_-653983319905371911gmail-yiv5128066484yui_3_16_0_1_1530185198004_8445 style=""FONT-SIZE: 11px"">|</SPAN>
&nbsp;&nbsp;<U id=m_1674719369694933127m_8078472859237447685gmail-m_5561602222001994862ydp9962867fyiv3821423645gmail-m_-71883099460265077gmail-m_7505884468477432402gmail-m_-653983319905371911gmail-yiv5128066484yui_3_16_0_1_1530185198004_8446>Disclaimer</U></FONT></P></DIV>
<DIV><FONT size=2 face=""georgia, serif""><BR></FONT></DIV>
<DIV><BR></DIV></DIV></TD></TR></TBODY></TABLE>
<table cellspacing=""0"" cellpadding=""0"" width=""100%"" border=""0"">
<TBODY></TBODY></TABLE></TD>
<td style=""MARGIN: 0px"" width=""26"">&nbsp;</TD></TR></TBODY></TABLE></TD></TR></TBODY></TABLE></TD></TR></TBODY></TABLE><BR class=Apple-interchange-newline></P></BODY></HTML>",Source email: from real@3930311.co.jp - subject: Shipment Notification of Arrival - AWB# 13700658****
2024-08-02,Payload delivery,email-subject,Shipment Notification of Arrival - AWB# 13700658****,Source: from real@3930311.co.jp - subject: Shipment Notification of Arrival - AWB# 13700658****
2024-08-02,Payload delivery,filename|sha256,BL-Invoice document.html|eec0b3ccae217fb76a7dc83eb44dabca2bba65110c36db626442ae250c18dedd,Malspam attachment - source: from real@3930311.co.jp - subject: Shipment Notification of Arrival - AWB# 13700658**** mime: text/html
2024-08-02,Payload delivery,filename|ssdeep,BL-Invoice document.html|96:mECaCI3tLWv0mM/6w7iILS8kubjDUfNWZiwVK/4X:mtaCaVN/66Xrjy/4X,Malspam attachment - source: from real@3930311.co.jp - subject: Shipment Notification of Arrival - AWB# 13700658**** mime: text/html
2024-08-02,Payload delivery,filename|sha1,BL-Invoice document.html|f8b1cbd6e7e8b0078b43f60e3b99a338cf882d21,Malspam attachment - source: from real@3930311.co.jp - subject: Shipment Notification of Arrival - AWB# 13700658**** mime: text/html
2024-08-02,Payload delivery,filename|sha512,BL-Invoice document.html|18d000dfa78d9bafbebf86022a9aa505a0ed9aa15cadd71c1d14eb27e9b0137defda71d90d6fdacdf84b222ddb1628da4e97171356a6ccf72a6136ab4c489876,Malspam attachment - source: from real@3930311.co.jp - subject: Shipment Notification of Arrival - AWB# 13700658**** mime: text/html
2024-08-02,Payload delivery,filename|md5,BL-Invoice document.html|8df0bafa7bbcae6e345144d1d381005b,Malspam attachment - source: from real@3930311.co.jp - subject: Shipment Notification of Arrival - AWB# 13700658**** mime: text/html
2024-08-02,Payload delivery,filename|sha256,Maersk Line shipment.html|eec0b3ccae217fb76a7dc83eb44dabca2bba65110c36db626442ae250c18dedd,Malspam attachment - source: from real@3930311.co.jp - subject: Shipment Notification of Arrival - AWB# 13700658**** mime: text/html
