+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2024-08-15
| UUID: 0a4ae223-7aa0-4cd2-94cc-d304f9648eb1
| Date: 2024-08-15
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-08-15,Network activity,ip-dst|port,41.249.60.29|10000,NjRAT botnet C2 server (confidence level: 75%)
2024-08-15,Network activity,url,https://danielprime-robotics.com/nmfkztc4ywm3ztk2/,Coper botnet C2 (confidence level: 80%)
2024-08-15,Network activity,url,https://bunny-pink-love.com/nmfkztc4ywm3ztk2/,Coper botnet C2 (confidence level: 80%)
2024-08-15,Network activity,url,https://bufalo-store.com/nmfkztc4ywm3ztk2/,Coper botnet C2 (confidence level: 80%)
2024-08-15,Network activity,url,https://double-history.com/nmfkztc4ywm3ztk2/,Coper botnet C2 (confidence level: 80%)
2024-08-15,Network activity,url,https://blue-deargreezley.com/nmfkztc4ywm3ztk2/,Coper botnet C2 (confidence level: 80%)
2024-08-15,Network activity,url,https://bleu-teddy.com/nmfkztc4ywm3ztk2/,Coper botnet C2 (confidence level: 80%)
2024-08-15,Network activity,ip-dst|port,92.249.48.62|1337,Mirai botnet C2 server (confidence level: 75%)
2024-08-15,Network activity,ip-dst|port,46.246.12.19|3100,NjRAT botnet C2 server (confidence level: 75%)
2024-08-15,Network activity,domain,telorino1581.duckdns.org,NjRAT botnet C2 domain (confidence level: 75%)
2024-08-15,Network activity,domain,nj3100.duckdns.org,NjRAT botnet C2 domain (confidence level: 75%)
2024-08-15,Payload delivery,url,http://117.206.72.42:38672/mozi.m,Mozi payload delivery URL (confidence level: 50%)
2024-08-15,Network activity,ip-dst|port,23.95.193.234|2345,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,38.6.177.186|6789,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,103.67.162.246|2404,Remcos botnet C2 server (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,154.127.53.157|2404,Remcos botnet C2 server (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,181.49.85.74|5507,Remcos botnet C2 server (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,45.66.231.75|2404,Remcos botnet C2 server (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,5.252.178.153|44211,Sliver botnet C2 server (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,41.142.192.236|4444,AsyncRAT botnet C2 server (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,20.51.254.237|7443,Unknown malware botnet C2 server (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,176.32.35.154|443,Unknown malware botnet C2 server (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,176.32.35.154|7443,Unknown malware botnet C2 server (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,46.246.12.19|5000,DCRat botnet C2 server (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,46.246.14.21|9090,DCRat botnet C2 server (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,46.246.14.17|9000,DCRat botnet C2 server (confidence level: 100%)
2024-08-15,Payload delivery,url,https://greyspartners.com/analytics.js,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,94.232.41.95|443,Latrodectus botnet C2 server (confidence level: 75%)
2024-08-15,Network activity,ip-dst|port,47.100.16.83|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,82.156.246.88|5555,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,8.222.193.34|81,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,27.25.158.54|800,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,104.168.104.173|1234,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,47.103.82.22|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,154.216.20.87|5555,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,120.46.211.59|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,113.44.61.55|7777,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,46.8.231.118|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,47.100.173.211|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,47.106.67.138|999,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,47.97.126.51|7500,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,83.229.124.86|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,88.214.26.34|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,101.34.80.152|82,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,83.229.124.86|2095,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,107.189.14.209|7777,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-08-15,Network activity,ip-dst|port,118.25.102.49|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-08-15,Payload delivery,sha256,01ec9c59da49bbf4bed1308e20775bab4c7558857677a678c4210d0cd4be6663,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,028ed41850b34de96771fc4e3bbfb56a22c6f061543ae6b602f6b81457a9c551,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,02c009d94f9c5a96e729fa48cb86b7eeeff524ded15c99e08da8c83fb9510050,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,03586d12ff9eeb0d1ab85075006c1d84618f7591b0095430081d2dba66484932,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,059823140906740379b49ee70ee95ca5f3c4fb21119350c9d9a02b93726e63e1,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,05f55da61ab7a5e71b45b6884882024ea8135921dca7ae9017ba5e14b647a4f9,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,0604e7f0b4f7790053991c33359ad427c9bf74c62bec3e2d16984956d0fb9c19,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,0d74044d06ace331187e52a8dce76cd04ad6d54bf75ba9d0315915df3d3ee2c1,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,0e6f5b452731388bc85350e774aba119f3dd32c57d050cbc2ce4aa8eff21866b,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,0fe2752dee872bfce63101f0eb671b98dfc60cf70f9fbfc4dbf7023037f6df09,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,1068ea96462695afbcd6edf121c197fc70e70b8ff65c39dd174a343499a42823,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,14521c12d40fb43210f47d1ff8416b1361714592930a24d121faa80b14974f4b,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,14d482a00e84eaee3d3bbf9c08a5b36fa51499d3d9dede1e0c69ec01d3dd4562,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,184ae482843c5cc95242fb44747fce10cb897a9ddcc73a82d3c83a7682c74d41,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,18f56cadf76e6e17e67eafea7f1b910c942b9c71694428d673b7dcfa4e3ca751,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,1ba9d880e4b532ea375242878c2a18b99875d8922657caa813e5bfaf4094f252,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,1c9fcd9f4f23d4c22037ec04db1f7ee40eeebd51c17d6cc9b04857128d6ad6dc,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,1e15ea86c8ea6c0d6db8241423b7d731cf2dd398c69ef16e9bfe29e32d7fd8ac,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,210a89feb1bef8ac9e65e3917595bf98e32e3c92780123beb8224cbd403b2b71,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,22dab97a8a7818bd80c231a3348aab01430e891f7f2db2b2f296cd22bbb3d37d,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,23dc307717c9f4248f74069810d108f2c61b7282bf6f54ccc948e375a7b49f2f,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,2599be91491cc3e34bf62c6bf3bd05f4bb758f1af734fa09d17fc75d08af45dd,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,26a234763f42527860fc45c04b377b78fa21a9803709e248f6c0d56ba42dd15c,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,29afd0e0f06c49a72ede1b93cf30dd3ed0725fdeebc4403c7e3351e9ab0e294b,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,2e87e91e66eb5f0b9420f793a43348194d0f4892025a2b903dd2a726fc61c6ea,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,2ea438e0fb23dd5f89312542d4d04e45600a8bc7fd8202e0ebc59552332d917e,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,324fe42a69f298ce756c7a3179e34ef0b051a660b3d9b1ca83b6e05007d823c3,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,362c1b9e5d46a866a52f03dca80aa812d5637a8d2304527603445f78e79b855c,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,3678d9e3523fb670a0ecc7430e2ce1ae50398659826836e9fcf9b23fb91d0ccc,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,4043aa37b5ba577dd99f6ca35c644246094f4f579415652895e6750fb9823bd9,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,43914148d882c42c56a091aa1787d0c0ead021c46ffd03f14bbd49ddded030bb,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,46e2c79fd9ac191468054d78c28d579c4715085466148eed8092d80195dca606,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,486a970731749d2839cb8757e8e6136d80747c59c6145e8197aba1a0fb305386,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,48d0dd50049e4d3a40811ac7e846f92164b5608f4d322bf0692341e0fba0ac15,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,4927db80c34f1e8c9b2bd5efa6f0f4c3c8fb5cfda31535841b6bd539360e19c7,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,49b95c7f231ee558b54e3a909721d90370ea7243466cefcd07225cc00111973e,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,4bc90f570ce819c3f54ec34332e26440b23815450ff15b6282cc121def3876d1,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,4be9ec060c7b4edf0eae6157e14cd739bf0eca4ab4b066b4d584151d613cafe1,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,4cb35199173c9d74d8055c393e8b0494c2d6190e2a4554eb19fc1d1749cbc697,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,5229cf2cb13a990e47e765f03a6a40ac9c72e42982a802c22cf4a17475513ea6,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,5543ab4d3f68ee184ea3abd3199688c45bb815c608b05e41f51a2032bb3d1a9f,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,59d2c2ca389ab1ba1fefa4a06b14ae18a8f5b70644158d5ec4fb7a7eac4c0a08,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,5a2a094b87eae3efe815373b839e6237cfed19e71fb9653c3fabf4d2f6e256ce,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,5a7d16989ec7cc3995806bfac86905cc77b906e34740ba3f858011eb9c2c299e,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,5c0ef1d56bb0035db6f65332a515e9d3232342dc9967a473a10081799b965a6d,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,5f4cf4082dbd503c6f0b652ddd22675f4427a907726e2f8d08c718adeafbb568,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,5f57369c4674379fa79b527de529edb70ce652852aeb0a6ce53ceca2e38b8448,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,612953fac447010a066baac0d91ec30a32e76de63e7a39ed8dad08a69c70ad7d,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,656099d4fcb2a5824b4bf2ac8d6356f33d73d9a2a4c401bcd986f7667ee71695,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,661f0750e2b80ee0d08e9cbf87b9b6b53029a8b92e5349f05793fb365ae8ef4f,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,6c2931402c355a24deb9edab5a1ad5544abac720613f78a1493e9a624b5aea0f,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,704575d5227f6d7dbaef59fad3c40f659b7788fc18cd7a198b59048800cfde87,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,722439434746d6627adca95953f767b84c1d80221d937c6fd47ec369a2b9aee3,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,7687d9133fdbb30180fd992f3a93182667931142261509542df08bdfbb6d249a,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,76a93e015a125c855a6c3b21e66c3b6565ab0e3d1ed1b8b5cce58c67ddc32140,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,77459027f4dfafea572beb10ebb33a1f996a78e37344b13c9d5efa8625791974,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,7c78c287bbd93eaa79a792d5be6a2ef1522ff377a1fcd8daaebf152df5f174b7,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,7d5feb91de3bdff55a69dd855aa722bd0756e0007af74fb8b7fb777357730707,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,852b616653a8bee9d2efc47d52d4f33a7fbbe11bb3c21c665cfb561935a9b5a4,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,8562637ec83bc9a84fc1d4b9b1f5afa2afaa171f3d933a7eb8cbee81bb2ef871,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,8568226767ac2748eccc7b9832fac33e8aa6bfdc03eafa6a34fb5d81e5992497,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,868c25ada15d1d3b5cd9fd6ea53560892e3edb5179d34ead82580d18b45432ce,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,89ff63b4136eea257f6ccf5116909a8cac54e3314b677e35148c7e8f04653199,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,8b684153a5f2a014ec67ea3cd8157c75fe95b504d0ff894909e39eafe3728ac8,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,8dc6a5712056740bd4f9a390ee3bb1c3f80618f907d1f0f43cebced7dd02b514,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,8e80c222a9d8765ba75c36b1deec673fb88ed72c7078724be1d7d932ed5ee560,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,8f9536aa02f3e41ad9bb7de032d0639b86ed01c19424a63b122e33fa8b61206f,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,9659de7c9797f96e4c73b2da0f6b368faea91d2d0dbbbf9cb6e1cc01e3c48aaf,Unknown malware payload (confidence level: 100%)
2024-08-15,Payload delivery,sha256,9afbfde2dd0137e872ef20a6454776f5f896d03053327070fadf25c7831cddb0,Unknown malware payload (confidence level: 100%)
