+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2024-08-30
| UUID: a79ffe99-fd24-4809-ab1d-1d338fe0a7bd
| Date: 2024-08-30
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-08-30,Payload delivery,url,https://psafetysolutions.com/wp-admin/images/wfgth.php,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-08-30,Payload delivery,ip-dst|port,212.113.120.69|443,FAKEUPDATES payload delivery server (confidence level: 100%)
2024-08-30,Network activity,ip-dst|port,154.213.185.141|6788,Mirai botnet C2 server (confidence level: 100%)
2024-08-30,Network activity,ip-dst|port,93.157.106.238|10,Mirai botnet C2 server (confidence level: 100%)
2024-08-30,Network activity,ip-dst|port,181.235.8.14|2828,NjRAT botnet C2 server (confidence level: 75%)
2024-08-30,Network activity,domain,carlos1983dc.duckdns.org,NjRAT botnet C2 domain (confidence level: 75%)
2024-08-30,Network activity,domain,michael2009nj.duckdns.org,NjRAT botnet C2 domain (confidence level: 75%)
2024-08-30,Network activity,ip-dst|port,93.123.85.247|59962,Mirai botnet C2 server (confidence level: 100%)
2024-08-30,Network activity,ip-dst|port,52.81.123.222|65531,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-08-30,Network activity,ip-dst|port,111.230.59.107|60005,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-08-30,Network activity,ip-dst|port,80.66.75.52|57704,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-08-30,Network activity,ip-dst|port,124.71.202.76|9999,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-08-30,Network activity,url,http://otkaz.top/phpwordpress.php,DCRat botnet C2 (confidence level: 100%)
2024-08-30,Network activity,ip-dst|port,172.111.139.88|2404,Remcos botnet C2 server (confidence level: 100%)
2024-08-30,Network activity,ip-dst|port,163.172.125.253|80,AsyncRAT botnet C2 server (confidence level: 100%)
