+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: URLhaus IOCs for 2024-08-10
| UUID: 0ce3cc84-1f45-442f-be02-bf322dcb25cc
| Date: 2024-08-10
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-08-10,Payload delivery,url,http://115.56.187.102:43344/i,Malware distribution site
2024-08-10,Payload delivery,url,http://115.55.177.0:36049/i,Malware distribution site
2024-08-10,Payload delivery,url,http://117.248.167.77:51634/i,Malware distribution site
2024-08-10,Payload delivery,url,http://117.208.110.211:56866/i,Malware distribution site
2024-08-10,Payload delivery,url,http://117.235.100.243:34112/bin.sh,Malware distribution site
2024-08-10,Payload delivery,url,http://182.121.154.167:56669/bin.sh,Malware distribution site
2024-08-10,Payload delivery,url,http://59.88.225.202:45948/Mozi.m,Malware distribution site
2024-08-10,Payload delivery,url,http://112.11.250.147:38512/Mozi.m,Malware distribution site
2024-08-10,Payload delivery,url,http://117.198.17.78:37709/Mozi.m,Malware distribution site
2024-08-10,Payload delivery,url,http://59.95.80.58:47840/Mozi.m,Malware distribution site
2024-08-10,Payload delivery,url,http://61.3.103.191:59827/Mozi.m,Malware distribution site
2024-08-10,Payload delivery,url,http://120.56.3.201:33581/Mozi.m,Malware distribution site
2024-08-10,Payload delivery,url,http://182.46.218.149:40239/Mozi.m,Malware distribution site
2024-08-10,Payload delivery,url,http://123.154.26.216:34747/Mozi.m,Malware distribution site
2024-08-10,Payload delivery,url,http://1.29.222.97:33351/Mozi.m,Malware distribution site
2024-08-10,Payload delivery,url,http://42.227.38.175:55639/Mozi.m,Malware distribution site
2024-08-10,Payload delivery,url,http://45.115.89.102:57182/Mozi.m,Malware distribution site
2024-08-10,Payload delivery,url,http://117.213.89.184:36681/Mozi.m,Malware distribution site
2024-08-10,Payload delivery,url,http://117.253.165.113:39370/bin.sh,Malware distribution site
2024-08-10,Payload delivery,url,http://117.208.216.60:43473/bin.sh,Malware distribution site
2024-08-10,Payload delivery,url,http://182.127.70.152:54416/i,Malware distribution site
2024-08-10,Payload delivery,url,http://39.90.185.187:42557/i,Malware distribution site
2024-08-10,Payload delivery,url,http://117.212.49.51:48972/bin.sh,Malware distribution site
2024-08-10,Payload delivery,url,http://115.58.85.143:36408/i,Malware distribution site
2024-08-10,Payload delivery,url,http://42.235.4.18:50565/i,Malware distribution site
2024-08-10,Payload delivery,url,http://42.239.151.2:44844/i,Malware distribution site
2024-08-10,Payload delivery,url,http://103.249.199.0:33762/i,Malware distribution site
2024-08-10,Payload delivery,url,http://117.216.158.188:56300/bin.sh,Malware distribution site
2024-08-10,Payload delivery,url,http://42.230.57.30:43141/i,Malware distribution site
2024-08-10,Payload delivery,url,http://117.219.112.131:47496/i,Malware distribution site
2024-08-10,Payload delivery,url,http://123.11.172.135:57612/bin.sh,Malware distribution site
2024-08-10,Payload delivery,url,http://115.52.18.168:42753/bin.sh,Malware distribution site
2024-08-10,Payload delivery,url,http://61.137.161.171:43950/bin.sh,Malware distribution site
2024-08-10,Payload delivery,url,http://117.248.160.129:51285/i,Malware distribution site
2024-08-10,Payload delivery,url,http://61.0.108.38:60948/i,Malware distribution site
2024-08-10,Payload delivery,url,http://42.177.176.109:47829/Mozi.m,Malware distribution site
2024-08-10,Payload delivery,url,http://123.14.214.26:52821/i,Malware distribution site
2024-08-10,Payload delivery,url,http://42.225.8.21:47444/Mozi.m,Malware distribution site
2024-08-10,Payload delivery,url,http://117.201.178.228:37521/i,Malware distribution site
2024-08-10,Payload delivery,url,http://61.0.208.101:39509/Mozi.m,Malware distribution site
2024-08-10,Payload delivery,url,http://27.5.29.246:43366/Mozi.m,Malware distribution site
2024-08-10,Payload delivery,url,http://59.98.103.222:42825/i,Malware distribution site
