+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: URLhaus IOCs for 2024-08-29
| UUID: 8ad20eae-5bb8-45da-8d6a-8f3e86ffd7b8
| Date: 2024-08-29
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-08-29,Payload delivery,url,http://117.197.174.124:51899/i,Malware distribution site
2024-08-29,Payload delivery,url,http://46.35.179.223:39109/Mozi.m,Malware distribution site
2024-08-29,Payload delivery,url,http://115.48.150.105:36721/Mozi.m,Malware distribution site
2024-08-29,Payload delivery,url,http://117.253.156.93:55749/Mozi.m,Malware distribution site
2024-08-29,Payload delivery,url,http://195.64.163.189:38607/Mozi.m,Malware distribution site
2024-08-29,Payload delivery,url,http://115.55.227.92:56112/Mozi.m,Malware distribution site
2024-08-29,Payload delivery,url,http://117.253.196.231:42680/Mozi.m,Malware distribution site
2024-08-29,Payload delivery,url,http://117.217.170.84:48295/Mozi.m,Malware distribution site
2024-08-29,Payload delivery,url,http://117.217.83.171:49171/bin.sh,Malware distribution site
2024-08-29,Payload delivery,url,http://117.255.191.208:50971/Mozi.m,Malware distribution site
2024-08-29,Payload delivery,url,http://117.223.1.239:37071/Mozi.m,Malware distribution site
2024-08-29,Payload delivery,url,http://117.208.248.216:58631/Mozi.m,Malware distribution site
2024-08-29,Payload delivery,url,http://160.119.156.186:34956/i,Malware distribution site
2024-08-29,Payload delivery,url,http://117.216.2.241:60889/Mozi.m,Malware distribution site
2024-08-29,Payload delivery,url,http://42.226.76.76:42980/Mozi.m,Malware distribution site
2024-08-29,Payload delivery,url,http://117.217.87.46:60424/i,Malware distribution site
2024-08-29,Payload delivery,url,http://123.10.215.179:41909/i,Malware distribution site
2024-08-29,Payload delivery,url,http://90.151.40.222:40404/i,Malware distribution site
2024-08-29,Payload delivery,url,http://117.217.83.171:49171/i,Malware distribution site
2024-08-29,Payload delivery,url,http://117.254.170.248:42661/bin.sh,Malware distribution site
2024-08-29,Payload delivery,url,http://182.116.13.80:56376/bin.sh,Malware distribution site
2024-08-29,Payload delivery,url,http://61.0.176.98:54949/bin.sh,Malware distribution site
2024-08-29,Payload delivery,url,http://117.245.14.252:48564/i,Malware distribution site
2024-08-29,Payload delivery,url,http://117.219.95.22:50686/bin.sh,Malware distribution site
2024-08-29,Payload delivery,url,http://117.248.174.192:34921/i,Malware distribution site
2024-08-29,Payload delivery,url,https://pllcj.contest.printondemandmerchandise.com/orderReview,Malware distribution site
2024-08-29,Payload delivery,url,http://59.89.188.192:54352/bin.sh,Malware distribution site
2024-08-29,Payload delivery,url,http://42.54.23.32:55832/i,Malware distribution site
2024-08-29,Payload delivery,url,http://117.206.213.209:37282/bin.sh,Malware distribution site
2024-08-29,Payload delivery,url,http://112.27.199.101:52636/bin.sh,Malware distribution site
2024-08-29,Payload delivery,url,http://61.137.177.6:51822/bin.sh,Malware distribution site
2024-08-29,Payload delivery,url,http://59.182.73.35:57211/i,Malware distribution site
2024-08-29,Payload delivery,url,http://182.113.194.94:35643/bin.sh,Malware distribution site
2024-08-29,Payload delivery,url,http://117.198.13.53:33544/bin.sh,Malware distribution site
2024-08-29,Payload delivery,url,http://117.222.127.69:42516/bin.sh,Malware distribution site
2024-08-29,Payload delivery,url,http://27.216.33.73:44760/bin.sh,Malware distribution site
2024-08-29,Payload delivery,url,http://182.116.239.66:50697/bin.sh,Malware distribution site
2024-08-29,Payload delivery,url,http://112.53.154.170:49855/bin.sh,Malware distribution site
2024-08-29,Payload delivery,url,http://59.183.118.153:53924/bin.sh,Malware distribution site
2024-08-29,Payload delivery,url,http://147.45.44.104/prog/66cf817beb3eb_vweji12.exe#d12,Malware distribution site
2024-08-29,Payload delivery,url,http://176.225.237.185:40458/bin.sh,Malware distribution site
2024-08-29,Payload delivery,url,http://61.0.13.8:44421/i,Malware distribution site
2024-08-29,Payload delivery,url,http://61.0.183.45:54390/bin.sh,Malware distribution site
2024-08-29,Payload delivery,url,http://59.99.134.167:42931/bin.sh,Malware distribution site
2024-08-29,Payload delivery,url,http://116.30.120.202:41485/bin.sh,Malware distribution site
2024-08-29,Payload delivery,url,http://182.112.31.20:59593/bin.sh,Malware distribution site
2024-08-29,Payload delivery,url,http://61.3.208.42:32954/bin.sh,Malware distribution site
2024-08-29,Payload delivery,url,http://42.239.231.88:35706/bin.sh,Malware distribution site
2024-08-29,Payload delivery,url,http://59.89.188.192:54352/i,Malware distribution site
2024-08-29,Payload delivery,url,http://113.239.254.219:42309/Mozi.m,Malware distribution site
2024-08-29,Payload delivery,url,http://117.242.78.111:46655/bin.sh,Malware distribution site
2024-08-29,Payload delivery,url,http://115.58.13.233:41701/bin.sh,Malware distribution site
2024-08-29,Payload delivery,url,http://61.0.176.98:54949/i,Malware distribution site
2024-08-29,Payload delivery,url,http://125.27.11.123:43077/bin.sh,Malware distribution site
2024-08-29,Payload delivery,url,http://182.113.194.94:35643/i,Malware distribution site
2024-08-29,Payload delivery,url,http://cpanel-adminhost.com/wWdnBiepyw166.bin,Malware distribution site
2024-08-29,Payload delivery,url,http://cpanel-adminhost.com/Stevns179.mix,Malware distribution site
2024-08-29,Payload delivery,url,http://115.48.131.111:59723/i,Malware distribution site
2024-08-29,Payload delivery,url,http://221.15.93.98:59689/bin.sh,Malware distribution site
2024-08-29,Payload delivery,url,http://111.61.93.17:33022/bin.sh,Malware distribution site
2024-08-29,Payload delivery,url,http://59.183.118.153:53924/i,Malware distribution site
2024-08-29,Payload delivery,url,http://117.208.223.176:35787/bin.sh,Malware distribution site
2024-08-29,Payload delivery,url,https://avocaldoperu.com/Jouse4.png,Malware distribution site
2024-08-29,Payload delivery,url,http://avocaldoperu.com/Jouse4.png,Malware distribution site
