+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: URLhaus IOCs for 2024-08-31
| UUID: 8f17de1b-ebdc-4511-beaf-3e3e0c4725d2
| Date: 2024-08-31
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-08-31,Payload delivery,url,http://117.194.223.6:46355/bin.sh,Malware distribution site
2024-08-31,Payload delivery,url,http://59.89.194.137:48606/bin.sh,Malware distribution site
2024-08-31,Payload delivery,url,http://119.116.147.18:46848/Mozi.m,Malware distribution site
2024-08-31,Payload delivery,url,http://117.235.241.232:41773/Mozi.m,Malware distribution site
2024-08-31,Payload delivery,url,http://115.55.236.204:43725/bin.sh,Malware distribution site
2024-08-31,Payload delivery,url,http://59.95.85.143:57291/bin.sh,Malware distribution site
2024-08-31,Payload delivery,url,http://42.239.228.153:34447/bin.sh,Malware distribution site
2024-08-31,Payload delivery,url,http://117.195.140.48:57565/Mozi.m,Malware distribution site
2024-08-31,Payload delivery,url,http://61.0.144.62:37222/i,Malware distribution site
2024-08-31,Payload delivery,url,http://175.165.227.124:56276/i,Malware distribution site
2024-08-31,Payload delivery,url,http://117.211.238.212:32977/i,Malware distribution site
2024-08-31,Payload delivery,url,http://117.206.65.195:58491/bin.sh,Malware distribution site
2024-08-31,Payload delivery,url,http://61.3.2.252:39792/bin.sh,Malware distribution site
2024-08-31,Payload delivery,url,http://117.216.21.82:44108/bin.sh,Malware distribution site
2024-08-31,Payload delivery,url,http://182.123.195.67:42748/bin.sh,Malware distribution site
2024-08-31,Payload delivery,url,http://59.89.71.51:60360/Mozi.m,Malware distribution site
2024-08-31,Payload delivery,url,http://117.243.171.29:54905/bin.sh,Malware distribution site
2024-08-31,Payload delivery,url,http://117.235.103.41:58083/Mozi.m,Malware distribution site
2024-08-31,Payload delivery,url,http://117.235.121.155:37109/bin.sh,Malware distribution site
2024-08-31,Payload delivery,url,http://27.215.54.63:44179/bin.sh,Malware distribution site
2024-08-31,Payload delivery,url,http://117.215.220.172:53270/bin.sh,Malware distribution site
2024-08-31,Payload delivery,url,http://117.207.29.181:53588/i,Malware distribution site
2024-08-31,Payload delivery,url,http://59.95.0.55:45960/bin.sh,Malware distribution site
2024-08-31,Payload delivery,url,http://117.242.108.102:51490/bin.sh,Malware distribution site
2024-08-31,Payload delivery,url,http://117.194.223.6:46355/i,Malware distribution site
