+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Daily Phishing list urlabuse.com - 2024-07-04
| UUID: a537bccf-e269-4f32-9391-95811f01ec14
| Date: 2024-07-05
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-07-06,Network activity,hostname,iuytrewsdfgghhjgtrewrttyugfxcvbnhjtyrerrtyughfgdsdfrtewphp.pages.dev,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,http://iuytrewsdfgghhjgtrewrttyugfxcvbnhjtyrerrtyughfgdsdfrtewphp.pages.dev,Source URL
2024-07-06,Other,text,Generic Email,Target of the attack
2024-07-06,Network activity,hostname,good-adw.pages.dev,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,http://good-adw.pages.dev,Source URL
2024-07-06,Other,text,Yahoo!,Target of the attack
2024-07-06,Network activity,hostname,work5445434545444416.davids-739.workers.dev,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,http://work5445434545444416.davids-739.workers.dev,Source URL
2024-07-06,Other,text,Microsoft,Target of the attack
2024-07-06,Network activity,hostname,webmail.icldc.ae,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,http://webmail.icldc.ae,Source URL
2024-07-06,Other,text,Microsoft,Target of the attack
2024-07-06,Network activity,hostname,storageapi2.fleek.co,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,https://storageapi2.fleek.co/4b0d24bb-422a-47f5-b44d-54b3d390efc0-bucket/sih/index%20(3).html,Source URL
2024-07-06,Other,text,Microsoft,Target of the attack
2024-07-06,Network activity,hostname,pub-6151cbb4115d47dda1a50e6b3f392453.r2.dev,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,https://pub-6151cbb4115d47dda1a50e6b3f392453.r2.dev/index.html,Source URL
2024-07-06,Other,text,Microsoft,Target of the attack
2024-07-06,Network activity,hostname,pub-18d5a849f50b4f0599fe705f3bca6667.r2.dev,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,http://pub-18d5a849f50b4f0599fe705f3bca6667.r2.dev/index.html,Source URL
2024-07-06,Other,text,Microsoft,Target of the attack
2024-07-06,Network activity,hostname,pub-3398851e7c8a4091a89bedf19adecbd5.r2.dev,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,https://pub-3398851e7c8a4091a89bedf19adecbd5.r2.dev/efax-No_27687342.html?usrn=,Source URL
2024-07-06,Other,text,Microsoft,Target of the attack
2024-07-06,Network activity,hostname,pub-3e0db16584a646649cf6f8bf3f737b21.r2.dev,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,https://pub-3e0db16584a646649cf6f8bf3f737b21.r2.dev/microsoftoutlook-admin.html,Source URL
2024-07-06,Other,text,Microsoft,Target of the attack
2024-07-06,Network activity,hostname,pub-ff311b1e15554610b58d6fd862e39083.r2.dev,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,https://pub-ff311b1e15554610b58d6fd862e39083.r2.dev/foot.html,Source URL
2024-07-06,Other,text,Microsoft,Target of the attack
2024-07-06,Network activity,hostname,web-telegram-co5.pages.dev,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,https://web-telegram-co5.pages.dev/,Source URL
2024-07-06,Other,text,Telegram,Target of the attack
2024-07-06,Network activity,hostname,t3.part-timejolb.com,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,https://t3.part-timejolb.com/,Source URL
2024-07-06,Other,text,Telegram,Target of the attack
2024-07-06,Network activity,hostname,simplescalingdefender.pages.dev,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,http://simplescalingdefender.pages.dev,Source URL
2024-07-06,Other,text,Crypto,Target of the attack
2024-07-06,Network activity,hostname,monrenouv-vitale.fr,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,http://monrenouv-vitale.fr,Source URL
2024-07-06,Other,text,FR-GOV,Target of the attack
2024-07-06,Network activity,hostname,best-adult-dating-site69.pages.dev,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,http://best-adult-dating-site69.pages.dev,Source URL
2024-07-06,Other,text,Whatsapp,Target of the attack
2024-07-06,Network activity,hostname,portal-dev-sso.kdg.mediabeam.com,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,http://portal-dev-sso.kdg.mediabeam.com,Source URL
2024-07-06,Other,text,Vodafone,Target of the attack
2024-07-06,Network activity,hostname,workers-playgund-shrill-bonus-ef82.davids-739.workers.dev,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,http://workers-playgund-shrill-bonus-ef82.davids-739.workers.dev,Source URL
2024-07-06,Other,text,Microsoft,Target of the attack
2024-07-06,Network activity,hostname,best-adult-dating-site-c3y.pages.dev,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,http://best-adult-dating-site-c3y.pages.dev,Source URL
2024-07-06,Other,text,Whatsapp,Target of the attack
2024-07-06,Network activity,hostname,telegram-for-sex-1wd.pages.dev,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,http://telegram-for-sex-1wd.pages.dev,Source URL
2024-07-06,Other,text,Telegram,Target of the attack
2024-07-06,Network activity,hostname,diamondfmltd.co.uk,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,https://diamondfmltd.co.uk/ir/W568H/pay/,Source URL
2024-07-06,Other,text,Shaparak,Target of the attack
2024-07-06,Network activity,hostname,site20.info,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,https://site20.info/Tanha/LP/P/A/C/H/K/H/O/b/E/h/Roup/pay/,Source URL
2024-07-06,Other,text,Shaparak,Target of the attack
2024-07-06,Network activity,hostname,pub-15a40181d9494e9d9ae93ed8c8a4ff90.r2.dev,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,https://pub-15a40181d9494e9d9ae93ed8c8a4ff90.r2.dev/qK8A20Pj0o.html,Source URL
2024-07-06,Other,text,Microsoft,Target of the attack
2024-07-06,Network activity,hostname,rmfwwf88swc-1324839608.cos.ap-beijing-fsi.myqcloud.com,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,https://rmfwwf88swc-1324839608.cos.ap-beijing-fsi.myqcloud.com/rmfwwf88swc.html,Source URL
2024-07-06,Other,text,Microsoft,Target of the attack
2024-07-06,Network activity,hostname,radiobravafm.com.ar,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,https://radiobravafm.com.ar/articulo/config/information.php?access.x55797348172&&data.x=en_fbfc44dc952a4f55804005cd8,Source URL
2024-07-06,Other,text,Microsoft,Target of the attack
2024-07-06,Network activity,hostname,pub-d603c924b2094d6883f06a98fe26ea5c.r2.dev,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,https://pub-d603c924b2094d6883f06a98fe26ea5c.r2.dev/Alldomain-index.html,Source URL
2024-07-06,Other,text,Microsoft,Target of the attack
2024-07-06,Network activity,hostname,pub-5f290cb2d2104ceea8ffa5a03d19d214.r2.dev,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,https://pub-5f290cb2d2104ceea8ffa5a03d19d214.r2.dev/_update.html,Source URL
2024-07-06,Other,text,Microsoft,Target of the attack
2024-07-06,Network activity,hostname,pub-3f2a693b47c5443abaf3cfd354fcdc14.r2.dev,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,https://pub-3f2a693b47c5443abaf3cfd354fcdc14.r2.dev/emailconfirmation.html,Source URL
2024-07-06,Other,text,Microsoft,Target of the attack
2024-07-06,Network activity,hostname,pub-3a990174a61a4a9d958ead87ab445bf3.r2.dev,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,https://pub-3a990174a61a4a9d958ead87ab445bf3.r2.dev/wmail.html,Source URL
2024-07-06,Other,text,Microsoft,Target of the attack
2024-07-06,Network activity,hostname,pub-9b61a65d85e54d68ba708193426a7af4.r2.dev,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,https://pub-9b61a65d85e54d68ba708193426a7af4.r2.dev/verify.html,Source URL
2024-07-06,Other,text,Microsoft,Target of the attack
2024-07-06,Network activity,hostname,pub-ccab1e1c90754b44a899b93b24a61322.r2.dev,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,https://pub-ccab1e1c90754b44a899b93b24a61322.r2.dev/pp.html,Source URL
2024-07-06,Other,text,Microsoft,Target of the attack
2024-07-06,Network activity,hostname,pub-2181880fed354825aabfd62eb79d0daf.r2.dev,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,https://pub-2181880fed354825aabfd62eb79d0daf.r2.dev/do.html,Source URL
2024-07-06,Other,text,Microsoft,Target of the attack
2024-07-06,Network activity,hostname,pub-42f18409450241ad96b799ac0cf167c8.r2.dev,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,https://pub-42f18409450241ad96b799ac0cf167c8.r2.dev/werey.html,Source URL
2024-07-06,Other,text,Microsoft,Target of the attack
2024-07-06,Network activity,hostname,pub-8d84562919e54131a7c066684c45ffb8.r2.dev,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,https://pub-8d84562919e54131a7c066684c45ffb8.r2.dev/sent.html,Source URL
2024-07-06,Other,text,Microsoft,Target of the attack
2024-07-06,Network activity,hostname,telegrvam.org,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,https://telegrvam.org/,Source URL
2024-07-06,Other,text,Telegram,Target of the attack
2024-07-06,Network activity,hostname,telegralm.org,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,https://telegralm.org/,Source URL
2024-07-06,Other,text,Telegram,Target of the attack
2024-07-06,Network activity,hostname,pub-839300a9c6054ed7b1c425122a9dd984.r2.dev,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,https://pub-839300a9c6054ed7b1c425122a9dd984.r2.dev/doc.html,Source URL
2024-07-06,Other,text,Microsoft,Target of the attack
2024-07-06,Network activity,hostname,newtelegramforsexturr.pages.dev,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,http://newtelegramforsexturr.pages.dev/,Source URL
2024-07-06,Other,text,Telegram,Target of the attack
2024-07-06,Network activity,hostname,tw-dj0.pages.dev,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,https://tw-dj0.pages.dev/,Source URL
2024-07-06,Other,text,Telegram,Target of the attack
2024-07-06,Network activity,hostname,telegrax.org,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,https://telegrax.org/,Source URL
2024-07-06,Other,text,Telegram,Target of the attack
2024-07-06,Network activity,hostname,tgtgtg.pages.dev,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,https://tgtgtg.pages.dev/,Source URL
2024-07-06,Other,text,Telegram,Target of the attack
2024-07-06,Network activity,hostname,nbgfdewrtyyuiopklnbvcdghgjhnmbvfd.pages.dev,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,http://nbgfdewrtyyuiopklnbvcdghgjhnmbvfd.pages.dev,Source URL
2024-07-06,Other,text,Generic Email,Target of the attack
2024-07-06,Network activity,hostname,iuihjbfewrttuyiuipjkbvcxsazaqwertyuijknmbvdf.pages.dev,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,http://iuihjbfewrttuyiuipjkbvcxsazaqwertyuijknmbvdf.pages.dev,Source URL
2024-07-06,Other,text,Generic Email,Target of the attack
2024-07-06,Network activity,hostname,mail.odf.bzx.mybluehost.me,Host name or IP address of the phishing attack
2024-07-06,Network activity,url,https://mail.odf.bzx.mybluehost.me/cs0/,Source URL
