+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Daily Phishing list urlabuse.com - 2024-07-14
| UUID: 77c8853b-a99c-4d9b-8220-eacd6a1fa22d
| Date: 2024-07-17
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-07-17,Network activity,hostname,whatsappplinkszc.pages.dev,Host name or IP address of the phishing attack
2024-07-17,Network activity,url,http://whatsappplinkszc.pages.dev,Source URL
2024-07-17,Other,text,Whatsapp,Target of the attack
2024-07-17,Network activity,hostname,telesexgroup.pages.dev,Host name or IP address of the phishing attack
2024-07-17,Network activity,url,http://telesexgroup.pages.dev,Source URL
2024-07-17,Other,text,Telegram,Target of the attack
2024-07-17,Network activity,hostname,sextelegramxxx.pages.dev,Host name or IP address of the phishing attack
2024-07-17,Network activity,url,http://sextelegramxxx.pages.dev,Source URL
2024-07-17,Other,text,Telegram,Target of the attack
2024-07-17,Network activity,hostname,nbgfdewrtyyuiopklnbvcdghgjhnmbvfd.pages.dev,Host name or IP address of the phishing attack
2024-07-17,Network activity,url,http://nbgfdewrtyyuiopklnbvcdghgjhnmbvfd.pages.dev,Source URL
2024-07-17,Other,text,Generic Email,Target of the attack
2024-07-17,Network activity,hostname,telegrafm.com,Host name or IP address of the phishing attack
2024-07-17,Network activity,url,http://telegrafm.com,Source URL
2024-07-17,Other,text,Telegram,Target of the attack
2024-07-17,Network activity,hostname,telegramppm.com,Host name or IP address of the phishing attack
2024-07-17,Network activity,url,http://telegramppm.com,Source URL
2024-07-17,Other,text,Telegram,Target of the attack
2024-07-17,Network activity,hostname,t0kodp2cket.top,Host name or IP address of the phishing attack
2024-07-17,Network activity,url,http://t0kodp2cket.top,Source URL
2024-07-17,Other,text,Token Pocket,Target of the attack
2024-07-17,Network activity,hostname,t0koep2cket.top,Host name or IP address of the phishing attack
2024-07-17,Network activity,url,http://t0koep2cket.top,Source URL
2024-07-17,Other,text,Token Pocket,Target of the attack
2024-07-17,Network activity,hostname,t0koip2cket.top,Host name or IP address of the phishing attack
2024-07-17,Network activity,url,http://t0koip2cket.top,Source URL
