+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Daily Phishing list urlabuse.com - 2024-07-31
| UUID: 83ecdaa4-1434-4cd0-ac35-3cbf1bf2c253
| Date: 2024-07-31
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-07-31,Network activity,hostname,telegram.lgbt,Host name or IP address of the phishing attack
2024-07-31,Network activity,url,https://telegram.lgbt/,Source URL
2024-07-31,Other,text,Telegram,Target of the attack
2024-07-31,Network activity,hostname,teiergamo.top,Host name or IP address of the phishing attack
2024-07-31,Network activity,url,https://teiergamo.top/,Source URL
2024-07-31,Other,text,Telegram,Target of the attack
2024-07-31,Network activity,hostname,004-n4s.pages.dev,Host name or IP address of the phishing attack
2024-07-31,Network activity,url,http://004-n4s.pages.dev,Source URL
2024-07-31,Other,text,Generic Email,Target of the attack
2024-07-31,Network activity,hostname,shopiabeauty.pages.dev,Host name or IP address of the phishing attack
2024-07-31,Network activity,url,http://shopiabeauty.pages.dev,Source URL
2024-07-31,Other,text,Whatsapp,Target of the attack
2024-07-31,Network activity,hostname,ivt-qs5ft1s8mvcgfn.ashvisiom.com,Host name or IP address of the phishing attack
2024-07-31,Network activity,url,https://ivt-qs5ft1s8mvcgfn.ashvisiom.com/pdrgohdue2ia75pka16p/6l86yoi0f1n86mB0xZ2VuLzk3NTQyMDExMi8xNzcwNjYxOTA2L2F4aGF1c2VuLzYyMDAwODU0My9pdnQuYmF1Zy5ldGh6LmNoL01UazFNRFl5TWpZNE5RPT0=,Source URL
2024-07-31,Other,text,Microsoft,Target of the attack
2024-07-31,Network activity,hostname,dropbox.com,Host name or IP address of the phishing attack
2024-07-31,Network activity,url,https://www.dropbox.com/scl/fi/dg7lyq99xkwrdmr5j68oy/M.paper?rlkey=ca0ousbct5srb1szbpgwh3fhy,Source URL
2024-07-31,Other,text,BT,Target of the attack
2024-07-31,Network activity,hostname,pqx.yhy.mybluehost.me,Host name or IP address of the phishing attack
2024-07-31,Network activity,url,https://pqx.yhy.mybluehost.me/1cb3a6b869b3266836c4b1860fce3d38,Source URL
2024-07-31,Other,text,Bluewin,Target of the attack
2024-07-31,Network activity,hostname,motel72421.wixsite.com,Host name or IP address of the phishing attack
2024-07-31,Network activity,url,https://motel72421.wixsite.com/btco,Source URL
2024-07-31,Other,text,BT,Target of the attack
2024-07-31,Network activity,hostname,crimson-mode-0c42.yellowprivate.workers.dev,Host name or IP address of the phishing attack
2024-07-31,Network activity,url,https://crimson-mode-0c42.yellowprivate.workers.dev/1992502101/48001712/1459192180gB0xZ2VuLzk3NTQyMDExMi8xNzcwNjYxOTA2L2F4aGF1c2VuLzYyMDAwODU0My9pdnQuYmF1Zy5ldGh6LmNoL01UazFNRFl5TWpZNE5RPT0=,Source URL
2024-07-31,Other,text,ETH Zürich,Target of the attack
2024-07-31,Network activity,hostname,swisstw.com,Host name or IP address of the phishing attack
2024-07-31,Network activity,url,https://swisstw.com/de/receive/79469380,Source URL
2024-07-31,Other,text,TWINT,Target of the attack
2024-07-31,Network activity,hostname,ivt-oddb3qi4xlpyjj.ashvisiom.com,Host name or IP address of the phishing attack
2024-07-31,Network activity,url,https://ivt-oddb3qi4xlpyjj.ashvisiom.com/odird58gd26y1mt3q6ll/gmwpl90ge9sdxmB0xZ2VuLzk3NTQyMDExMi8xNzcwNjYxOTA2L2F4aGF1c2VuLzYyMDAwODU0My9pdnQuYmF1Zy5ldGh6LmNoL01UazFNRFl5TWpZNE5RPT0=,Source URL
2024-07-31,Other,text,ETH Zürich,Target of the attack
2024-07-31,Network activity,hostname,swisstw.com,Host name or IP address of the phishing attack
2024-07-31,Network activity,url,https://swisstw.com/,Source URL
2024-07-31,Other,text,TWINT,Target of the attack
2024-07-31,Network activity,hostname,setsuokato32688.activehosted.com,Host name or IP address of the phishing attack
2024-07-31,Network activity,url,https://setsuokato32688.activehosted.com/f/1,Source URL
2024-07-31,Other,text,BT,Target of the attack
2024-07-31,Network activity,hostname,connect2drop.pages.dev,Host name or IP address of the phishing attack
2024-07-31,Network activity,url,http://connect2drop.pages.dev,Source URL
2024-07-31,Other,text,Crypto,Target of the attack
2024-07-31,Network activity,hostname,btcomms.wixsite.com,Host name or IP address of the phishing attack
2024-07-31,Network activity,url,https://btcomms.wixsite.com/my-site-1,Source URL
2024-07-31,Other,text,BT,Target of the attack
2024-07-31,Network activity,hostname,dropbox.com,Host name or IP address of the phishing attack
2024-07-31,Network activity,url,https://www.dropbox.com/scl/fi/s8y7a8r0y8mug8ybfsqeu/British-Telecom.paper?rlkey=ho00ho3vg6lz3s20f5b6gdsn5,Source URL
2024-07-31,Other,text,BT,Target of the attack
2024-07-31,Network activity,hostname,ffsfdts.weebly.com,Host name or IP address of the phishing attack
2024-07-31,Network activity,url,https://ffsfdts.weebly.com,Source URL
2024-07-31,Other,text,BT,Target of the attack
2024-07-31,Network activity,hostname,dropbox.com,Host name or IP address of the phishing attack
2024-07-31,Network activity,url,https://www.dropbox.com/scl/fi/av83rq75mbe8otu24zb2v/BT-VO.paper?rlkey=04ht6wdsgfrk689t9slejgm42,Source URL
2024-07-31,Other,text,BT,Target of the attack
2024-07-31,Network activity,hostname,cfe.ihh.mybluehost.me,Host name or IP address of the phishing attack
2024-07-31,Network activity,url,https://cfe.ihh.mybluehost.me/ubs/ubs/login.php,Source URL
2024-07-31,Other,text,UBS,Target of the attack
2024-07-31,Network activity,hostname,latambingo.fun,Host name or IP address of the phishing attack
2024-07-31,Network activity,url,https://latambingo.fun/,Source URL
