+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: OSINT - RDGAs: The Next Chapter in Domain Generation Algorithms
| UUID: 636cabbd-4bde-4fb2-bc6b-6b2c05fafcd5
| Date: 2024-07-24
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-07-24,Network activity,domain,6rnd9mitqt1rz82.top,SocGholish/TA569 affiliate traditional DGA domains
2024-07-24,Network activity,domain,7r7suw52ls00i20.top,SocGholish/TA569 affiliate traditional DGA domains
2024-07-24,Network activity,domain,9w9ohb5vky5p3dz.top,SocGholish/TA569 affiliate traditional DGA domains
2024-07-24,Network activity,domain,bjbntaxmh09r09e.top,SocGholish/TA569 affiliate traditional DGA domains
2024-07-24,Network activity,domain,qcj4pirltkpqrcu.top,SocGholish/TA569 affiliate traditional DGA domains
2024-07-24,Network activity,domain,h87e1mbm0u5f85.xyz,Weight loss pill scam RDGA domains
2024-07-24,Network activity,domain,n8j1nau3os4otr.xyz,Weight loss pill scam RDGA domains
2024-07-24,Network activity,domain,xnnxr1jquyupjc.xyz,Weight loss pill scam RDGA domains
2024-07-24,Network activity,domain,xqajkr8fbrdryp0.xyz,Weight loss pill scam RDGA domains
2024-07-24,Network activity,domain,xryqcgcb2upb28k.xyz,Weight loss pill scam RDGA domains
2024-07-24,Network activity,domain,arriveplanetsnow.buzz,VexTrio Viper RDGA domains
2024-07-24,Network activity,domain,coatthinkverb.buzz,VexTrio Viper RDGA domains
2024-07-24,Network activity,domain,debtgenepub.live,VexTrio Viper RDGA domains
2024-07-24,Network activity,domain,poemtrainsurprise.top,VexTrio Viper RDGA domains
