+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Remcos host indicators [2024-07-01]
| UUID: a56a2361-21fa-441f-b69b-49170ec15116
| Date: 2024-07-01
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-07-01,Payload installation,filename,UHUH45EDRFQ.exe,Source: MalwareBazaar
2024-07-01,Payload installation,md5,be85e3d9a67b0170a11edb287f01aa6f,Source: MalwareBazaar
2024-07-01,Payload installation,sha1,8111cff9ec9d729f477dc77299fcbb63ec74553a,Source: MalwareBazaar
2024-07-01,Payload installation,sha256,8c3c62aafa4ff3a976150dce366c39675fdeceb96362d9071acfd37959770d66,Source: MalwareBazaar
2024-07-01,Payload installation,filename,SecuriteInfo.com.Exploit.ShellCode.69.26008.28945,Source: MalwareBazaar
2024-07-01,Payload installation,md5,82bb2c75e40c4beb166cfa0c3d7fc0bc,Source: MalwareBazaar
2024-07-01,Payload installation,sha1,c557bc291b9e0dc1527d2329ac80b82f07d0a1d8,Source: MalwareBazaar
2024-07-01,Payload installation,sha256,a91b004373440d264723542622fe8f7f60e42acdee93d8535e01f7a9df1cccf7,Source: MalwareBazaar
2024-07-01,Payload installation,filename,INQUIRY#809676-JULY1.xla,Source: MalwareBazaar
2024-07-01,Payload installation,md5,2e031d091acee967e8ae9fdb9bbb83fe,Source: MalwareBazaar
2024-07-01,Payload installation,sha1,31e029605ada12ea168d4f5da2966a4db6958e3d,Source: MalwareBazaar
2024-07-01,Payload installation,sha256,fbca7bc0eeb96c760cb962baf39b6bbf9c277f9377c668fb2136df06b267f74f,Source: MalwareBazaar
2024-07-01,Payload installation,filename,Quotation.xls,Source: MalwareBazaar
2024-07-01,Payload installation,md5,5301c763e48f3d3b3fbbc6d735056571,Source: MalwareBazaar
2024-07-01,Payload installation,sha1,bc2e61ea94f57127aa3114389a1f205f9c0e27f6,Source: MalwareBazaar
2024-07-01,Payload installation,sha256,abb00aa4a12711492eae76fdc37300d4f46d168a9dbbef952994c63dfad1cb84,Source: MalwareBazaar
2024-07-01,Payload installation,filename,a273d142217177ab8013d6ebeafbc22f,Source: MalwareBazaar
2024-07-01,Payload installation,md5,a273d142217177ab8013d6ebeafbc22f,Source: MalwareBazaar
2024-07-01,Payload installation,sha1,05f857128c9bfa1ca9f8a74366d5e890da7354c2,Source: MalwareBazaar
2024-07-01,Payload installation,sha256,3cb485a769f6e92536f586f2873bd6a4d8fb5b106773ac0a16a534ef351c0bf1,Source: MalwareBazaar
2024-07-01,Payload installation,filename,e-Payment.NET.CMS4006975815.exe,Source: MalwareBazaar
2024-07-01,Payload installation,md5,b16699f8fd5e68de16d8904ec7cd3ed2,Source: MalwareBazaar
2024-07-01,Payload installation,sha1,45fac6b1832fad2fef90e1064ab4e78e0b164737,Source: MalwareBazaar
2024-07-01,Payload installation,sha256,d21d0451a7a8b112776118d88154bf7eab2703b13bf6ae1dcaec2f959bf42305,Source: MalwareBazaar
2024-07-01,Payload installation,filename,Certificate_of_registration.exe,Source: MalwareBazaar
2024-07-01,Payload installation,md5,74306ff01db05a602a39c5da423b8d00,Source: MalwareBazaar
2024-07-01,Payload installation,sha1,f9326efd199cc26ebbc48109c3903e9be25f0b0c,Source: MalwareBazaar
2024-07-01,Payload installation,sha256,9fa768cb5a871346c0831394150d09b4697c564536ae523b539aa12a17d015b6,Source: MalwareBazaar
2024-07-01,Payload installation,filename,MT103-7543324334.exe,Source: MalwareBazaar
2024-07-01,Payload installation,md5,6d16dcf1423b30677d2918ae11fe2bc3,Source: MalwareBazaar
2024-07-01,Payload installation,sha1,e1fc54fb00530ab8e07c11b4cc16785858f1917c,Source: MalwareBazaar
2024-07-01,Payload installation,sha256,b6f0586d835acff8c86c02904729023d95b10d879a066a9eeca973deaf582e07,Source: MalwareBazaar
2024-07-01,Payload installation,filename,28f77c9af8cb3ea886714bbfc8326635,Source: MalwareBazaar
2024-07-01,Payload installation,md5,28f77c9af8cb3ea886714bbfc8326635,Source: MalwareBazaar
2024-07-01,Payload installation,sha1,f6f02b22cd5a272c71a5afa66efd3b237fe4f24f,Source: MalwareBazaar
2024-07-01,Payload installation,sha256,f251fe71103ef7bc4cbdbcfe9c1d7c4a595f831e51cf4064f2bfa595f47bda35,Source: MalwareBazaar
2024-07-02,Payload installation,filename,HUED23EDE5UGRFQ.exe,Source: MalwareBazaar
2024-07-02,Payload installation,md5,ea0d00b95a91c801893b5526347170bb,Source: MalwareBazaar
2024-07-02,Payload installation,sha1,26d81494eb3c0fd67a6037dbd68e3bf8c7677d0d,Source: MalwareBazaar
2024-07-02,Payload installation,sha256,6b585caaf4299c406c45a3beb76a8624d159404e1aac48a292976119c6d9b72c,Source: MalwareBazaar
