+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Remcos host indicators [2024-07-04]
| UUID: 6fbc3193-a7e3-41cf-9e17-d2b6b1592b6e
| Date: 2024-07-04
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-07-04,Payload installation,filename,DHL AWB 6533732999.exe,Source: MalwareBazaar
2024-07-04,Payload installation,md5,e5114c7a45a7b3c658c4ae212ac089e5,Source: MalwareBazaar
2024-07-04,Payload installation,sha1,072dd71ea12a57bdef11b663bce746878f4585ec,Source: MalwareBazaar
2024-07-04,Payload installation,sha256,82eddb35f29fcef506f76342077d1bcbe38689680a9efd6d7a58b08479d13f28,Source: MalwareBazaar
2024-07-04,Payload installation,filename,PO#0416_SOLICITUD_DE_PRESUPUES_O_24_cotización_materialesxxx.exe,Source: MalwareBazaar
2024-07-04,Payload installation,md5,742a768aa785a7bb86c1e8f3cd04bc7a,Source: MalwareBazaar
2024-07-04,Payload installation,sha1,84b3fe357e4e5c312e411c654d20d81a65a54dda,Source: MalwareBazaar
2024-07-04,Payload installation,sha256,bb939a5d9535a87231e5a91e1f23121159c7bd6f38013a69d3313dda4a424f41,Source: MalwareBazaar
2024-07-04,Payload installation,filename,PO#0416_SOLICITUD_DE_PRESUPUES_O_24_cotización_materiales.exe,Source: MalwareBazaar
2024-07-04,Payload installation,md5,61bacdb8e8f052c36ae36e8548a13c8a,Source: MalwareBazaar
2024-07-04,Payload installation,sha1,2dc7e29e08c0f0cef40c88046f416290de43797e,Source: MalwareBazaar
2024-07-04,Payload installation,sha256,73a4bbb85f8d199377afd2ea10ef5d4467e22e1dccb23275f176ea564d3e1ef8,Source: MalwareBazaar
2024-07-04,Payload installation,filename,52a37eb90b8f3a1d164717415b58cf9bac1db1caa1f8aa57224089811cf50960,Source: MalwareBazaar
2024-07-04,Payload installation,md5,7b9956e820cfd64a02a13af88b5237af,Source: MalwareBazaar
2024-07-04,Payload installation,sha1,ccb27bc5570fd160601d8009727296a12c579f66,Source: MalwareBazaar
2024-07-04,Payload installation,sha256,52a37eb90b8f3a1d164717415b58cf9bac1db1caa1f8aa57224089811cf50960,Source: MalwareBazaar
2024-07-04,Payload installation,filename,PAYMENT COPY 04.07.24.vbs,Source: MalwareBazaar
2024-07-04,Payload installation,md5,8a6e48d62a29d7ad75089057e6455219,Source: MalwareBazaar
2024-07-04,Payload installation,sha1,69065c935e5de3eef99a5f0baaf127649b25bb0c,Source: MalwareBazaar
2024-07-04,Payload installation,sha256,80cb04179fe16032b99ca054d1bca515bd079f928db6ae002ddfcfb3ebb236f4,Source: MalwareBazaar
2024-07-04,Payload installation,filename,d56ddb9b2cb85e97a55f366aa00f53ffa566a6aa42964e56646cfb58663afd68,Source: MalwareBazaar
2024-07-04,Payload installation,md5,1a047b9b776d41ec61cc91286c27be07,Source: MalwareBazaar
2024-07-04,Payload installation,sha1,42f4eb3e00d258e61cf98a125d025692ac68c88a,Source: MalwareBazaar
2024-07-04,Payload installation,sha256,d56ddb9b2cb85e97a55f366aa00f53ffa566a6aa42964e56646cfb58663afd68,Source: MalwareBazaar
2024-07-04,Payload installation,filename,gst challan.exe,Source: MalwareBazaar
2024-07-04,Payload installation,md5,d049eb14bb63d04cf6801cd34997b7a8,Source: MalwareBazaar
2024-07-04,Payload installation,sha1,039a46792f6f42dbda16a7f573ae76b2112927ee,Source: MalwareBazaar
2024-07-04,Payload installation,sha256,86329825eaf86f08f84bfc3ddd8870b5c05f47a43aba3695eea5ca4c7a0ee00b,Source: MalwareBazaar
2024-07-04,Payload installation,filename,6.exe,Source: MalwareBazaar
2024-07-04,Payload installation,md5,b294eaca8fd0644ad05b2d8c760baf8d,Source: MalwareBazaar
2024-07-04,Payload installation,sha1,9275529b6e9c5113d3c553bcd4a7340dbad55cd6,Source: MalwareBazaar
2024-07-04,Payload installation,sha256,23d23d9bfe66cfcca000342ec36c54f6bbc138a5a50fc1a4f9de28dcf7be72bb,Source: MalwareBazaar
2024-07-05,Payload installation,filename,Aviso de Pago __Banco Republica.pdf.bat,Source: MalwareBazaar
2024-07-05,Payload installation,md5,03050b045ede2662762eb5bb18c49de1,Source: MalwareBazaar
2024-07-05,Payload installation,sha1,0977116e6f19ad2be66ce125f56f9354426ed6c8,Source: MalwareBazaar
2024-07-05,Payload installation,sha256,6eedc70dbeeb29b5f978d19bde0a32b02c54b9c9699c6a3a97e6f20de816c86d,Source: MalwareBazaar
