+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2024-07-07
| UUID: 1178050e-e2f1-4fb8-af11-0d280b3e149e
| Date: 2024-07-07
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-07-07,Network activity,domain,dollarman101.hopto.org,STRRAT botnet C2 domain (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,129.205.113.180|6060,STRRAT botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,domain,paul.sportlearningcenters.info,BianLian botnet C2 domain (confidence level: 50%)
2024-07-07,Network activity,domain,136.169.29.34.bc.googleusercontent.com,BianLian botnet C2 domain (confidence level: 50%)
2024-07-07,Payload delivery,url,https://www.holzkontor.de/get.php,GootLoader payload delivery URL (confidence level: 100%)
2024-07-07,Payload delivery,url,https://love-odyssey.com/pypi-update.exe,Unknown malware payload delivery URL (confidence level: 100%)
2024-07-07,Payload delivery,url,https://eduardalinn.lol/api/,Unknown malware payload delivery URL (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,203.161.43.195|444,BianLian botnet C2 server (confidence level: 50%)
2024-07-07,Network activity,domain,encrypt.astachk0809.xyz,BianLian botnet C2 domain (confidence level: 50%)
2024-07-07,Network activity,domain,astachk0809.xyz,BianLian botnet C2 domain (confidence level: 50%)
2024-07-07,Network activity,domain,eduardalinn.lol,Unknown malware botnet C2 domain (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,144.172.76.78|443,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,47.238.194.61|65503,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,8.217.13.16|65503,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,154.212.146.175|65503,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,47.238.183.60|65503,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,47.238.38.102|65503,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,154.212.146.156|65503,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,8.217.215.116|65503,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,47.76.98.21|65503,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,103.244.226.252|65503,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,47.242.122.228|65503,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,185.121.169.214|65503,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,192.197.113.223|65503,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,103.244.226.241|65503,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,47.243.187.196|65503,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,8.218.129.126|65503,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,47.243.233.199|65503,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,8.218.235.124|65503,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,47.76.105.152|65503,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,51.89.253.9|7878,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,157.20.182.172|3232,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,91.92.255.91|3232,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,94.156.79.231|2011,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,154.205.147.125|60000,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,156.251.137.156|8888,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,47.238.143.105|8443,DCRat botnet C2 server (confidence level: 50%)
2024-07-07,Network activity,ip-dst|port,165.154.224.19|4449,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,117.18.12.93|8880,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,39.99.206.34|8880,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,20.205.58.253|8880,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,107.149.163.118|8080,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,106.54.204.119|5050,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,101.43.47.165|4449,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,123.60.58.162|90,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,157.20.182.100|4449,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,157.20.182.101|4449,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,47.148.68.129|8197,DCRat botnet C2 server (confidence level: 100%)
2024-07-07,Network activity,ip-dst|port,24.144.93.178|443,Sliver botnet C2 server (confidence level: 75%)
2024-07-07,Network activity,ip-dst|port,43.138.184.91|443,Sliver botnet C2 server (confidence level: 75%)
2024-07-07,Network activity,ip-dst|port,34.142.201.103|443,Sliver botnet C2 server (confidence level: 75%)
2024-07-07,Network activity,ip-dst|port,104.248.28.235|8443,Sliver botnet C2 server (confidence level: 75%)
2024-07-07,Network activity,ip-dst|port,68.221.169.30|443,Sliver botnet C2 server (confidence level: 75%)
2024-07-07,Network activity,ip-dst|port,193.3.19.136|443,Sliver botnet C2 server (confidence level: 75%)
2024-07-07,Network activity,ip-dst|port,34.242.163.197|443,Sliver botnet C2 server (confidence level: 75%)
2024-07-07,Network activity,ip-dst|port,194.87.206.105|443,Sliver botnet C2 server (confidence level: 75%)
2024-07-07,Network activity,ip-dst|port,141.148.237.143|443,Sliver botnet C2 server (confidence level: 75%)
