+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: URLhaus IOCs for 2024-07-15
| UUID: 69a332ee-6f73-413e-84e6-81cfdbff4fab
| Date: 2024-07-15
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-07-15,Payload delivery,url,http://59.97.121.108:58139/i,Malware distribution site
2024-07-15,Payload delivery,url,http://27.215.181.18:34132/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://117.248.163.192:51305/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://61.1.50.12:47980/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://117.235.227.63:45166/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://117.213.91.24:51589/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://175.148.153.229:33710/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://59.88.237.131:42023/Mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://59.93.28.131:52952/Mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://45.229.174.135:37508/i,Malware distribution site
2024-07-15,Payload delivery,url,http://59.99.133.224:56178/Mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://117.219.52.196:40608/Mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://112.248.83.24:55699/Mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://103.186.40.12:49536/Mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://59.88.151.34:43066/Mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://125.41.211.118:60782/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://59.97.119.144:57370/Mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://59.89.201.40:39865/i,Malware distribution site
2024-07-15,Payload delivery,url,http://182.121.131.120:41997/Mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://59.89.4.230:37271/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://117.235.101.184:33218/Mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://219.155.118.220:45777/Mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://117.251.189.234:48889/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://196.189.35.8:50664/i,Malware distribution site
2024-07-15,Payload delivery,url,http://182.121.183.116:33370/i,Malware distribution site
2024-07-15,Payload delivery,url,http://61.3.187.231:53911/i,Malware distribution site
2024-07-15,Payload delivery,url,http://42.238.173.232:34119/i,Malware distribution site
2024-07-15,Payload delivery,url,http://117.245.34.74:51869/Mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://119.189.213.36:59628/Mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://223.10.25.162:37043/Mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://117.235.227.63:45166/i,Malware distribution site
2024-07-15,Payload delivery,url,http://61.3.18.43:37872/i,Malware distribution site
2024-07-15,Payload delivery,url,http://60.22.176.85:41964/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://61.1.50.12:47980/i,Malware distribution site
2024-07-15,Payload delivery,url,http://59.97.117.122:44276/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://123.10.212.122:35226/mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://117.248.163.192:51305/i,Malware distribution site
2024-07-15,Payload delivery,url,http://117.213.87.221:36258/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://175.148.153.229:33710/i,Malware distribution site
2024-07-15,Payload delivery,url,http://27.215.181.18:34132/i,Malware distribution site
2024-07-15,Payload delivery,url,http://115.50.70.183:56546/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://117.248.171.44:54788/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://117.255.104.67:45566/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://117.219.93.52:35523/i,Malware distribution site
2024-07-15,Payload delivery,url,http://125.41.211.118:60782/i,Malware distribution site
2024-07-15,Payload delivery,url,http://182.116.85.76:38278/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://117.251.189.234:48889/i,Malware distribution site
2024-07-15,Payload delivery,url,http://221.202.233.30:40371/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://59.89.4.230:37271/i,Malware distribution site
2024-07-15,Payload delivery,url,http://182.126.127.20:35573/i,Malware distribution site
2024-07-15,Payload delivery,url,http://2.180.202.155:43148/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://59.97.121.52:60683/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://42.230.219.131:45710/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://59.93.182.125:59089/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://59.97.117.122:44276/i,Malware distribution site
2024-07-15,Payload delivery,url,http://59.183.102.125:59685/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://115.48.151.172:33328/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://59.88.6.40:60689/Mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://117.214.9.91:38260/Mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://60.22.176.85:41964/i,Malware distribution site
2024-07-15,Payload delivery,url,http://117.212.176.107:50729/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://59.184.55.181:48200/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://115.50.70.183:56546/i,Malware distribution site
2024-07-15,Payload delivery,url,http://117.248.171.44:54788/i,Malware distribution site
2024-07-15,Payload delivery,url,http://175.107.0.105:43125/mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://59.93.93.147:47988/i,Malware distribution site
2024-07-15,Payload delivery,url,http://221.202.233.30:40371/i,Malware distribution site
2024-07-15,Payload delivery,url,http://59.99.199.143:42125/i,Malware distribution site
2024-07-15,Payload delivery,url,http://117.248.168.143:38740/Mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://125.44.29.3:34603/Mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://2.180.202.155:43148/i,Malware distribution site
2024-07-15,Payload delivery,url,http://59.183.99.60:55201/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://117.194.169.150:39667/i,Malware distribution site
2024-07-15,Payload delivery,url,http://119.179.209.127:42507/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://219.155.194.89:42796/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://59.93.182.125:59089/i,Malware distribution site
2024-07-15,Payload delivery,url,http://190.218.9.78:37071/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://115.55.234.104:33579/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://61.52.199.83:35346/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://59.183.102.125:59685/i,Malware distribution site
2024-07-15,Payload delivery,url,http://59.99.218.1:44146/i,Malware distribution site
2024-07-15,Payload delivery,url,http://117.212.176.107:50729/i,Malware distribution site
2024-07-15,Payload delivery,url,http://42.225.204.72:38450/i,Malware distribution site
2024-07-15,Payload delivery,url,http://182.122.231.250:40294/Mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://117.242.203.112:33838/Mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://24.89.251.86:45427/Mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://117.208.23.175:51320/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://222.142.250.149:37618/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://117.248.162.0:49782/i,Malware distribution site
2024-07-15,Payload delivery,url,http://61.3.107.36:52363/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://117.219.45.94:38120/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://117.248.174.65:58695/i,Malware distribution site
2024-07-15,Payload delivery,url,http://61.3.82.184:45451/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://115.48.151.172:33328/i,Malware distribution site
2024-07-15,Payload delivery,url,http://59.99.221.27:50639/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://221.15.76.126:48253/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://222.137.123.10:40858/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://222.142.250.149:37618/i,Malware distribution site
2024-07-15,Payload delivery,url,http://117.194.170.148:49021/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://59.183.99.60:55201/i,Malware distribution site
2024-07-15,Payload delivery,url,http://117.245.13.249:36880/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://59.91.172.58:57497/i,Malware distribution site
2024-07-15,Payload delivery,url,http://117.194.221.163:49546/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://59.89.194.225:52106/i,Malware distribution site
2024-07-15,Payload delivery,url,http://117.219.42.105:55797/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://219.155.194.89:42796/i,Malware distribution site
2024-07-15,Payload delivery,url,http://190.218.9.78:37071/i,Malware distribution site
2024-07-15,Payload delivery,url,http://117.248.172.15:48288/i,Malware distribution site
2024-07-15,Payload delivery,url,http://117.208.23.175:51320/i,Malware distribution site
2024-07-15,Payload delivery,url,http://218.60.179.244:51268/i,Malware distribution site
2024-07-15,Payload delivery,url,http://117.248.164.204:55408/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://182.124.115.250:48270/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://117.248.162.156:44359/Mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://117.212.217.154:33900/Mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://61.3.82.184:45451/i,Malware distribution site
2024-07-15,Payload delivery,url,http://115.55.234.104:33579/i,Malware distribution site
2024-07-15,Payload delivery,url,http://125.44.37.231:50541/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://117.217.43.252:53563/i,Malware distribution site
2024-07-15,Payload delivery,url,http://59.182.222.201:39374/Mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://117.219.45.94:38120/i,Malware distribution site
2024-07-15,Payload delivery,url,http://61.3.107.36:52363/i,Malware distribution site
2024-07-15,Payload delivery,url,http://59.89.10.108:35830/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://59.182.239.180:47565/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://103.227.68.106:40137/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://117.194.221.163:49546/i,Malware distribution site
2024-07-15,Payload delivery,url,http://59.99.221.27:50639/i,Malware distribution site
2024-07-15,Payload delivery,url,http://117.253.54.196:40677/i,Malware distribution site
2024-07-15,Payload delivery,url,http://117.203.117.56:57053/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://117.194.215.204:39347/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://221.15.76.126:48253/i,Malware distribution site
2024-07-15,Payload delivery,url,http://112.226.226.242:37901/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://117.245.13.249:36880/i,Malware distribution site
2024-07-15,Payload delivery,url,http://117.253.101.194:38281/Mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://117.215.221.136:42312/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://123.4.68.50:39702/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://59.99.217.133:34251/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://27.215.55.119:46338/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://117.217.45.190:33261/i,Malware distribution site
2024-07-15,Payload delivery,url,http://125.43.38.68:40886/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://117.248.164.204:55408/i,Malware distribution site
2024-07-15,Payload delivery,url,http://60.254.97.168:48929/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://120.57.168.18:39345/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://117.211.231.234:58499/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://59.93.185.158:51041/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://182.124.115.250:48270/i,Malware distribution site
2024-07-15,Payload delivery,url,http://103.227.68.106:40137/i,Malware distribution site
2024-07-15,Payload delivery,url,http://61.163.11.244:41483/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://59.182.215.108:36543/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://59.96.250.108:35195/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://117.220.149.18:52513/mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://117.217.38.202:53794/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://117.199.74.22:33226/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://117.248.161.42:45366/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://42.234.148.72:47280/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://117.208.222.63:53197/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://117.194.215.204:39347/i,Malware distribution site
2024-07-15,Payload delivery,url,http://117.194.214.210:38635/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://42.224.252.223:42365/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://42.224.127.141:57626/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://117.215.209.180:49605/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://222.140.186.220:51293/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://113.237.110.172:45056/Mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://59.96.246.128:33776/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://182.57.203.27:51856/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://123.4.68.50:39702/i,Malware distribution site
2024-07-15,Payload delivery,url,http://125.43.38.68:40886/i,Malware distribution site
2024-07-15,Payload delivery,url,http://117.215.221.136:42312/i,Malware distribution site
2024-07-15,Payload delivery,url,http://117.255.109.240:45288/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://42.231.95.180:60068/i,Malware distribution site
2024-07-15,Payload delivery,url,http://117.219.93.41:51085/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://59.95.82.78:57892/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://60.254.97.168:48929/i,Malware distribution site
2024-07-15,Payload delivery,url,http://59.96.250.108:35195/i,Malware distribution site
2024-07-15,Payload delivery,url,http://59.92.179.94:36845/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://42.234.151.244:39446/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://120.57.168.18:39345/i,Malware distribution site
2024-07-15,Payload delivery,url,http://61.3.144.209:54932/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://106.41.140.235:43537/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://59.93.181.147:33103/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://112.248.191.81:53366/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://61.163.11.244:41483/i,Malware distribution site
2024-07-15,Payload delivery,url,http://59.92.179.94:36845/i,Malware distribution site
2024-07-15,Payload delivery,url,http://59.93.185.158:51041/i,Malware distribution site
2024-07-15,Payload delivery,url,http://182.117.29.28:45327/Mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://42.230.43.226:39559/Mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://117.220.148.130:48287/Mozi.m,Malware distribution site
2024-07-15,Payload delivery,url,http://117.209.15.85:47618/i,Malware distribution site
2024-07-15,Payload delivery,url,http://59.182.215.108:36543/i,Malware distribution site
2024-07-15,Payload delivery,url,http://117.217.38.202:53794/i,Malware distribution site
2024-07-15,Payload delivery,url,http://42.234.148.72:47280/i,Malware distribution site
2024-07-15,Payload delivery,url,http://117.253.7.40:53874/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://221.15.146.255:52574/bin.sh,Malware distribution site
2024-07-15,Payload delivery,url,http://117.199.74.22:33226/i,Malware distribution site
