+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: URLhaus IOCs for 2024-07-24
| UUID: af2b3895-1f71-449d-8d58-d66fd985d9cd
| Date: 2024-07-24
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-07-24,Payload delivery,url,http://123.7.245.4:37301/i,Malware distribution site
2024-07-24,Payload delivery,url,http://182.117.119.47:49464/bin.sh,Malware distribution site
2024-07-24,Payload delivery,url,http://117.248.22.75:45834/i,Malware distribution site
2024-07-24,Payload delivery,url,http://117.254.103.157:45044/bin.sh,Malware distribution site
2024-07-24,Payload delivery,url,http://115.63.181.162:57552/Mozi.m,Malware distribution site
2024-07-24,Payload delivery,url,http://59.97.125.66:45403/bin.sh,Malware distribution site
2024-07-24,Payload delivery,url,http://115.63.55.41:37677/Mozi.m,Malware distribution site
2024-07-24,Payload delivery,url,http://61.53.121.235:43554/Mozi.m,Malware distribution site
2024-07-24,Payload delivery,url,http://123.4.186.111:55525/bin.sh,Malware distribution site
2024-07-24,Payload delivery,url,http://42.239.112.212:47949/i,Malware distribution site
2024-07-24,Payload delivery,url,http://117.253.216.131:47195/bin.sh,Malware distribution site
2024-07-24,Payload delivery,url,http://117.207.21.128:49875/bin.sh,Malware distribution site
2024-07-24,Payload delivery,url,http://59.89.201.120:36356/i,Malware distribution site
2024-07-24,Payload delivery,url,http://117.194.209.60:46972/bin.sh,Malware distribution site
2024-07-24,Payload delivery,url,http://117.194.214.63:56416/i,Malware distribution site
2024-07-24,Payload delivery,url,http://39.90.134.19:38920/i,Malware distribution site
2024-07-24,Payload delivery,url,http://61.157.50.196:39641/bin.sh,Malware distribution site
2024-07-24,Payload delivery,url,http://117.219.168.147:42503/i,Malware distribution site
2024-07-24,Payload delivery,url,http://115.49.217.17:49134/bin.sh,Malware distribution site
2024-07-24,Payload delivery,url,http://213.120.230.115:35450/bin.sh,Malware distribution site
2024-07-24,Payload delivery,url,http://182.119.251.132:50638/Mozi.m,Malware distribution site
2024-07-24,Payload delivery,url,http://175.147.202.93:52135/bin.sh,Malware distribution site
2024-07-24,Payload delivery,url,http://117.208.231.32:43753/bin.sh,Malware distribution site
2024-07-24,Payload delivery,url,http://59.89.234.67:60474/Mozi.m,Malware distribution site
2024-07-24,Payload delivery,url,http://117.241.52.239:48758/bin.sh,Malware distribution site
2024-07-24,Payload delivery,url,http://120.211.137.177:50193/bin.sh,Malware distribution site
2024-07-24,Payload delivery,url,http://117.214.12.41:46859/bin.sh,Malware distribution site
2024-07-24,Payload delivery,url,http://117.220.144.192:51444/bin.sh,Malware distribution site
2024-07-24,Payload delivery,url,http://59.97.114.115:44014/i,Malware distribution site
2024-07-24,Payload delivery,url,http://117.222.195.184:52583/bin.sh,Malware distribution site
2024-07-24,Payload delivery,url,http://117.248.168.103:37323/i,Malware distribution site
2024-07-24,Payload delivery,url,http://117.205.60.223:39250/bin.sh,Malware distribution site
2024-07-24,Payload delivery,url,http://223.68.142.178:42263/i,Malware distribution site
2024-07-24,Payload delivery,url,http://182.117.119.47:49464/i,Malware distribution site
2024-07-24,Payload delivery,url,http://117.254.103.157:45044/i,Malware distribution site
2024-07-24,Payload delivery,url,http://59.95.89.213:57332/Mozi.m,Malware distribution site
