+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: URLhaus IOCs for 2024-10-15
| UUID: 09426ffe-1bf8-4e03-8538-7ef1f88b8b59
| Date: 2024-10-15
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-10-15,Payload delivery,url,http://117.235.120.38:46333/i,Malware distribution site
2024-10-15,Payload delivery,url,http://117.209.93.94:50736/bin.sh,Malware distribution site
2024-10-15,Payload delivery,url,http://115.48.153.240:41143/bin.sh,Malware distribution site
2024-10-15,Payload delivery,url,http://61.1.55.214:57965/Mozi.m,Malware distribution site
2024-10-15,Payload delivery,url,http://115.50.231.7:46434/i,Malware distribution site
2024-10-15,Payload delivery,url,http://221.14.53.67:41053/i,Malware distribution site
2024-10-15,Payload delivery,url,http://182.126.96.45:37566/Mozi.m,Malware distribution site
2024-10-15,Payload delivery,url,http://221.14.207.64:59215/Mozi.m,Malware distribution site
2024-10-15,Payload delivery,url,http://117.213.18.246:51214/Mozi.m,Malware distribution site
2024-10-15,Payload delivery,url,http://27.202.220.167:44913/Mozi.m,Malware distribution site
2024-10-15,Payload delivery,url,http://123.5.170.225:60167/Mozi.m,Malware distribution site
2024-10-15,Payload delivery,url,http://119.115.179.83:59473/Mozi.m,Malware distribution site
2024-10-15,Payload delivery,url,http://117.222.252.218:40692/Mozi.m,Malware distribution site
2024-10-15,Payload delivery,url,http://117.196.168.168:43620/bin.sh,Malware distribution site
2024-10-15,Payload delivery,url,http://117.200.93.60:52430/Mozi.m,Malware distribution site
