+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Daily Phishing list urlabuse.com - 2024-12-24
| UUID: 6e6d4f4c-2b57-4ad6-9935-bbac96c32136
| Date: 2024-12-25
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-12-25,Network activity,hostname,usps.com-emergencycservice.top,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://usps.com-emergencycservice.top,Source URL
2024-12-25,Other,text,USPS,Target of the attack
2024-12-25,Network activity,hostname,usps.com-emergencybservice.top,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://usps.com-emergencybservice.top,Source URL
2024-12-25,Other,text,USPS,Target of the attack
2024-12-25,Network activity,hostname,usps.com-emergencyaservice.top,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://usps.com-emergencyaservice.top,Source URL
2024-12-25,Other,text,USPS,Target of the attack
2024-12-25,Network activity,hostname,usps.alterf.icu,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://usps.alterf.icu,Source URL
2024-12-25,Other,text,USPS,Target of the attack
2024-12-25,Network activity,hostname,usps.alters.icu,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://usps.alters.icu,Source URL
2024-12-25,Other,text,USPS,Target of the attack
2024-12-25,Network activity,hostname,usps.packagesf.icu,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://usps.packagesf.icu,Source URL
2024-12-25,Other,text,USPS,Target of the attack
2024-12-25,Network activity,hostname,usps.packagese.icu,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://usps.packagese.icu,Source URL
2024-12-25,Other,text,USPS,Target of the attack
2024-12-25,Network activity,hostname,usps.com-firstteama.top,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://usps.com-firstteama.top,Source URL
2024-12-25,Other,text,USPS,Target of the attack
2024-12-25,Network activity,hostname,fdsexcfkwk.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://fdsexcfkwk.cyou/FO1IpKwuSEf,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,kduzinmb5e.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,https://kduzinmb5e.cyou/p9CL1qbwWtprn/,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,tgfile.aaan.eu.org,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,https://tgfile.aaan.eu.org/dl/web,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,ox9qjem6t4.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://ox9qjem6t4.cyou/WmiLUcYn36N2eaG,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,fdsexcfkwk.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,https://fdsexcfkwk.cyou/v2/JlZFa3bIbenmcwcdg2e?dsxa=pOCPJmIbQ2,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,ox9qjem6t4.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://ox9qjem6t4.cyou/ADkGCZLe4mVtLR5,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,kduzinmb5e.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,https://kduzinmb5e.cyou/4fpu93CfQ2f8vFef/,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,tgfile.aaan.eu.org,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,https://tgfile.aaan.eu.org/dl/ios,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,230394.cc,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,https://230394.cc/v2/JlZFa3bIbenmcwcdg2e,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,054436.cc,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,https://054436.cc/BB1ZBDPQHXau,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,054436.cc,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,https://054436.cc/v2/JlZFa3bIbenmcwcdg2e,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,roakrjp3ww.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://roakrjp3ww.cyou/v2/JlZFa3bIbenmcwcdg2e?dsxa=og7AHNmC5h,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,635916.cc,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,https://635916.cc/v2/JlZFa3bIbenmcwcdg2e,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,blockshub.org,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://blockshub.org,Source URL
2024-12-25,Other,text,Crypto,Target of the attack
2024-12-25,Network activity,hostname,estafetamicom.top,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://estafetamicom.top,Source URL
2024-12-25,Other,text,Estafeta,Target of the attack
2024-12-25,Network activity,hostname,squiran.com,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,https://squiran.com/,Source URL
2024-12-25,Other,text,IR-GOV,Target of the attack
2024-12-25,Network activity,hostname,od.bnxdkw2s93846.workers.dev,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://od.bnxdkw2s93846.workers.dev,Source URL
2024-12-25,Other,text,Microsoft,Target of the attack
2024-12-25,Network activity,hostname,bold-brook-23ee.yiencross.workers.dev,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://bold-brook-23ee.yiencross.workers.dev,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,samdwich.pages.dev,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://samdwich.pages.dev,Source URL
2024-12-25,Other,text,Crypto,Target of the attack
2024-12-25,Network activity,hostname,eatwxexcq.sbs,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://eatwxexcq.sbs,Source URL
2024-12-25,Other,text,Estafeta,Target of the attack
2024-12-25,Network activity,hostname,canadapositc.top,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://canadapositc.top,Source URL
2024-12-25,Other,text,Canada Post,Target of the attack
2024-12-25,Network activity,hostname,8dl6s52ae3.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://8dl6s52ae3.cyou/T1jpUdP3D6XyWcO,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,61f8glm0ls.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://61f8glm0ls.cyou/wKsBxBk8Ct9w7,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,v12335322131a.cloud,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://v12335322131a.cloud/,Source URL
2024-12-25,Other,text,QNB Finansbank,Target of the attack
2024-12-25,Network activity,hostname,dh3a1el7sz.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://dh3a1el7sz.cyou/vbzVQr30qALbQol,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,18yzrhz5gp.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://18yzrhz5gp.cyou/0dU9KI8SXUFAitnc,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,iu0hdrks1w.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://iu0hdrks1w.cyou/jDLXsWpV85dDk15,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,z7bi4inmbw.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://z7bi4inmbw.cyou/K3PkY9xKOcXMKcU,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,18yzrhz5gp.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://18yzrhz5gp.cyou/0aVWODPho8KJ,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,kduzinmb5e.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://kduzinmb5e.cyou/8zvxZVDT5AUV4q6D,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,kduzinmb5e.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://kduzinmb5e.cyou/v2/JlZFa3bIbenmcwcdg2e?dsxa=4PMnx,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,8dl6s52ae3.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://8dl6s52ae3.cyou/eIgynl3DoOuX8Be,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,8dl6s52ae3.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://8dl6s52ae3.cyou/hJcjduGv7Vv8P,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,fdsexcfkwk.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,https://fdsexcfkwk.cyou/WBlKXZmeyJuyQ5F,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,dh3a1el7sz.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://dh3a1el7sz.cyou/yAl9rcxljOxG6A,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,18yzrhz5gp.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://18yzrhz5gp.cyou/VLKP2HtbNJYT,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,8dl6s52ae3.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://8dl6s52ae3.cyou/7LkHpiS3tXt7,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,fdsexcfkwk.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://fdsexcfkwk.cyou/ZxfTi8j2Ge9NbQDO,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,8dl6s52ae3.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,https://8dl6s52ae3.cyou/mQQeREZyj4x,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,fdsexcfkwk.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://fdsexcfkwk.cyou/Zhm%5Bze5rP78TiCol,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,dh3a1el7sz.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://dh3a1el7sz.cyou/coNFmQmhqxapBBS,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,18yzrhz5gp.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://18yzrhz5gp.cyou/fqMUUi5wIHY2ReAu,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,61f8glm0ls.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://61f8glm0ls.cyou/FQu0ljqKhVhBVqT,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,18yzrhz5gp.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://18yzrhz5gp.cyou/7ahXw29Es82c,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,18yzrhz5gp.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://18yzrhz5gp.cyou/DmZc7QDe1qv5j,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,roakrjp3ww.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,https://roakrjp3ww.cyou/ICKQquM3s4o/,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,61f8glm0ls.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://61f8glm0ls.cyou/t9ZfhECTZDiAz,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,kduzinmb5e.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://kduzinmb5e.cyou/ENWVNv9K0IGu6,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,fdsexcfkwk.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://fdsexcfkwk.cyou/tFElFjNhSTr,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,roakrjp3ww.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://roakrjp3ww.cyou/1frBcMnJShjs,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,61f8glm0ls.cyou,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,https://61f8glm0ls.cyou/lESiLkvN3llPwYN/,Source URL
2024-12-25,Other,text,Telegram,Target of the attack
2024-12-25,Network activity,hostname,utilityapp.cc,Host name or IP address of the phishing attack
2024-12-25,Network activity,url,http://utilityapp.cc/,Source URL
