+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2024-12-03
| UUID: 2bef2b46-e348-4fd9-a768-8cecc362b729
| Date: 2024-12-03
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-12-03,Network activity,url,https://ddrtot.shop/mv3/pws/pvqdq929bsx_a_d_m1n_a.php,LokiBot botnet C2 (confidence level: 100%)
2024-12-03,Network activity,url,https://stickintial.cyou/login,Lumma Stealer botnet C2 (confidence level: 100%)
2024-12-03,Network activity,url,https://ancientlum.com/login,Lumma Stealer botnet C2 (confidence level: 100%)
2024-12-03,Network activity,url,https://noircrypt.studio/login,Unknown malware botnet C2 (confidence level: 100%)
2024-12-03,Payload delivery,url,https://chudautu.info/work/download.php,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,16.171.137.248|9999,DarkComet botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,142.171.230.222|3333,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,159.223.185.159|3333,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,49.13.125.86|443,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,143.110.178.199|3333,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,119.29.117.201|3333,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,63.176.163.248|3333,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,139.162.2.115|3333,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,8.135.236.165|3333,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,64.23.254.4|1724,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,35.208.215.32|3333,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,104.225.222.164|3333,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,51.79.159.162|5555,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,185.243.55.49|3333,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,44.204.170.56|3333,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,45.77.154.69|3333,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,45.77.154.69|30037,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,34.70.156.156|3333,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,208.109.230.8|8888,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,202.154.163.197|3333,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,157.230.182.19|443,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,159.203.185.185|10156,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,159.203.185.185|10238,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,118.69.176.13|443,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,149.28.148.176|5333,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,domain,pescador.twoko.io,Unknown malware botnet C2 domain (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,85.239.52.16|2781,BianLian botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,80.76.51.148|8443,BianLian botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,domain,syn-172-251-171-170.res.spectrum.com,QakBot botnet C2 domain (confidence level: 100%)
2024-12-04,Network activity,domain,device-8e8a8c59-8567-48dc-b3fe-d803dce6494e.remotewd.com,QakBot botnet C2 domain (confidence level: 100%)
