+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2024-12-04
| UUID: 54059008-8602-496b-bd52-25f52d0c78cd
| Date: 2024-12-04
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-12-04,Network activity,url,https://weiston12858yw318.com/njk3ztc3zdvlnmjm/,Coper botnet C2 (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,198.23.133.131|3778,Mirai botnet C2 server (confidence level: 75%)
2024-12-04,Network activity,url,https://jelly-cool.cyou,Lumma Stealer botnet C2 (confidence level: 75%)
2024-12-04,Network activity,domain,kresk.lol,Vidar botnet C2 domain (confidence level: 100%)
2024-12-04,Network activity,url,https://159.69.102.165,Vidar botnet C2 (confidence level: 100%)
2024-12-04,Network activity,url,http://45.145.228.231:8888/supershell/login/,Unknown malware botnet C2 (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,49.232.133.108|8088,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,74.176.58.86|8000,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,49.235.108.154|4444,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,101.36.117.41|8880,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,101.71.162.208|8081,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,8.137.114.210|4455,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,47.238.43.113|443,Sliver botnet C2 server (confidence level: 90%)
2024-12-04,Network activity,ip-dst|port,105.157.200.249|8080,AsyncRAT botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,52.140.39.118|80,Hook botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,198.98.50.244|5555,Quasar RAT botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,198.167.199.186|19132,Quasar RAT botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,5.12.93.255|6002,Quasar RAT botnet C2 server (confidence level: 100%)
2024-12-04,Network activity,ip-dst|port,5.12.93.255|7254,Quasar RAT botnet C2 server (confidence level: 100%)
