+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2024-12-17
| UUID: 39a8ce17-df8d-4744-a0aa-b38f394d9d71
| Date: 2024-12-17
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-12-17,Payload delivery,domain,taktlat.xyz,FAKEUPDATES payload delivery domain (confidence level: 100%)
2024-12-17,Payload delivery,url,https://taktlat.xyz/work/yyy.zip,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-12-17,Payload delivery,url,https://taktlat.xyz/work/original.js,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-12-17,Payload delivery,url,https://taktlat.xyz/work/download.php,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-12-17,Payload delivery,url,https://taktlat.xyz/work/index.php,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-12-17,Network activity,domain,danojeo.shop,Lumma Stealer botnet C2 domain (confidence level: 50%)
2024-12-17,Network activity,domain,xohivao.shop,Lumma Stealer botnet C2 domain (confidence level: 50%)
2024-12-17,Network activity,domain,nykidio.shop,Lumma Stealer botnet C2 domain (confidence level: 50%)
2024-12-17,Network activity,domain,sibyree.shop,Lumma Stealer botnet C2 domain (confidence level: 50%)
2024-12-17,Network activity,url,https://danojeo.shop/api,Lumma Stealer botnet C2 (confidence level: 100%)
2024-12-17,Network activity,url,https://xohivao.shop/api,Lumma Stealer botnet C2 (confidence level: 100%)
2024-12-17,Network activity,url,https://nykidio.shop/api,Lumma Stealer botnet C2 (confidence level: 100%)
2024-12-17,Network activity,url,https://sibyree.shop/api,Lumma Stealer botnet C2 (confidence level: 100%)
2024-12-17,Network activity,url,https://adonlinekeyferfad.com/mwqxmmuxnmeyymu4/,Coper botnet C2 (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,113.45.198.61|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,154.85.54.80|2053,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,154.85.54.80|2096,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,154.85.54.80|8080,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,217.78.237.78|8082,Hook botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,domain,62.133.63.114.sslip.io,Hook botnet C2 domain (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,46.246.82.66|7045,Vjw0rm botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,46.246.82.66|44662,STRRAT botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,198.244.238.84|2404,Remcos botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,34.124.141.62|31337,Sliver botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,8.218.120.126|8888,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,domain,www.elastic-merkle.194-26-192-207.plesk.page,Hook botnet C2 domain (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,69.174.99.131|6298,Quasar RAT botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,domain,www.chat.edureel.ai,Unknown malware botnet C2 domain (confidence level: 100%)
2024-12-17,Network activity,domain,my-vidar.ru,Vidar botnet C2 domain (confidence level: 50%)
2024-12-17,Network activity,url,https://my-vidar.ru/auth/login?ddosprotected=1,Vidar botnet C2 (confidence level: 100%)
2024-12-17,Network activity,domain,ecs-110-41-185-80.compute.hwclouds-dns.com,Cobalt Strike botnet C2 domain (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,47.120.46.210|8082,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,148.135.127.214|81,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,201.249.2.98|443,Quasar RAT botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,189.241.217.195|8085,Quasar RAT botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,189.241.217.195|16484,Quasar RAT botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,189.241.217.195|20742,Quasar RAT botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,189.241.217.195|51005,Quasar RAT botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,189.241.217.195|2701,Quasar RAT botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,119.3.211.218|60000,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,106.75.214.55|3333,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,13.48.148.174|3333,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,188.166.205.33|9999,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,20.7.111.186|3333,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,34.101.146.12|3333,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,38.47.91.81|80,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,3.86.211.50|3333,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,94.138.205.58|52341,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,3.87.218.162|3333,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-17,Payload delivery,url,http://117.255.94.40:45790/mozi.m,Mozi payload delivery URL (confidence level: 50%)
2024-12-17,Network activity,ip-dst|port,43.201.57.110|8443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,39.102.213.118|2443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,47.90.135.102|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,8.217.250.180|1234,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,123.60.183.172|8443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,ip-dst|port,47.108.87.143|1234,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-12-17,Network activity,domain,flofunrintum.medicarium.help,Astaroth botnet C2 domain (confidence level: 100%)
2024-12-17,Network activity,domain,vatanfungem.medicarium.icu,Astaroth botnet C2 domain (confidence level: 100%)
2024-12-17,Network activity,domain,proxonpenfer.estereomedic.help,Astaroth botnet C2 domain (confidence level: 100%)
2024-12-17,Network activity,domain,prifer554.estereomedic.homes,Astaroth botnet C2 domain (confidence level: 100%)
2024-12-17,Network activity,domain,craal.medicarium.help,Astaroth botnet C2 domain (confidence level: 100%)
2024-12-17,Network activity,domain,plitonlinfil40.medicarium.homes,Astaroth botnet C2 domain (confidence level: 100%)
2024-12-17,Network activity,domain,drolenpendiz.estereomedic.homes,Astaroth botnet C2 domain (confidence level: 100%)
2024-12-17,Network activity,domain,strepor.estereomedic.beauty,Astaroth botnet C2 domain (confidence level: 100%)
2024-12-17,Network activity,domain,ploconwel.estereomedic.icu,Astaroth botnet C2 domain (confidence level: 100%)
2024-12-17,Network activity,domain,brulenronvel.medicesterium.help,Astaroth botnet C2 domain (confidence level: 100%)
2024-12-17,Network activity,domain,frusom.medicesterium.beauty,Astaroth botnet C2 domain (confidence level: 100%)
2024-12-17,Network activity,domain,striqual46.medicarium.icu,Astaroth botnet C2 domain (confidence level: 100%)
