+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2024-12-18
| UUID: 78e0b1eb-f90e-4ea0-bec5-ca0910f60e86
| Date: 2024-12-18
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-12-18,Network activity,ip-dst|port,147.185.221.24|13548,Nanocore RAT botnet C2 server (confidence level: 100%)
2024-12-18,Network activity,domain,science-attract.gl.at.ply.gg,Nanocore RAT botnet C2 domain (confidence level: 100%)
2024-12-18,Network activity,ip-dst|port,147.45.44.224|1912,RedLine Stealer botnet C2 server (confidence level: 100%)
2024-12-18,Network activity,ip-dst|port,78.161.2.252|2003,AsyncRAT botnet C2 server (confidence level: 100%)
2024-12-18,Network activity,ip-dst|port,78.161.2.252|20000,AsyncRAT botnet C2 server (confidence level: 100%)
2024-12-18,Network activity,ip-dst|port,78.161.2.252|888,AsyncRAT botnet C2 server (confidence level: 100%)
2024-12-18,Network activity,ip-dst|port,46.101.125.217|7443,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-18,Network activity,domain,pentest-setup.eastus.cloudapp.azure.com,Havoc botnet C2 domain (confidence level: 100%)
2024-12-18,Network activity,ip-dst|port,95.217.241.142|443,Vidar botnet C2 server (confidence level: 100%)
2024-12-18,Network activity,ip-dst|port,157.230.226.37|3333,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-18,Network activity,ip-dst|port,188.124.67.25|8088,Unknown malware botnet C2 server (confidence level: 100%)
2024-12-18,Network activity,ip-dst|port,89.168.124.112|443,Octopus botnet C2 server (confidence level: 100%)
2024-12-18,Network activity,ip-dst|port,88.232.102.233|443,QakBot botnet C2 server (confidence level: 100%)
2024-12-18,Network activity,url,http://124.243.177.110:8888/supershell/login/,Unknown malware botnet C2 (confidence level: 100%)
2024-12-18,Network activity,ip-dst|port,154.216.19.20|7070,Remcos botnet C2 server (confidence level: 100%)
2024-12-18,Network activity,ip-dst|port,46.246.6.66|44662,STRRAT botnet C2 server (confidence level: 100%)
2024-12-18,Network activity,domain,gstatlc.org,magecart botnet C2 domain (confidence level: 100%)
2024-12-18,Network activity,domain,ssl.gstatlc.org,magecart botnet C2 domain (confidence level: 100%)
2024-12-18,Network activity,domain,gstatis.co,magecart botnet C2 domain (confidence level: 100%)
