+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2024-12-20
| UUID: 516d70b6-5b05-4ca6-a4d2-88e02881bc8b
| Date: 2024-12-20
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-12-20,Network activity,domain,excluderhsh.click,Lumma Stealer botnet C2 domain (confidence level: 100%)
2024-12-20,Network activity,domain,longelizzaw.click,Lumma Stealer botnet C2 domain (confidence level: 100%)
2024-12-20,Network activity,ip-dst|port,5.129.78.251|2022,Unknown malware botnet C2 server (confidence level: 75%)
2024-12-20,Network activity,ip-dst|port,31.207.45.217|6022,Unknown malware botnet C2 server (confidence level: 75%)
2024-12-20,Network activity,ip-dst|port,87.121.45.46|2022,Unknown malware botnet C2 server (confidence level: 75%)
2024-12-20,Network activity,ip-dst|port,212.237.219.90|2022,Unknown malware botnet C2 server (confidence level: 75%)
2024-12-20,Network activity,ip-dst|port,193.84.2.94|35825,Unknown malware botnet C2 server (confidence level: 75%)
2024-12-20,Network activity,ip-dst|port,185.70.186.210|2022,Unknown malware botnet C2 server (confidence level: 75%)
2024-12-20,Network activity,ip-dst|port,146.0.73.213|2222,Unknown malware botnet C2 server (confidence level: 75%)
2024-12-20,Network activity,ip-dst|port,212.237.217.157|8007,Unknown malware botnet C2 server (confidence level: 75%)
2024-12-20,Network activity,ip-dst|port,212.237.217.157|8006,Unknown malware botnet C2 server (confidence level: 75%)
2024-12-20,Network activity,ip-dst|port,46.17.97.212|15414,Unknown malware botnet C2 server (confidence level: 75%)
2024-12-20,Network activity,ip-dst|port,212.237.219.219|2022,Unknown malware botnet C2 server (confidence level: 75%)
2024-12-20,Network activity,ip-dst|port,5.39.223.27|2022,Unknown malware botnet C2 server (confidence level: 75%)
2024-12-20,Network activity,ip-dst|port,185.84.224.98|2022,Unknown malware botnet C2 server (confidence level: 75%)
2024-12-20,Network activity,ip-dst|port,5.42.199.77|14569,Unknown malware botnet C2 server (confidence level: 75%)
2024-12-20,Network activity,ip-dst|port,185.130.224.210|5657,Unknown malware botnet C2 server (confidence level: 75%)
2024-12-20,Network activity,ip-dst|port,194.180.188.220|2022,Unknown malware botnet C2 server (confidence level: 75%)
2024-12-20,Payload delivery,domain,odziezrobocza.biz,FAKEUPDATES payload delivery domain (confidence level: 100%)
2024-12-20,Payload delivery,url,https://odziezrobocza.biz/work/index.php,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-12-20,Payload delivery,url,https://odziezrobocza.biz/work/original.js,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-12-20,Payload delivery,url,https://odziezrobocza.biz/work/download.php,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-12-20,Network activity,ip-dst|port,147.185.221.24|35059,NjRAT botnet C2 server (confidence level: 75%)
2024-12-20,Network activity,domain,fat-pads.gl.at.ply.gg,NjRAT botnet C2 domain (confidence level: 75%)
2024-12-20,Network activity,ip-dst|port,66.42.54.89|5555,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-12-20,Network activity,ip-dst|port,190.92.209.207|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-12-20,Network activity,ip-dst|port,121.40.55.28|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-12-20,Network activity,ip-dst|port,170.130.55.94|444,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-12-20,Network activity,ip-dst|port,45.89.48.7|2404,Remcos botnet C2 server (confidence level: 100%)
2024-12-20,Network activity,domain,ip69-48-204-229.pbiaas.com,AsyncRAT botnet C2 domain (confidence level: 100%)
2024-12-20,Network activity,ip-dst|port,2.58.56.150|80,Hook botnet C2 server (confidence level: 100%)
2024-12-20,Network activity,ip-dst|port,217.28.222.103|80,Hook botnet C2 server (confidence level: 100%)
2024-12-20,Network activity,ip-dst|port,45.154.98.11|80,Hook botnet C2 server (confidence level: 100%)
2024-12-20,Network activity,ip-dst|port,45.154.98.11|8080,ERMAC botnet C2 server (confidence level: 100%)
2024-12-20,Network activity,ip-dst|port,2.58.56.150|8080,ERMAC botnet C2 server (confidence level: 100%)
2024-12-20,Network activity,ip-dst|port,147.45.44.216|80,Meduza Stealer botnet C2 server (confidence level: 100%)
2024-12-20,Network activity,ip-dst|port,208.123.119.103|7453,BianLian botnet C2 server (confidence level: 100%)
2024-12-20,Network activity,ip-dst|port,147.185.221.24|35994,NjRAT botnet C2 server (confidence level: 75%)
2024-12-20,Network activity,domain,latest-springer.gl.at.ply.gg,NjRAT botnet C2 domain (confidence level: 75%)
2024-12-20,Network activity,ip-dst|port,124.221.148.164|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-12-20,Network activity,ip-dst|port,1.94.105.25|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-12-20,Network activity,ip-dst|port,172.235.37.27|8080,Sliver botnet C2 server (confidence level: 100%)
2024-12-20,Network activity,domain,frostman.shop,Vidar botnet C2 domain (confidence level: 100%)
2024-12-20,Network activity,url,https://116.203.12.114,Vidar botnet C2 (confidence level: 100%)
2024-12-20,Network activity,ip-dst|port,87.106.58.168|9443,Havoc botnet C2 server (confidence level: 100%)
2024-12-20,Network activity,ip-dst|port,151.236.16.40|2014,BianLian botnet C2 server (confidence level: 100%)
2024-12-20,Network activity,domain,nen4.vpnfree.site,Cobalt Strike botnet C2 domain (confidence level: 100%)
