+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2024-12-25
| UUID: d0b2c0ba-0c66-4a8c-93f3-86bdb0ff815b
| Date: 2024-12-25
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-12-25,Payload delivery,url,http://nubxz4ubhxz9i.top/1.php,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-12-25,Payload delivery,domain,haimasher.xyz,FAKEUPDATES payload delivery domain (confidence level: 100%)
2024-12-25,Payload delivery,url,https://haimasher.xyz/work/download.php,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-12-25,Payload delivery,url,https://haimasher.xyz/work/original.js,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-12-25,Payload delivery,url,https://haimasher.xyz/work/index.php,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-12-25,Payload delivery,domain,suclub.xyz,FAKEUPDATES payload delivery domain (confidence level: 100%)
2024-12-25,Payload delivery,url,https://suclub.xyz/work/original.js,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-12-25,Payload delivery,url,https://suclub.xyz/work/index.php,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-12-25,Payload delivery,url,https://suclub.xyz/work/download.php,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-12-25,Network activity,domain,ecs-119-3-154-143.compute.hwclouds-dns.com,Cobalt Strike botnet C2 domain (confidence level: 100%)
2024-12-25,Network activity,ip-dst|port,3.68.171.119|11145,NjRAT botnet C2 server (confidence level: 75%)
2024-12-25,Network activity,url,https://starbursttc.top/ytzhzjlioddlyti4/,Coper botnet C2 (confidence level: 100%)
