+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
"| Title: stupidFISH - New indicators have been found ,  stupidFISH is a cybercrime group first seen  on Telegram, the group offers phishing pages and panels for sale through Telegram"
| UUID: 7de4ef73-1576-47f5-b112-d7bf2bcd60c3
| Date: 2024-12-20
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-12-20,Network activity,ip-dst,49.51.243.191,
2024-12-20,Network activity,ip-dst,43.153.21.15,
2024-12-20,Network activity,ip-dst,43.130.42.15,
2024-12-20,Network activity,ip-dst,170.106.175.75,
2024-12-20,Network activity,ip-dst,18.210.186.12,
2024-12-20,Network activity,ip-dst,43.135.165.145,
2024-12-20,Network activity,ip-dst,43.157.27.143,
2024-12-20,Network activity,ip-dst,52.20.4.230,
2024-12-20,Network activity,ip-dst,43.153.111.42,
2024-12-20,Network activity,ip-dst,49.51.251.62,
2024-12-20,Network activity,ip-dst,43.153.75.241,
2024-12-20,Network activity,ip-dst,170.106.98.254,
2024-12-20,Network activity,ip-dst,170.106.98.109,
2024-12-20,Network activity,ip-dst,43.153.38.110,
2024-12-20,Network activity,ip-dst,43.159.142.171,
2024-12-20,Network activity,ip-dst,3.210.154.204,
2024-12-20,Network activity,ip-dst,23.22.54.140,
2024-12-20,Network activity,ip-dst,43.135.153.230,
2024-12-20,Network activity,ip-dst,49.51.251.145,
2024-12-20,Network activity,ip-dst,170.106.152.114,
2024-12-20,Network activity,ip-dst,34.194.112.146,
2024-12-20,Network activity,ip-dst,43.159.137.215,
2024-12-20,Network activity,ip-dst,43.153.88.203,
2024-12-20,Network activity,ip-dst,170.106.142.65,
2024-12-20,Network activity,ip-dst,3.224.159.178,
2024-12-20,Network activity,ip-dst,43.153.18.112,
2024-12-20,Network activity,ip-dst,34.197.182.164,
2024-12-20,Network activity,ip-dst,43.159.144.170,
2024-12-20,Network activity,ip-dst,43.157.79.85,
2024-12-20,Network activity,ip-dst,43.157.112.187,
2024-12-20,Network activity,ip-dst,43.130.32.29,
2024-12-20,Network activity,ip-dst,119.28.118.50,
2024-12-20,Network activity,ip-dst,43.153.88.214,
2024-12-20,Network activity,ip-dst,35.170.156.203,
2024-12-20,Network activity,ip-dst,3.226.14.113,
2024-12-20,Network activity,ip-dst,49.51.75.94,
2024-12-20,Network activity,ip-dst,162.62.227.43,
2024-12-20,Network activity,ip-dst,43.157.4.109,
2024-12-20,Network activity,ip-dst,43.130.60.123,
2024-12-20,Network activity,ip-dst,95.164.37.105,
2024-12-20,Network activity,ip-dst,43.130.17.53,
2024-12-20,Network activity,ip-dst,52.72.129.154,
2024-12-20,Network activity,ip-dst,94.131.122.142,
2024-12-20,Network activity,ip-dst,170.106.142.16,
2024-12-20,Network activity,ip-dst,43.135.158.181,
2024-12-20,Network activity,ip-dst,43.130.1.185,
2024-12-20,Network activity,ip-dst,150.109.18.143,
2024-12-20,Network activity,ip-dst,43.153.32.143,
2024-12-20,Network activity,ip-dst,43.135.143.191,
2024-12-20,Network activity,ip-dst,49.51.183.46,
2024-12-20,Network activity,ip-dst,43.153.71.201,
2024-12-20,Network activity,ip-dst,43.153.63.224,
2024-12-20,Network activity,ip-dst,62.3.6.214,
2024-12-20,Network activity,ip-dst,170.106.116.12,
2024-12-20,Network activity,ip-dst,52.202.229.197,
2024-12-20,Network activity,ip-dst,43.153.119.3,
2024-12-20,Network activity,ip-dst,170.106.111.209,
2024-12-20,Network activity,ip-dst,170.106.170.40,
2024-12-20,Network activity,ip-dst,52.4.37.52,
2024-12-20,Network activity,ip-dst,43.153.78.91,
2024-12-20,Network activity,ip-dst,18.233.72.216,
2024-12-20,Network activity,ip-dst,43.135.150.76,
2024-12-20,Network activity,ip-dst,43.130.44.65,
2024-12-20,Network activity,ip-dst,43.153.76.11,
2024-12-20,Network activity,ip-dst,18.210.116.238,
2024-12-20,Network activity,ip-dst,54.174.49.233,
2024-12-20,Network activity,ip-dst,170.106.140.193,
2024-12-20,Network activity,ip-dst,34.203.139.126,
2024-12-20,Network activity,ip-dst,162.62.132.205,
2024-12-20,Network activity,ip-dst,43.159.144.223,
2024-12-20,Network activity,ip-dst,54.84.55.235,
2024-12-20,Network activity,ip-dst,43.157.91.165,
2024-12-20,Network activity,ip-dst,43.153.93.69,
2024-12-20,Network activity,ip-dst,49.51.187.250,
2024-12-20,Network activity,ip-dst,52.204.75.147,
2024-12-20,Network activity,ip-dst,49.51.233.25,
2024-12-20,Network activity,ip-dst,49.51.247.194,
2024-12-20,Network activity,ip-dst,43.157.108.92,
2024-12-20,Network activity,ip-dst,54.160.56.146,
2024-12-20,Network activity,ip-dst,3.227.157.57,
2024-12-20,Network activity,ip-dst,43.135.164.144,
2024-12-20,Network activity,ip-dst,43.135.185.59,
2024-12-20,Network activity,ip-dst,43.153.2.180,
2024-12-20,Network activity,ip-dst,52.70.133.186,
