+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Quakbot network indicators [2025-01-23]
| UUID: 39abbc66-d3a6-43c9-b563-de053507cba9
| Date: 2025-01-23
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2025-01-23,Network activity,url,http://87.120.115.240/Downloads/hermes-sylvania-panorama.jpeg,Source: urlhaus
2025-01-23,Network activity,url,http://87.120.115.240/Downloads/vc-2-24-presentacion-c.-cipres-col.-guillen-250000.jpg.lnk,Source: urlhaus
2025-01-23,Network activity,url,http://87.120.115.240/Downloads/vacuum-1024x338.png,Source: urlhaus
2025-01-23,Network activity,url,http://87.120.115.240/Downloads/forced-convection-1024x338.png,Source: urlhaus
2025-01-23,Network activity,url,http://87.120.115.240/Downloads/chivas-25.jpg.lnk,Source: urlhaus
2025-01-23,Network activity,url,http://87.120.115.240/Downloads/gymstuff.pdf,Source: urlhaus
2025-01-23,Network activity,url,http://87.120.115.240/Downloads/464293232_1978081515967767_1294795318400001443_n.jpg.lnk,Source: urlhaus
2025-01-23,Network activity,url,http://87.120.115.240/Downloads/surgical-procedure-made-by-doctor_23-2148962520.jpg.lnk,Source: urlhaus
2025-01-23,Network activity,url,http://87.120.115.240/Downloads/unknown-7.jpg.lnk,Source: urlhaus
2025-01-23,Network activity,url,http://87.120.115.240/Downloads/7-playa-de-bolones-estudiante.pdf.lnk,Source: urlhaus
2025-01-23,Network activity,url,http://87.120.115.240/Downloads/whatsapp-image-2024-06-04-at-08.18.07.jpeg.lnk,Source: urlhaus
2025-01-23,Network activity,url,http://87.120.115.240/Downloads/21-san-marino-outside-scaled.jpg.lnk,Source: urlhaus
2025-01-23,Network activity,url,http://87.120.115.240/Downloads/anexo-6-invest-agentes-peligr.docx.lnk,Source: urlhaus
2025-01-23,Network activity,url,http://87.120.115.240/Downloads/iii-congreso-panamericano-de-optometria-redes3-vyo-1-800x800.jpg.lnk,Source: urlhaus
2025-01-23,Network activity,url,http://87.120.115.240/Downloads/img_8785-1200x800.jpg.lnk,Source: urlhaus
2025-01-23,Network activity,url,http://87.120.115.240/Downloads/dji_0075-1.jpg.lnk,Source: urlhaus
2025-01-23,Network activity,url,http://87.120.115.240/Downloads/mfc-m-asm-2023-sgd-redacted_1.pdf.lnk,Source: urlhaus
2025-01-23,Network activity,url,http://87.120.115.240/Downloads/whatsapp-image-2023-05-04-at-2.45.21-pm-2.jpeg.lnk,Source: urlhaus
2025-01-23,Network activity,url,http://87.120.115.240/Downloads/cutty-sark-avenue49.jpg.lnk,Source: urlhaus
2025-01-23,Network activity,url,http://87.120.115.240/Downloads/img_0441-1-1200x800.jpg.lnk,Source: urlhaus
2025-01-23,Network activity,url,http://87.120.115.240/Downloads/seema-750x375-1.jpg.lnk,Source: urlhaus
2025-01-23,Network activity,url,http://87.120.115.240/Downloads/solar-simulation-chamber.pdf.lnk,Source: urlhaus
2025-01-23,Network activity,url,http://87.120.115.240/Downloads/kqcxf_zvdau.jpg.lnk,Source: urlhaus
2025-01-23,Network activity,url,http://87.120.115.240/Downloads/full_be659654fb7c2a515f4a52f4cb97910f.jpg.lnk,Source: urlhaus
