+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: SSH bruteforce Attackers [2025-01-22]
| UUID: 2e1a9870-3ee1-4202-9a79-c13b94a9e38e
| Date: 2025-01-22
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2025-01-23,Network activity,ip-src,139.59.119.229,Source: alienvault
2025-01-23,Network activity,ip-src,118.163.132.212,Source: alienvault
2025-01-23,Network activity,ip-src,157.66.26.168,Source: alienvault
2025-01-23,Network activity,ip-src,142.93.145.223,Source: alienvault
2025-01-23,Network activity,ip-src,220.93.167.144,Source: alienvault
2025-01-23,Network activity,ip-src,181.225.140.68,Source: alienvault
2025-01-23,Network activity,ip-src,89.108.79.46,Source: alienvault
2025-01-23,Network activity,ip-src,64.62.197.205,Source: alienvault
2025-01-23,Network activity,ip-src,117.34.125.173,Source: alienvault
2025-01-23,Network activity,ip-src,139.59.226.77,Source: alienvault
2025-01-23,Network activity,ip-src,98.198.62.20,Source: alienvault
2025-01-23,Network activity,ip-src,61.163.201.124,Source: alienvault
2025-01-23,Network activity,ip-src,3.141.26.52,Source: alienvault
2025-01-23,Network activity,ip-src,141.94.220.55,Source: alienvault
2025-01-23,Network activity,ip-src,14.103.114.195,Source: alienvault
2025-01-23,Network activity,ip-src,138.68.158.9,Source: alienvault
2025-01-23,Network activity,ip-src,147.185.132.103,Source: alienvault
2025-01-23,Network activity,ip-src,178.128.237.220,Source: alienvault
2025-01-23,Network activity,ip-src,200.170.115.214,Source: alienvault
2025-01-23,Network activity,ip-src,101.126.17.5,Source: alienvault
2025-01-23,Network activity,ip-src,51.8.71.38,Source: alienvault
2025-01-23,Network activity,ip-src,79.111.0.58,Source: alienvault
2025-01-23,Network activity,ip-src,171.244.199.200,Source: alienvault
2025-01-23,Network activity,ip-src,160.251.171.155,Source: alienvault
