+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: URLhaus IOCs for 2025-01-08
| UUID: e5b74410-dc96-45fb-a902-75d296f65589
| Date: 2025-01-08
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2025-01-08,Payload delivery,url,http://103.115.196.60:58611/Mozi.m,Malware distribution site
2025-01-08,Payload delivery,url,http://113.26.172.13:42579/Mozi.m,Malware distribution site
2025-01-08,Payload delivery,url,http://222.141.105.214:49444/Mozi.m,Malware distribution site
2025-01-08,Payload delivery,url,http://61.3.17.192:36899/Mozi.m,Malware distribution site
2025-01-08,Payload delivery,url,http://59.183.101.192:40831/Mozi.m,Malware distribution site
2025-01-08,Payload delivery,url,http://42.225.203.23:43776/Mozi.m,Malware distribution site
2025-01-08,Payload delivery,url,http://117.255.189.84:48822/Mozi.m,Malware distribution site
2025-01-08,Payload delivery,url,http://182.60.7.165:60823/Mozi.m,Malware distribution site
2025-01-08,Payload delivery,url,http://117.209.93.252:57786/Mozi.m,Malware distribution site
2025-01-08,Payload delivery,url,http://220.158.158.72:34431/Mozi.m,Malware distribution site
2025-01-08,Payload delivery,url,http://196.191.231.12:33865/Mozi.m,Malware distribution site
2025-01-08,Payload delivery,url,http://112.240.185.149:58396/Mozi.m,Malware distribution site
2025-01-08,Payload delivery,url,http://192.113.102.127:46559/Mozi.m,Malware distribution site
2025-01-08,Payload delivery,url,http://192.113.102.33:48885/Mozi.m,Malware distribution site
2025-01-08,Payload delivery,url,http://182.121.13.61:38933/Mozi.m,Malware distribution site
2025-01-08,Payload delivery,url,http://117.209.127.99:58301/Mozi.m,Malware distribution site
2025-01-08,Payload delivery,url,http://117.209.83.114:55204/i,Malware distribution site
2025-01-08,Payload delivery,url,http://61.137.143.183:46882/bin.sh,Malware distribution site
2025-01-08,Payload delivery,url,http://117.208.216.90:51412/bin.sh,Malware distribution site
2025-01-08,Payload delivery,url,http://115.55.255.143:48141/i,Malware distribution site
2025-01-08,Payload delivery,url,http://42.85.61.16:59871/i,Malware distribution site
2025-01-08,Payload delivery,url,http://117.211.213.219:49342/bin.sh,Malware distribution site
2025-01-08,Payload delivery,url,http://106.58.118.9:49004/i,Malware distribution site
2025-01-08,Payload delivery,url,http://27.109.167.214:42746/i,Malware distribution site
2025-01-08,Payload delivery,url,http://115.49.17.114:35389/bin.sh,Malware distribution site
2025-01-08,Payload delivery,url,http://117.213.126.32:36759/i,Malware distribution site
2025-01-08,Payload delivery,url,http://115.55.9.143:44374/i,Malware distribution site
2025-01-08,Payload delivery,url,http://117.209.19.16:37277/bin.sh,Malware distribution site
2025-01-08,Payload delivery,url,http://219.157.22.207:45058/i,Malware distribution site
2025-01-08,Payload delivery,url,http://117.206.22.80:42309/i,Malware distribution site
2025-01-08,Payload delivery,url,http://117.209.126.137:57635/bin.sh,Malware distribution site
2025-01-08,Payload delivery,url,http://117.208.216.90:51412/i,Malware distribution site
2025-01-08,Payload delivery,url,http://182.126.193.76:58329/i,Malware distribution site
2025-01-08,Payload delivery,url,http://117.211.213.219:49342/i,Malware distribution site
2025-01-08,Payload delivery,url,http://117.209.17.73:52918/bin.sh,Malware distribution site
2025-01-08,Payload delivery,url,http://117.193.145.94:46038/bin.sh,Malware distribution site
