+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Formbook host indicators [2025-02-05]
| UUID: 959e17f0-d437-4550-9f32-d872336dbb8b
| Date: 2025-02-05
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2025-02-05,Payload installation,filename,PURCHASE ORDER 199202509..exe,Source: MalwareBazaar
2025-02-05,Payload installation,md5,d0a70465dc63407149ca91e51ddd2541,Source: MalwareBazaar
2025-02-05,Payload installation,sha1,522822360d8ee2846ee17aa1cfdf53d903553562,Source: MalwareBazaar
2025-02-05,Payload installation,sha256,415c6e1b1a10753be59eb88d1b2304d05b4f97e858724911ff82a86865ba3e86,Source: MalwareBazaar
2025-02-05,Payload installation,filename,Bank Slip pdf.exe,Source: MalwareBazaar
2025-02-05,Payload installation,md5,c68d6eb20395a5d129019a47379578c7,Source: MalwareBazaar
2025-02-05,Payload installation,sha1,4d7f8414d5e9b41a03fe808c6488ef5d05332cb5,Source: MalwareBazaar
2025-02-05,Payload installation,sha256,4ce513a7b52e5336f4b855d52d16302f67e8445fbc041bde8fffed7fc01f74f3,Source: MalwareBazaar
2025-02-05,Payload installation,filename,MV KSL DANYANG - CARGO DOCS.exe,Source: MalwareBazaar
2025-02-05,Payload installation,md5,232b3c02e05b2244925aa3120b5009db,Source: MalwareBazaar
2025-02-05,Payload installation,sha1,800252ddd791d339baa8668c3cf39d6dd291a8c7,Source: MalwareBazaar
2025-02-05,Payload installation,sha256,8ab6d5e42b69057c20722144fcdb0f9c81152fb2e948cefa959d5fa2eb67c296,Source: MalwareBazaar
2025-02-05,Payload installation,filename,ORD-OZB25000401.exe,Source: MalwareBazaar
2025-02-05,Payload installation,md5,124acc4f15855628efa7511ab6d7f6a3,Source: MalwareBazaar
2025-02-05,Payload installation,sha1,7e6ea4c3aece8566750f1c0208a816b1ca77f882,Source: MalwareBazaar
2025-02-05,Payload installation,sha256,92cbb617fae3ec1ad3f71734c25cdad835d906408988b1ab50d3b90c3cf53c4b,Source: MalwareBazaar
2025-02-05,Payload installation,filename,Enquiry.exe,Source: MalwareBazaar
2025-02-05,Payload installation,md5,a370c8914c1f5aa00e7caff702232cbc,Source: MalwareBazaar
2025-02-05,Payload installation,sha1,49d1d622d7c688cf039568287c49684466b6b209,Source: MalwareBazaar
2025-02-05,Payload installation,sha256,34aa8e14682f8f57034fa6d0c0579880ac595fede10f759c6e2d170681bce57f,Source: MalwareBazaar
2025-02-05,Payload installation,filename,file.exe,Source: MalwareBazaar
2025-02-05,Payload installation,md5,cb50518f42d6276eeeadfb1a53155b89,Source: MalwareBazaar
2025-02-05,Payload installation,sha1,fee8cbac01b4054b69bc841e1ab4be6f66f55e3a,Source: MalwareBazaar
2025-02-05,Payload installation,sha256,dd4179b5a4beb239b0ebd4b6f10561ced525e6270ab670d624c592c174c05aaf,Source: MalwareBazaar
2025-02-05,Payload installation,filename,c5c0d30a41c761b9ab88d208220b2889.exe,Source: MalwareBazaar
2025-02-05,Payload installation,md5,c5c0d30a41c761b9ab88d208220b2889,Source: MalwareBazaar
2025-02-05,Payload installation,sha1,c7e810357b4339f0e1ad5ce00f00d835669b8dc0,Source: MalwareBazaar
