+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Formbook host indicators [2025-02-06]
| UUID: c352efd5-890b-4df3-913d-124da3f78dc8
| Date: 2025-02-06
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2025-02-06,Payload installation,filename,DHL 408-406-407.rar,Source: MalwareBazaar
2025-02-06,Payload installation,md5,f9b5c2530f1b76f085647513e98a8b22,Source: MalwareBazaar
2025-02-06,Payload installation,sha1,1404ae97bf47eb9051b1f9b39dc8cb6dab53278a,Source: MalwareBazaar
2025-02-06,Payload installation,sha256,c2f554d85794a0d8371813480f13b505142a363dd161f766020710b7b48e8c12,Source: MalwareBazaar
2025-02-06,Payload installation,filename,DHL408-23-2025.exe,Source: MalwareBazaar
2025-02-06,Payload installation,md5,6aed7ab2e1947c92588192d6c9ecfa51,Source: MalwareBazaar
2025-02-06,Payload installation,sha1,89ba935c9fd5ac0b74b8ad4cda4d6c3f5ccd87b6,Source: MalwareBazaar
2025-02-06,Payload installation,sha256,19478a15efa45981ccec619c3ebe95f31d3428e42f852d0165c801bad61ed239,Source: MalwareBazaar
2025-02-06,Payload installation,filename,DHL407-23-2025.exe,Source: MalwareBazaar
2025-02-06,Payload installation,md5,28c3abc3a2773070489537086456866a,Source: MalwareBazaar
2025-02-06,Payload installation,sha1,68ce9ca845e3c576c3d5ef5458fd448ceee716e9,Source: MalwareBazaar
2025-02-06,Payload installation,sha256,f9778ecd7eb6b09e443fd83ab3616f8cf26a61de6f6334a9b7bda73515a63e4a,Source: MalwareBazaar
2025-02-06,Payload installation,filename,PO ORDER_0001_0002.exe,Source: MalwareBazaar
2025-02-06,Payload installation,md5,d2582630d769b07b3de6c2fe8d2b4e29,Source: MalwareBazaar
2025-02-06,Payload installation,sha1,81659701caf1ed2327436fe28f8103a82e1c3773,Source: MalwareBazaar
2025-02-06,Payload installation,sha256,b9369e4dffd8b713862fdeff58b6c7e64b9b9c96dd90a70069751ab051f60cb3,Source: MalwareBazaar
2025-02-06,Payload installation,filename,SecuriteInfo.com.Trojan.Fbng.300.16785.7346,Source: MalwareBazaar
2025-02-06,Payload installation,md5,da401fe564d861a209ff600633e4a845,Source: MalwareBazaar
2025-02-06,Payload installation,sha1,a03a9d038f464984717322ff18996d8024242b51,Source: MalwareBazaar
2025-02-06,Payload installation,filename,file.exe,Source: MalwareBazaar
2025-02-06,Payload installation,md5,bc2dc18dd7aa454ec5fbfc577b222a80,Source: MalwareBazaar
2025-02-06,Payload installation,sha1,6e61da98308d4a79f8a365163c78dd42e4620f97,Source: MalwareBazaar
2025-02-06,Payload installation,sha256,f206c3a093c6174558ea0646b12e262d8549bee2255418d8968d3e0bb7218330,Source: MalwareBazaar
2025-02-06,Payload installation,filename,14030920ارسال فرمایید.exe.xz,Source: MalwareBazaar
2025-02-06,Payload installation,md5,165491d6b7167d58a9a6ad801cfc1deb,Source: MalwareBazaar
2025-02-06,Payload installation,sha1,71c4e25cc3e5b83f9d8032ba6da9f730226af861,Source: MalwareBazaar
2025-02-06,Payload installation,sha256,98f0262c8afea96497269118a6f9c5d4a66322ec4fe130ef3671a85c8df30e9d,Source: MalwareBazaar
2025-02-06,Payload installation,filename,QUOTATION sheet 1&2.exe,Source: MalwareBazaar
2025-02-06,Payload installation,md5,9fe14b0313cf4fe59c72d1df182535cc,Source: MalwareBazaar
2025-02-06,Payload installation,sha1,45e36e7e093df5ebc376bf4d9772db73b976f915,Source: MalwareBazaar
2025-02-06,Payload installation,sha256,1fa0169ab531ace73ff03fd6b6ebb8ee750a56e11b8244cacfa98f1161a9d739,Source: MalwareBazaar
2025-02-06,Payload installation,filename,Updated Price List for 2025 Business Year.exe,Source: MalwareBazaar
2025-02-06,Payload installation,md5,8cb030d3d94b9b48356a85051af44c93,Source: MalwareBazaar
2025-02-06,Payload installation,sha1,49a77992715aed59da7df031c63c998b946786b3,Source: MalwareBazaar
2025-02-06,Payload installation,sha256,81479585d4d134cc2bdfbbf5a3200a9ec5ca2d142020b53ea3302239c595b37a,Source: MalwareBazaar
2025-02-06,Payload installation,filename,PO-0049003088.exe,Source: MalwareBazaar
2025-02-06,Payload installation,md5,2c4525a544e76a2f27e8b2f909183ecb,Source: MalwareBazaar
2025-02-06,Payload installation,sha1,49769ab9cab29640dc58142502afae4be054b71a,Source: MalwareBazaar
2025-02-06,Payload installation,sha256,49038158ec5cfaad3a3e8afefb2103cf06da101cc0fc2f2a198a955c074a061d,Source: MalwareBazaar
2025-02-06,Payload installation,filename,fbgoodforsweetgirlvoiceniceforhearsagirlscute.hta,Source: MalwareBazaar
2025-02-06,Payload installation,md5,520f17f7af435832e77ae66293b4d1ca,Source: MalwareBazaar
2025-02-06,Payload installation,sha1,6ab857b3d3bff5a1f269646c5dbeef0d23c8005c,Source: MalwareBazaar
2025-02-06,Payload installation,sha256,d90c2332eb0e2dd1c54e8ce03e559230bb13848df371e0d76ca4507238463c35,Source: MalwareBazaar
2025-02-06,Payload installation,filename,PAYMENT.js,Source: MalwareBazaar
2025-02-06,Payload installation,md5,ed261d49ad12ba38ea90c187b1e7c360,Source: MalwareBazaar
2025-02-06,Payload installation,sha1,b158e1621c163a725b7e7a28891daaa9d5be7887,Source: MalwareBazaar
2025-02-06,Payload installation,sha256,465f7175a97bafccbf824d58ec733ff4cf1af1126c0ca176710ca1d160dd5082,Source: MalwareBazaar
2025-02-06,Payload installation,filename,U prilogu je nova lista narudzbi.exe,Source: MalwareBazaar
2025-02-06,Payload installation,md5,e22800de8e660dac81009fc0c4d50c35,Source: MalwareBazaar
2025-02-06,Payload installation,sha1,9eed1a0611e174ce577123da232f4b148bb6d7d0,Source: MalwareBazaar
2025-02-06,Payload installation,sha256,9d81ffafe26b6cf9e8c5fb0ff739c279d07c6d96b7f1f3927741e7cb6746b452,Source: MalwareBazaar
2025-02-06,Payload installation,filename,SecuriteInfo.com.Win32.SpywareX-gen.8314.32073,Source: MalwareBazaar
2025-02-06,Payload installation,md5,18653ba7baa00d4eae7f02368a3b5bc2,Source: MalwareBazaar
2025-02-06,Payload installation,sha1,dcb886d4a4177c5af4a57137cd78e458ae0c5083,Source: MalwareBazaar
2025-02-06,Payload installation,sha256,f6bc619b36bf03d5b8f183d7e0f0e3f160afb755a3e933e5be4aee12c960766b,Source: MalwareBazaar
2025-02-06,Payload installation,filename,SecuriteInfo.com.Win32.TrojanX-gen.15539.7900,Source: MalwareBazaar
2025-02-06,Payload installation,md5,88ba5ea93cd4d63db0c02028808483d5,Source: MalwareBazaar
